,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,810066.0,724017.0,,,,,,,,,,810066.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,664011.0,0.0,,,,,,,,,,664011.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,75213.0,-598090.0,,,,,,,,,,75213.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,60746.0,92194.0,,,,,,,,,,60746.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,-87088.0,414337.0,,,,,,,,,,-87088.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,-87009.0,-111926.0,-41561.0,-55995.0,-3678323.0,-2821336.0,,,,,,,,-87009.0,-41561.0,-3678323.0,,,,,-87009.0,-55995.0,,,,,-41561.0,,,,-111926.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,673.0,42167.0,,,,,,,,,,42167.0,,,,,,42167.0,,,,,42167.0,,,,42167.0,,42167.0,42167.0,42167.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,61798.0,128073.0,,,,,,,,,,128073.0,,,,,,128073.0,,,,,128073.0,,,,128073.0,,128073.0,128073.0,128073.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,6812.0,11440.0,,,,,,,,,,11440.0,,,,,,11440.0,,,,,11440.0,,,,11440.0,,11440.0,11440.0,11440.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,7808.0,4343.0,9218.0,1990.0,516.0,0.0,0.0,3333.0,4000.0,0.0,342.0,5161.0,69383.0,101780.0,,,,4343.0,1990.0,0.0,3333.0,0.0,5161.0,101780.0,,4343.0,516.0,3333.0,342.0,101780.0,,4343.0,0.0,0.0,101780.0,,1990.0,4000.0,101780.0,1990.0,101780.0,101780.0,101780.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,7808.0,4343.0,9218.0,1990.0,516.0,0.0,0.0,3333.0,4000.0,100.0,442.0,5261.0,69383.0,272091.0,,,,4343.0,1990.0,0.0,3333.0,100.0,5261.0,272091.0,,4343.0,516.0,3333.0,442.0,272091.0,,4343.0,0.0,100.0,272091.0,,1990.0,4000.0,272091.0,1990.0,272091.0,272091.0,272091.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,2501.0,36701.0,28650.0,30914.0,5263071.0,6234235.0,,,,,,,,36701.0,30914.0,6234235.0,,,,,28650.0,6234235.0,,,,36701.0,6234235.0,,,2501.0,6234235.0,,6234235.0,6234235.0,6234235.0,CommonMetricExtracted
CurrentLiability,,,,,,,30950.0,54044.0,93861.0,120333.0,141068.0,16939.0,142196.0,263745.0,353922.0,117175.0,121052.0,184130.0,7949602.0,9067602.0,,,,54044.0,120333.0,16939.0,263745.0,117175.0,184130.0,9067602.0,,54044.0,141068.0,263745.0,121052.0,9067602.0,,54044.0,16939.0,117175.0,9067602.0,,120333.0,353922.0,9067602.0,120333.0,9067602.0,9067602.0,9067602.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,30950.0,54044.0,93861.0,120333.0,141068.0,16939.0,142196.0,263745.0,351421.0,80474.0,92402.0,153216.0,5376557.0,6641364.0,,,,54044.0,120333.0,16939.0,263745.0,80474.0,153216.0,6641364.0,,54044.0,141068.0,263745.0,92402.0,6641364.0,,54044.0,16939.0,80474.0,6641364.0,,120333.0,351421.0,6641364.0,120333.0,6641364.0,6641364.0,6641364.0,CommonMetricExtracted
ShareholderEquity,,,,,-404501.0,-17851.0,-23142.0,-49701.0,-84643.0,-118343.0,-140552.0,-16939.0,-142196.0,-260412.0,-347421.0,-80374.0,-91960.0,-147955.0,-5307174.0,-6369273.0,,,-17851.0,-49701.0,-118343.0,-16939.0,-260412.0,-80374.0,-147955.0,-6369273.0,-404501.0,-49701.0,-140552.0,-260412.0,-91960.0,-6369273.0,,-49701.0,-16939.0,-80374.0,-6369273.0,-404501.0,-118343.0,-347421.0,-6369273.0,-118343.0,-6369273.0,-6369273.0,-6369273.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,0.8076529323388244,-0.15414736912504806,,,,,,,,,,0.8076529323388244,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,-1.1578849401034397,-0.6927669748700028,,,,,,,,,,-1.1578849401034397,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,0.00969978236743871,0.41429553939870306,,,,,,,,,,0.41429553939870306,,,,,,0.41429553939870306,,,,,0.41429553939870306,,,,0.41429553939870306,,0.41429553939870306,0.41429553939870306,0.41429553939870306,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,0.09817966937145987,0.1123992925918648,,,,,,,,,,0.1123992925918648,,,,,,0.1123992925918648,,,,,0.1123992925918648,,,,0.1123992925918648,,0.1123992925918648,0.1123992925918648,0.1123992925918648,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,0.007066528783178214,0.31321527629613827,0.23667514787033672,0.1678922500407321,0.66205465380531,0.6875285218738096,,,,,,,,0.31321527629613827,0.1678922500407321,0.6875285218738096,,,,,0.23667514787033672,0.6875285218738096,,,,0.31321527629613827,0.6875285218738096,,,0.007066528783178214,0.6875285218738096,,0.6875285218738096,0.6875285218738096,0.6875285218738096,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0071168199965284,1.4560603424708602,1.3100582238479686,1.201767439431913,1.4785674177731214,1.3653222440450485,,,,1.0,1.0,1.0,1.0,1.4560603424708602,1.201767439431913,1.3653222440450485,,1.0,1.0,1.0,1.3100582238479686,1.3653222440450485,,1.0,1.0,1.4560603424708602,1.3653222440450485,,1.0,1.0071168199965284,1.3653222440450485,1.0,1.3653222440450485,1.3653222440450485,1.3653222440450485,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
