,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,229234000000.0,265595000000.0,260174000000.0,274515000000.0,365817000000.0,394328000000.0,383285000000.0,391035000000.0,,,,,,,229234000000.0,260174000000.0,365817000000.0,383285000000.0,,,,,260174000000.0,394328000000.0,,,,229234000000.0,365817000000.0,,,,274515000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,15852000000.0,24294000000.0,25683000000.0,39541000000.0,64431000000.0,87846000000.0,106606000000.0,112258000000.0,140089000000.0,131376000000.0,141048000000.0,163756000000.0,161782000000.0,169559000000.0,212981000000.0,223546000000.0,214137000000.0,210352000000.0,,15852000000.0,25683000000.0,64431000000.0,106606000000.0,140089000000.0,141048000000.0,161782000000.0,212981000000.0,214137000000.0,15852000000.0,39541000000.0,106606000000.0,131376000000.0,161782000000.0,223546000000.0,,25683000000.0,106606000000.0,141048000000.0,212981000000.0,,39541000000.0,140089000000.0,169559000000.0,,140089000000.0,39541000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,2963000000.0,3761000000.0,4149000000.0,5517000000.0,7599000000.0,10040000000.0,10830000000.0,11993000000.0,14329000000.0,14194000000.0,15261000000.0,16705000000.0,18245000000.0,19916000000.0,21973000000.0,25094000000.0,24932000000.0,26097000000.0,,2963000000.0,4149000000.0,7599000000.0,10830000000.0,14329000000.0,15261000000.0,18245000000.0,21973000000.0,24932000000.0,2963000000.0,5517000000.0,10830000000.0,14194000000.0,18245000000.0,25094000000.0,,4149000000.0,10830000000.0,15261000000.0,21973000000.0,,5517000000.0,14329000000.0,19916000000.0,,14329000000.0,5517000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,782000000.0,1109000000.0,1333000000.0,1782000000.0,2429000000.0,3381000000.0,4475000000.0,6041000000.0,8067000000.0,10045000000.0,11581000000.0,14236000000.0,16217000000.0,18752000000.0,21914000000.0,26251000000.0,29915000000.0,31370000000.0,,782000000.0,1333000000.0,2429000000.0,4475000000.0,8067000000.0,11581000000.0,16217000000.0,21914000000.0,29915000000.0,782000000.0,1782000000.0,4475000000.0,10045000000.0,16217000000.0,26251000000.0,,1333000000.0,4475000000.0,11581000000.0,21914000000.0,,1782000000.0,8067000000.0,18752000000.0,,8067000000.0,1782000000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,34205000000.0,55763000000.0,50155000000.0,53483000000.0,72515000000.0,61372000000.0,64089000000.0,72903000000.0,65737000000.0,67091000000.0,109207000000.0,119103000000.0,113736000000.0,123485000000.0,,,,34205000000.0,50155000000.0,72515000000.0,64089000000.0,65737000000.0,109207000000.0,113736000000.0,,,50155000000.0,61372000000.0,65737000000.0,119103000000.0,,,50155000000.0,64089000000.0,109207000000.0,,,72515000000.0,67091000000.0,,72515000000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,1512000000.0,2828000000.0,3831000000.0,4527000000.0,8283000000.0,14030000000.0,13118000000.0,13973000000.0,19121000000.0,15685000000.0,15738000000.0,13372000000.0,10481000000.0,9680000000.0,14527000000.0,19300000000.0,16741000000.0,29749000000.0,,1512000000.0,3831000000.0,8283000000.0,13118000000.0,19121000000.0,15738000000.0,10481000000.0,14527000000.0,16741000000.0,1512000000.0,4527000000.0,13118000000.0,15685000000.0,10481000000.0,19300000000.0,,3831000000.0,13118000000.0,15738000000.0,14527000000.0,,4527000000.0,19121000000.0,9680000000.0,,19121000000.0,4527000000.0,,CommonMetricExtracted
NetIncome,,,3496000000.0,6119000000.0,8235000000.0,14013000000.0,25922000000.0,41733000000.0,37037000000.0,39510000000.0,53394000000.0,45687000000.0,48351000000.0,59531000000.0,55256000000.0,57411000000.0,94680000000.0,99803000000.0,96995000000.0,93736000000.0,,3496000000.0,8235000000.0,25922000000.0,37037000000.0,53394000000.0,48351000000.0,55256000000.0,94680000000.0,96995000000.0,3496000000.0,14013000000.0,37037000000.0,45687000000.0,55256000000.0,99803000000.0,,8235000000.0,37037000000.0,48351000000.0,94680000000.0,,14013000000.0,53394000000.0,57411000000.0,,53394000000.0,14013000000.0,,CommonMetricExtracted
Cash,,,9352000000.0,11875000000.0,5263000000.0,11261000000.0,9815000000.0,10746000000.0,14259000000.0,13844000000.0,21120000000.0,20484000000.0,20289000000.0,25913000000.0,48844000000.0,38016000000.0,34940000000.0,23646000000.0,29965000000.0,29943000000.0,,11875000000.0,11261000000.0,10746000000.0,13844000000.0,20484000000.0,25913000000.0,38016000000.0,23646000000.0,29943000000.0,5263000000.0,10746000000.0,21120000000.0,25913000000.0,34940000000.0,29943000000.0,11875000000.0,10746000000.0,20484000000.0,38016000000.0,29943000000.0,5263000000.0,13844000000.0,48844000000.0,29943000000.0,13844000000.0,29943000000.0,29943000000.0,29943000000.0,CommonMetricExtracted
CurrentReceivables,,,,,3361000000.0,5510000000.0,5369000000.0,10930000000.0,13102000000.0,17460000000.0,16849000000.0,15754000000.0,17874000000.0,23186000000.0,22926000000.0,16120000000.0,26278000000.0,28184000000.0,29508000000.0,33410000000.0,,,5510000000.0,10930000000.0,17460000000.0,15754000000.0,23186000000.0,16120000000.0,28184000000.0,33410000000.0,3361000000.0,10930000000.0,16849000000.0,23186000000.0,26278000000.0,33410000000.0,,10930000000.0,15754000000.0,16120000000.0,33410000000.0,3361000000.0,17460000000.0,22926000000.0,33410000000.0,17460000000.0,33410000000.0,33410000000.0,33410000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
