,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,90040.0,9141.0,122769.0,7371.0,829924.0,12843502.0,28989166.0,2320149.0,7001786.0,,,,,,90040.0,122769.0,829924.0,28989166.0,7001786.0,,,,122769.0,12843502.0,7001786.0,,,90040.0,829924.0,7001786.0,,,7371.0,7001786.0,,7001786.0,7001786.0,7001786.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,0.0,671007.0,1028354.0,,,,,,,,,0.0,1028354.0,,,,,,1028354.0,,,,,1028354.0,,,,1028354.0,,1028354.0,1028354.0,1028354.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,878813.0,1637230.0,1813050.0,,,,,,,,,878813.0,1813050.0,,,,,,1813050.0,,,,,1813050.0,,,,1813050.0,,1813050.0,1813050.0,1813050.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,0.0,125204.0,154320.0,,,,,,,,,0.0,154320.0,,,,,,154320.0,,,,,154320.0,,,,154320.0,,154320.0,154320.0,154320.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,22248.0,10946.0,,,308769.0,57444.0,1067258.0,14135718.0,29888992.0,4753590.0,18406048.0,,,,,22248.0,,308769.0,1067258.0,29888992.0,18406048.0,,,10946.0,308769.0,14135718.0,18406048.0,,,,1067258.0,18406048.0,,22248.0,57444.0,18406048.0,22248.0,18406048.0,18406048.0,18406048.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,58806.0,5484225.0,18876895.0,29946099.0,46314966.0,,,,,,,,58806.0,18876895.0,46314966.0,,,,,5484225.0,46314966.0,,,,58806.0,46314966.0,,,,46314966.0,,46314966.0,46314966.0,46314966.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,0.0,1643160.0,3851899.0,3851899.0,4519038.0,,,,,,,,0.0,3851899.0,4519038.0,,,,,1643160.0,4519038.0,,,,0.0,4519038.0,,,,4519038.0,,4519038.0,4519038.0,4519038.0,CommonMetricExtracted
