,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,1370598000.0,1421901000.0,1452579000.0,1594288000.0,,,,,,,,,1370598000.0,1452579000.0,,,,,,1421901000.0,,,,,1370598000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,444914000.0,452286000.0,430351000.0,617453000.0,622459000.0,638871000.0,696071000.0,719211000.0,791783000.0,,,,,,,452286000.0,617453000.0,638871000.0,719211000.0,,,,444914000.0,617453000.0,696071000.0,,,,452286000.0,638871000.0,,,,622459000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,73236000.0,61799000.0,70553000.0,,,,,,118082000.0,107885000.0,117881000.0,123684000.0,103567000.0,126539000.0,134812000.0,132639000.0,118352000.0,,,61799000.0,,,,107885000.0,123684000.0,126539000.0,132639000.0,,70553000.0,,118082000.0,123684000.0,134812000.0,,61799000.0,,107885000.0,126539000.0,,70553000.0,,103567000.0,,,70553000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,169900000.0,136921000.0,143630000.0,146573000.0,139293000.0,144310000.0,146311000.0,140758000.0,146677000.0,,,,,,,136921000.0,146573000.0,144310000.0,140758000.0,,,,169900000.0,146573000.0,146311000.0,,,,136921000.0,144310000.0,,,,139293000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,21713000.0,41570000.0,53648000.0,,,,,,221130000.0,84640000.0,125911000.0,123756000.0,144744000.0,209897000.0,203835000.0,220408000.0,308135000.0,,,41570000.0,,,,84640000.0,123756000.0,209897000.0,220408000.0,,53648000.0,,221130000.0,123756000.0,203835000.0,,41570000.0,,84640000.0,209897000.0,,53648000.0,,144744000.0,,,53648000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,53193000.0,78486000.0,72471000.0,,,,,,,,,,78486000.0,,,,,,53193000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,16974000.0,13482000.0,21507000.0,18461000.0,16422000.0,29291000.0,31209000.0,27937000.0,56046000.0,38437000.0,22878000.0,5148000.0,25966000.0,47274000.0,64458000.0,26118000.0,47291000.0,,,13482000.0,18461000.0,29291000.0,27937000.0,38437000.0,5148000.0,47274000.0,26118000.0,,21507000.0,29291000.0,56046000.0,5148000.0,64458000.0,,13482000.0,29291000.0,38437000.0,47274000.0,,21507000.0,27937000.0,25966000.0,,27937000.0,21507000.0,,CommonMetricExtracted
NetIncome,,,,10582000.0,19626000.0,27195000.0,,,,,,129535000.0,5135000.0,68921000.0,67062000.0,72660000.0,127791000.0,142177000.0,121509000.0,203118000.0,,,19626000.0,,,,5135000.0,67062000.0,127791000.0,121509000.0,,27195000.0,,129535000.0,67062000.0,142177000.0,,19626000.0,,5135000.0,127791000.0,,27195000.0,,72660000.0,,,27195000.0,,CommonMetricExtracted
Cash,,,97011000.0,112966000.0,125917000.0,171310000.0,,,95059000.0,77301000.0,102239000.0,75753000.0,69710000.0,148502000.0,121398000.0,165374000.0,122059000.0,124981000.0,164239000.0,216394000.0,,112966000.0,171310000.0,,77301000.0,75753000.0,148502000.0,165374000.0,124981000.0,216394000.0,125917000.0,,102239000.0,148502000.0,122059000.0,216394000.0,112966000.0,,75753000.0,165374000.0,216394000.0,125917000.0,77301000.0,121398000.0,216394000.0,77301000.0,216394000.0,216394000.0,216394000.0,CommonMetricExtracted
CurrentReceivables,,,,,98915000.0,77773000.0,,,203575000.0,227106000.0,219116000.0,268162000.0,262845000.0,348182000.0,359197000.0,,320405000.0,403781000.0,452337000.0,414399000.0,,,77773000.0,,227106000.0,268162000.0,348182000.0,,403781000.0,414399000.0,98915000.0,,219116000.0,348182000.0,320405000.0,414399000.0,,,268162000.0,,414399000.0,98915000.0,227106000.0,359197000.0,414399000.0,227106000.0,414399000.0,414399000.0,414399000.0,CommonMetricExtracted
