,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,130550349.0,137321395.0,142457342.0,164003040.0,182087559.0,193962357.0,191500947.0,194489991.0,,,,,,,130550349.0,142457342.0,182087559.0,191500947.0,,,,,142457342.0,193962357.0,,,,130550349.0,182087559.0,,,,164003040.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,82651076.0,86672413.0,90456484.0,104408326.0,117287202.0,130403572.0,119290712.0,118139167.0,,,,,,,82651076.0,90456484.0,117287202.0,119290712.0,,,,,90456484.0,130403572.0,,,,82651076.0,117287202.0,,,,104408326.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,20385268.0,22039956.0,24385922.0,25944948.0,30791150.0,32214212.0,37113000.0,40103220.0,43192076.0,43571510.0,48182050.0,52030370.0,57285483.0,59021618.0,62210882.0,,,,22039956.0,25944948.0,32214212.0,40103220.0,43571510.0,52030370.0,59021618.0,,20385268.0,25944948.0,37113000.0,43571510.0,57285483.0,,,25944948.0,40103220.0,52030370.0,,20385268.0,32214212.0,48182050.0,,32214212.0,20385268.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,2980156.0,4284964.0,5360520.0,5879096.0,7394461.0,7347006.0,8442056.0,7883053.0,7456906.0,8429348.0,11412664.0,12769987.0,6273302.0,13188617.0,14139942.0,,,,4284964.0,5879096.0,7347006.0,7883053.0,8429348.0,12769987.0,13188617.0,,2980156.0,5879096.0,8442056.0,8429348.0,6273302.0,,,5879096.0,7883053.0,12769987.0,,2980156.0,7347006.0,11412664.0,,7347006.0,2980156.0,,CommonMetricExtracted
Interest,,,,,,301304.0,404326.0,443657.0,502407.0,490110.0,570080.0,868626.0,1356536.0,1891042.0,1828408.0,944363.0,921965.0,2396431.0,3096481.0,2083323.0,,,,404326.0,502407.0,570080.0,1356536.0,1828408.0,921965.0,3096481.0,,301304.0,502407.0,868626.0,1828408.0,2396431.0,,,502407.0,1356536.0,921965.0,,301304.0,570080.0,944363.0,,570080.0,301304.0,,CommonMetricExtracted
Taxes,,,,,,337883.0,1214827.0,1447815.0,1490986.0,2013720.0,1820872.0,1645705.0,2440818.0,932874.0,1029556.0,1727962.0,1519255.0,627679.0,4941444.0,2270058.0,,,,1214827.0,1490986.0,1820872.0,2440818.0,1029556.0,1519255.0,4941444.0,,337883.0,1490986.0,1645705.0,1029556.0,627679.0,,,1490986.0,2440818.0,1519255.0,,337883.0,1820872.0,1727962.0,,1820872.0,337883.0,,CommonMetricExtracted
NetIncome,,,,,,2572964.0,2811193.0,3549231.0,4002905.0,4789005.0,4793525.0,5850998.0,4052479.0,4598350.0,5513608.0,8098766.0,13655679.0,3034766.0,17793160.0,10022351.0,,,,2811193.0,4002905.0,4793525.0,4052479.0,5513608.0,13655679.0,17793160.0,,2572964.0,4002905.0,5850998.0,5513608.0,3034766.0,,,4002905.0,4052479.0,13655679.0,,2572964.0,4793525.0,8098766.0,,4793525.0,2572964.0,,CommonMetricExtracted
Cash,,,,,6519065.0,6601416.0,7853343.0,9749864.0,11643764.0,2285660.0,2425891.0,5910770.0,9338269.0,4409042.0,6821883.0,4167376.0,4843349.0,,4795953.0,6398692.0,,,6601416.0,9749864.0,2285660.0,5910770.0,4409042.0,4167376.0,,6398692.0,6519065.0,9749864.0,2425891.0,4409042.0,4843349.0,6398692.0,,9749864.0,5910770.0,4167376.0,6398692.0,6519065.0,2285660.0,6821883.0,6398692.0,2285660.0,6398692.0,6398692.0,6398692.0,CommonMetricExtracted
CurrentReceivables,,,,,,12330665.0,12904168.0,16441970.0,15629275.0,19477128.0,19565088.0,20020984.0,26012368.0,25101663.0,,27173431.0,34220635.0,,26234421.0,28236177.0,,,12330665.0,16441970.0,19477128.0,20020984.0,25101663.0,27173431.0,,28236177.0,,16441970.0,19565088.0,25101663.0,34220635.0,28236177.0,,16441970.0,20020984.0,27173431.0,28236177.0,,19477128.0,,28236177.0,19477128.0,28236177.0,28236177.0,28236177.0,CommonMetricExtracted
