,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,69207000000.0,61682000000.0,80676000000.0,89038000000.0,89804000000.0,81201000000.0,67702000000.0,62346000000.0,60828000000.0,64341000000.0,64656000000.0,64355000000.0,85249000000.0,101556000000.0,93935000000.0,85530000000.0,,,69207000000.0,80676000000.0,89804000000.0,67702000000.0,60828000000.0,64656000000.0,85249000000.0,93935000000.0,,61682000000.0,89804000000.0,62346000000.0,64656000000.0,101556000000.0,,69207000000.0,89804000000.0,60828000000.0,85249000000.0,,61682000000.0,67702000000.0,64355000000.0,,67702000000.0,61682000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,65118000000.0,57839000000.0,76376000000.0,85370000000.0,85915000000.0,76433000000.0,63736000000.0,58728000000.0,57322000000.0,60160000000.0,60509000000.0,59902000000.0,79262000000.0,93986000000.0,86422000000.0,79752000000.0,,,65118000000.0,76376000000.0,85915000000.0,63736000000.0,57322000000.0,60509000000.0,79262000000.0,86422000000.0,,57839000000.0,85915000000.0,58728000000.0,60509000000.0,93986000000.0,,65118000000.0,85915000000.0,57322000000.0,79262000000.0,,57839000000.0,63736000000.0,59902000000.0,,63736000000.0,57839000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1412000000.0,1398000000.0,1611000000.0,1626000000.0,1759000000.0,1933000000.0,2039000000.0,2045000000.0,1993000000.0,2165000000.0,2493000000.0,2687000000.0,2994000000.0,3358000000.0,3456000000.0,3706000000.0,,,1412000000.0,1611000000.0,1759000000.0,2039000000.0,1993000000.0,2493000000.0,2994000000.0,3456000000.0,,1398000000.0,1759000000.0,2045000000.0,2493000000.0,3358000000.0,,1412000000.0,1759000000.0,1993000000.0,2994000000.0,,1398000000.0,2039000000.0,2687000000.0,,2039000000.0,1398000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,2585000000.0,3015000000.0,1765000000.0,2024000000.0,3130000000.0,2284000000.0,1822000000.0,1609000000.0,2060000000.0,1588000000.0,1883000000.0,3313000000.0,5233000000.0,4294000000.0,2255000000.0,,,,3015000000.0,2024000000.0,2284000000.0,1609000000.0,1588000000.0,3313000000.0,4294000000.0,,2585000000.0,2024000000.0,1822000000.0,1588000000.0,5233000000.0,,,2024000000.0,1609000000.0,3313000000.0,,2585000000.0,2284000000.0,1883000000.0,,2284000000.0,2585000000.0,,CommonMetricExtracted
Interest,,,,,469000000.0,422000000.0,482000000.0,441000000.0,413000000.0,337000000.0,308000000.0,293000000.0,330000000.0,364000000.0,402000000.0,339000000.0,265000000.0,396000000.0,647000000.0,706000000.0,,,469000000.0,482000000.0,413000000.0,308000000.0,330000000.0,402000000.0,265000000.0,647000000.0,,422000000.0,413000000.0,293000000.0,402000000.0,396000000.0,,469000000.0,413000000.0,330000000.0,265000000.0,,422000000.0,308000000.0,339000000.0,,308000000.0,422000000.0,,CommonMetricExtracted
Taxes,,,,,812000000.0,666000000.0,997000000.0,523000000.0,670000000.0,877000000.0,438000000.0,534000000.0,7000000.0,245000000.0,209000000.0,101000000.0,578000000.0,868000000.0,828000000.0,476000000.0,,,812000000.0,997000000.0,670000000.0,438000000.0,7000000.0,209000000.0,578000000.0,828000000.0,,666000000.0,670000000.0,534000000.0,209000000.0,868000000.0,,812000000.0,670000000.0,7000000.0,578000000.0,,666000000.0,438000000.0,101000000.0,,438000000.0,666000000.0,,CommonMetricExtracted
NetIncome,,,,,1684000000.0,1930000000.0,2036000000.0,1223000000.0,1342000000.0,2248000000.0,1849000000.0,1279000000.0,1595000000.0,1810000000.0,1379000000.0,1772000000.0,2709000000.0,4340000000.0,3483000000.0,1800000000.0,,,1684000000.0,2036000000.0,1342000000.0,1849000000.0,1595000000.0,1379000000.0,2709000000.0,3483000000.0,,1930000000.0,1342000000.0,1279000000.0,1379000000.0,4340000000.0,,1684000000.0,1342000000.0,1595000000.0,2709000000.0,,1930000000.0,1849000000.0,1772000000.0,,1849000000.0,1930000000.0,,CommonMetricExtracted
Cash,,,,,,2337000000.0,3396000000.0,3263000000.0,3961000000.0,4877000000.0,5214000000.0,,,,,,,,7228000000.0,7212000000.0,,,2337000000.0,3263000000.0,4877000000.0,,,,,7212000000.0,,3263000000.0,5214000000.0,,,7212000000.0,,3263000000.0,,,7212000000.0,,4877000000.0,,7212000000.0,4877000000.0,7212000000.0,7212000000.0,7212000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,4808000000.0,3439000000.0,3224000000.0,2704000000.0,1738000000.0,1905000000.0,1947000000.0,2343000000.0,2267000000.0,2793000000.0,3311000000.0,4926000000.0,4232000000.0,3708000000.0,,,,3439000000.0,2704000000.0,1905000000.0,2343000000.0,2793000000.0,4926000000.0,3708000000.0,,3439000000.0,1738000000.0,2343000000.0,3311000000.0,3708000000.0,,3439000000.0,1905000000.0,2793000000.0,3708000000.0,,2704000000.0,2267000000.0,3708000000.0,2704000000.0,3708000000.0,3708000000.0,3708000000.0,CommonMetricExtracted
