,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,14110200000.0,14589800000.0,15005400000.0,16498300000.0,18012200000.0,19202600000.0,,,,,,,,14110200000.0,15005400000.0,18012200000.0,,,,,14110200000.0,16498300000.0,,,,,15005400000.0,,,,14589800000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,7244500000.0,7810900000.0,8086600000.0,8445100000.0,8640300000.0,9461900000.0,9953400000.0,10476700000.0,,,,,,,7244500000.0,8086600000.0,8640300000.0,9953400000.0,,,,,8086600000.0,9461900000.0,,,,7244500000.0,8640300000.0,,,,8445100000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,2190300000.0,2127400000.0,2323300000.0,2466200000.0,2620600000.0,2762400000.0,2496900000.0,2637000000.0,2783200000.0,2971500000.0,3064200000.0,3003000000.0,3040500000.0,3233200000.0,3551400000.0,3778900000.0,,,2190300000.0,2323300000.0,2620600000.0,2496900000.0,2783200000.0,3064200000.0,3040500000.0,3551400000.0,,2127400000.0,2620600000.0,2637000000.0,3064200000.0,3233200000.0,,2190300000.0,2620600000.0,2783200000.0,3040500000.0,,2127400000.0,2496900000.0,3003000000.0,,2496900000.0,2127400000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,798600000.0,844800000.0,955700000.0,,,,,,,,,,844800000.0,,,,,,798600000.0,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,3182600000.0,3361200000.0,3804100000.0,4437600000.0,4872300000.0,,,,,,,,,3361200000.0,4437600000.0,,,,,,3804100000.0,,,,,3361200000.0,,,,3182600000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,81900000.0,253300000.0,361400000.0,,,,,,,,,,253300000.0,,,,,,81900000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,575000000.0,655900000.0,678500000.0,733600000.0,720200000.0,772000000.0,694200000.0,741300000.0,829100000.0,550300000.0,712800000.0,716100000.0,762700000.0,855200000.0,1025600000.0,1120300000.0,,,575000000.0,678500000.0,720200000.0,694200000.0,829100000.0,712800000.0,762700000.0,1025600000.0,,655900000.0,720200000.0,741300000.0,712800000.0,855200000.0,,575000000.0,720200000.0,829100000.0,762700000.0,,655900000.0,694200000.0,716100000.0,,694200000.0,655900000.0,,CommonMetricExtracted
NetIncome,,,,,1332600000.0,1211400000.0,1254200000.0,1388500000.0,1405800000.0,1515900000.0,1452500000.0,1492500000.0,1787800000.0,1884900000.0,2292800000.0,2466500000.0,2598500000.0,2948900000.0,3412000000.0,3752000000.0,,,1332600000.0,1254200000.0,1405800000.0,1452500000.0,1787800000.0,2292800000.0,2598500000.0,3412000000.0,,1211400000.0,1405800000.0,1492500000.0,2292800000.0,2948900000.0,,1332600000.0,1405800000.0,1787800000.0,2598500000.0,,1211400000.0,1452500000.0,2466500000.0,,1452500000.0,1211400000.0,,CommonMetricExtracted
Cash,,,,917500000.0,2265300000.0,1643300000.0,1389400000.0,1548100000.0,1699100000.0,1983600000.0,1639300000.0,3191100000.0,2780400000.0,2170000000.0,1949200000.0,1908500000.0,2575200000.0,1436300000.0,2083500000.0,2913400000.0,,917500000.0,1643300000.0,1548100000.0,1983600000.0,3191100000.0,2170000000.0,1908500000.0,1436300000.0,2913400000.0,2265300000.0,1548100000.0,1639300000.0,2170000000.0,2575200000.0,2913400000.0,917500000.0,1548100000.0,3191100000.0,1908500000.0,2913400000.0,2265300000.0,1983600000.0,1949200000.0,2913400000.0,1983600000.0,2913400000.0,2913400000.0,2913400000.0,CommonMetricExtracted
CurrentReceivables,,,,,,1127700000.0,1364800000.0,1399300000.0,1598300000.0,1800400000.0,1546900000.0,1742800000.0,1703600000.0,1984200000.0,2439300000.0,2441300000.0,2727400000.0,3170600000.0,3009600000.0,3428200000.0,,,1127700000.0,1399300000.0,1800400000.0,1742800000.0,1984200000.0,2441300000.0,3170600000.0,3428200000.0,,1399300000.0,1546900000.0,1984200000.0,2727400000.0,3428200000.0,,1399300000.0,1742800000.0,2441300000.0,3428200000.0,,1800400000.0,2439300000.0,3428200000.0,1800400000.0,3428200000.0,3428200000.0,3428200000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,22316700000.0,28583500000.0,25272600000.0,26214500000.0,27493000000.0,28809200000.0,39500400000.0,32658700000.0,32050000000.0,34342300000.0,31564100000.0,40741800000.0,54804900000.0,42170600000.0,45542500000.0,,,22316700000.0,25272600000.0,27493000000.0,39500400000.0,32050000000.0,31564100000.0,54804900000.0,45542500000.0,,25272600000.0,28809200000.0,32050000000.0,40741800000.0,45542500000.0,,25272600000.0,39500400000.0,31564100000.0,45542500000.0,,27493000000.0,34342300000.0,45542500000.0,27493000000.0,45542500000.0,45542500000.0,45542500000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,673800000.0,716200000.0,706300000.0,728700000.0,777400000.0,672700000.0,685000000.0,779900000.0,793700000.0,764200000.0,703900000.0,684500000.0,652600000.0,681400000.0,685600000.0,,,673800000.0,706300000.0,777400000.0,685000000.0,793700000.0,703900000.0,652600000.0,685600000.0,,706300000.0,672700000.0,793700000.0,684500000.0,685600000.0,,706300000.0,685000000.0,703900000.0,685600000.0,,777400000.0,764200000.0,685600000.0,777400000.0,685600000.0,685600000.0,685600000.0,CommonMetricExtracted
Goodwill,,,,,2375500000.0,2383300000.0,3073600000.0,3155300000.0,3052600000.0,3113800000.0,1793500000.0,1682000000.0,1741000000.0,2243500000.0,2323000000.0,2309400000.0,2338400000.0,2300500000.0,2339400000.0,2353600000.0,,,2383300000.0,3155300000.0,3113800000.0,1682000000.0,2243500000.0,2309400000.0,2300500000.0,2353600000.0,2375500000.0,3155300000.0,1793500000.0,2243500000.0,2338400000.0,2353600000.0,,3155300000.0,1682000000.0,2309400000.0,2353600000.0,2375500000.0,3113800000.0,2323000000.0,2353600000.0,3113800000.0,2353600000.0,2353600000.0,2353600000.0,CommonMetricExtracted
IntangibleAssets,,,,,,542400000.0,715700000.0,711200000.0,643200000.0,632300000.0,503200000.0,534200000.0,620200000.0,886400000.0,1071500000.0,1215800000.0,1210100000.0,1333100000.0,1343600000.0,1336000000.0,,,542400000.0,711200000.0,632300000.0,534200000.0,886400000.0,1215800000.0,1333100000.0,1336000000.0,,711200000.0,503200000.0,886400000.0,1210100000.0,1336000000.0,,711200000.0,534200000.0,1215800000.0,1336000000.0,,632300000.0,1071500000.0,1336000000.0,632300000.0,1336000000.0,1336000000.0,1336000000.0,CommonMetricExtracted
