,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,74684642.0,64177630.0,45655481.0,,,,,,,,,,64177630.0,,,,,,74684642.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,21035664.0,36958721.0,22611336.0,14309724.0,,,,,,,,,21035664.0,22611336.0,,,,,,36958721.0,,,,,21035664.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,234622.0,2922068.0,,,,,,,,,,234622.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,20951999.0,16784205.0,,,,,,,,,,20951999.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,109246048.0,140372841.0,121626453.0,103610460.0,,,,,,,,,140372841.0,103610460.0,,,,,109246048.0,103610460.0,,,,,103610460.0,,,,103610460.0,,103610460.0,103610460.0,103610460.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,43106551.0,344417106.0,394856072.0,372735137.0,329714053.0,,,,,,,,43106551.0,394856072.0,329714053.0,,,,,344417106.0,329714053.0,,,,43106551.0,329714053.0,,,,329714053.0,,329714053.0,329714053.0,329714053.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,949279.0,460844.0,688446.0,1214817.0,,,,,,,,,460844.0,1214817.0,,,,,949279.0,1214817.0,,,,,1214817.0,,,,1214817.0,,1214817.0,1214817.0,1214817.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
