,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,4293000000.0,4320000000.0,4497000000.0,4750000000.0,5062000000.0,5103000000.0,5733000000.0,6145000000.0,6498000000.0,6865000000.0,7150000000.0,8237000000.0,7909000000.0,6552000000.0,7040000000.0,7827000000.0,8324000000.0,,,4320000000.0,4750000000.0,5103000000.0,6145000000.0,6865000000.0,8237000000.0,6552000000.0,7827000000.0,,4497000000.0,5103000000.0,6498000000.0,8237000000.0,7040000000.0,,4320000000.0,5103000000.0,6865000000.0,6552000000.0,,4497000000.0,6145000000.0,7909000000.0,,6145000000.0,4497000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,1625000000.0,1547000000.0,1718000000.0,1935000000.0,2007000000.0,,,,,,,,,1547000000.0,1935000000.0,,,,,,1718000000.0,,,,,1547000000.0,,,,1625000000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,316000000.0,812000000.0,694000000.0,560000000.0,537000000.0,689000000.0,626000000.0,565000000.0,787000000.0,724000000.0,639000000.0,1108000000.0,848000000.0,1335000000.0,1123000000.0,1073000000.0,1124000000.0,,,812000000.0,560000000.0,689000000.0,565000000.0,724000000.0,1108000000.0,1335000000.0,1073000000.0,,694000000.0,689000000.0,787000000.0,1108000000.0,1123000000.0,,812000000.0,689000000.0,724000000.0,1335000000.0,,694000000.0,565000000.0,848000000.0,,565000000.0,694000000.0,,CommonMetricExtracted
Interest,,,,70000000.0,67000000.0,78000000.0,85000000.0,85000000.0,71000000.0,74000000.0,75000000.0,77000000.0,85000000.0,62000000.0,68000000.0,88000000.0,94000000.0,85000000.0,76000000.0,76000000.0,,,67000000.0,85000000.0,71000000.0,75000000.0,85000000.0,68000000.0,94000000.0,76000000.0,,78000000.0,71000000.0,77000000.0,68000000.0,85000000.0,,67000000.0,71000000.0,85000000.0,94000000.0,,78000000.0,75000000.0,88000000.0,,75000000.0,78000000.0,,CommonMetricExtracted
Taxes,,,,116000000.0,282000000.0,268000000.0,240000000.0,135000000.0,236000000.0,220000000.0,195000000.0,119000000.0,247000000.0,122000000.0,239000000.0,127000000.0,254000000.0,225000000.0,221000000.0,237000000.0,,,282000000.0,240000000.0,236000000.0,195000000.0,247000000.0,239000000.0,254000000.0,221000000.0,,268000000.0,236000000.0,119000000.0,239000000.0,225000000.0,,282000000.0,236000000.0,247000000.0,254000000.0,,268000000.0,195000000.0,127000000.0,,195000000.0,268000000.0,,CommonMetricExtracted
NetIncome,,,,196000000.0,519000000.0,482000000.0,343000000.0,488000000.0,471000000.0,452000000.0,352000000.0,649000000.0,475000000.0,530000000.0,897000000.0,732000000.0,1995000000.0,898000000.0,852000000.0,887000000.0,,,519000000.0,343000000.0,471000000.0,352000000.0,475000000.0,897000000.0,1995000000.0,852000000.0,,482000000.0,471000000.0,649000000.0,897000000.0,898000000.0,,519000000.0,471000000.0,475000000.0,1995000000.0,,482000000.0,352000000.0,732000000.0,,352000000.0,482000000.0,,CommonMetricExtracted
Cash,,,,,19791000000.0,22670000000.0,25577000000.0,28449000000.0,31313000000.0,36210000000.0,37736000000.0,41433000000.0,46048000000.0,48498000000.0,55252000000.0,52502000000.0,15745000000.0,14512000000.0,15263000000.0,15852000000.0,,,22670000000.0,28449000000.0,36210000000.0,41433000000.0,48498000000.0,52502000000.0,14512000000.0,15852000000.0,19791000000.0,28449000000.0,37736000000.0,48498000000.0,15745000000.0,15852000000.0,,28449000000.0,41433000000.0,52502000000.0,15852000000.0,19791000000.0,36210000000.0,55252000000.0,15852000000.0,36210000000.0,15852000000.0,15852000000.0,15852000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1328000000.0,1209000000.0,1460000000.0,1175000000.0,1593000000.0,1799000000.0,1757000000.0,1905000000.0,2176000000.0,2324000000.0,2310000000.0,2190000000.0,2122000000.0,2225000000.0,2642000000.0,2655000000.0,,,1209000000.0,1175000000.0,1799000000.0,1905000000.0,2324000000.0,2190000000.0,2225000000.0,2655000000.0,1328000000.0,1175000000.0,1757000000.0,2324000000.0,2122000000.0,2655000000.0,,1175000000.0,1905000000.0,2190000000.0,2655000000.0,1328000000.0,1799000000.0,2310000000.0,2655000000.0,1799000000.0,2655000000.0,2655000000.0,2655000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,381000000.0,422000000.0,409000000.0,471000000.0,408000000.0,469000000.0,480000000.0,539000000.0,600000000.0,610000000.0,678000000.0,768000000.0,834000000.0,917000000.0,961000000.0,1013000000.0,,,422000000.0,471000000.0,469000000.0,539000000.0,610000000.0,768000000.0,917000000.0,1013000000.0,381000000.0,471000000.0,480000000.0,610000000.0,834000000.0,1013000000.0,,471000000.0,539000000.0,768000000.0,1013000000.0,381000000.0,469000000.0,678000000.0,1013000000.0,469000000.0,1013000000.0,1013000000.0,1013000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,208000000.0,186000000.0,186000000.0,185000000.0,185000000.0,201000000.0,199000000.0,199000000.0,199000000.0,207000000.0,207000000.0,207000000.0,246000000.0,246000000.0,305000000.0,305000000.0,,,186000000.0,185000000.0,201000000.0,199000000.0,207000000.0,207000000.0,246000000.0,305000000.0,208000000.0,185000000.0,199000000.0,207000000.0,246000000.0,305000000.0,,185000000.0,199000000.0,207000000.0,305000000.0,208000000.0,201000000.0,207000000.0,305000000.0,201000000.0,305000000.0,305000000.0,305000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,27683000000.0,32454000000.0,36042000000.0,39171000000.0,42087000000.0,47535000000.0,49859000000.0,55072000000.0,60658000000.0,63456000000.0,70130000000.0,73710000000.0,28931000000.0,28831000000.0,29787000000.0,30836000000.0,,,32454000000.0,39171000000.0,47535000000.0,55072000000.0,63456000000.0,73710000000.0,28831000000.0,30836000000.0,27683000000.0,39171000000.0,49859000000.0,63456000000.0,28931000000.0,30836000000.0,,39171000000.0,55072000000.0,73710000000.0,30836000000.0,27683000000.0,47535000000.0,70130000000.0,30836000000.0,47535000000.0,30836000000.0,30836000000.0,30836000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,462000000.0,320000000.0,475000000.0,475000000.0,508000000.0,645000000.0,591000000.0,634000000.0,743000000.0,752000000.0,814000000.0,807000000.0,920000000.0,1035000000.0,1186000000.0,1191000000.0,,,320000000.0,475000000.0,645000000.0,634000000.0,752000000.0,807000000.0,1035000000.0,1191000000.0,462000000.0,475000000.0,591000000.0,752000000.0,920000000.0,1191000000.0,,475000000.0,634000000.0,807000000.0,1191000000.0,462000000.0,645000000.0,814000000.0,1191000000.0,645000000.0,1191000000.0,1191000000.0,1191000000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,828000000.0,952000000.0,934000000.0,953000000.0,913000000.0,1061000000.0,1020000000.0,1283000000.0,1301000000.0,1302000000.0,1473000000.0,1963000000.0,1964000000.0,1496000000.0,1475000000.0,1475000000.0,,,952000000.0,953000000.0,1061000000.0,1283000000.0,1302000000.0,1963000000.0,1496000000.0,1475000000.0,828000000.0,953000000.0,1020000000.0,1302000000.0,1964000000.0,1475000000.0,,953000000.0,1283000000.0,1963000000.0,1475000000.0,828000000.0,1061000000.0,1473000000.0,1475000000.0,1061000000.0,1475000000.0,1475000000.0,1475000000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,23764000000.0,27834000000.0,31351000000.0,34423000000.0,37318000000.0,42481000000.0,45089000000.0,50153000000.0,55324000000.0,58484000000.0,63861000000.0,66921000000.0,23919000000.0,24779000000.0,25529000000.0,26370000000.0,,,27834000000.0,34423000000.0,42481000000.0,50153000000.0,58484000000.0,66921000000.0,24779000000.0,26370000000.0,23764000000.0,34423000000.0,45089000000.0,58484000000.0,23919000000.0,26370000000.0,,34423000000.0,50153000000.0,66921000000.0,26370000000.0,23764000000.0,42481000000.0,63861000000.0,26370000000.0,42481000000.0,26370000000.0,26370000000.0,26370000000.0,CommonMetricExtracted
ShareholderEquity,,,,,3781000000.0,4470000000.0,4545000000.0,4578000000.0,4599000000.0,4879000000.0,4592000000.0,4916000000.0,5330000000.0,4970000000.0,6269000000.0,6789000000.0,5012000000.0,4052000000.0,4258000000.0,4466000000.0,,,4470000000.0,4578000000.0,4879000000.0,4916000000.0,4970000000.0,6789000000.0,4052000000.0,4466000000.0,3781000000.0,4578000000.0,4592000000.0,4970000000.0,5012000000.0,4466000000.0,,4578000000.0,4916000000.0,6789000000.0,4466000000.0,3781000000.0,4879000000.0,6269000000.0,4466000000.0,4879000000.0,4466000000.0,4466000000.0,4466000000.0,CommonMetricExtracted
OperatingCashFlow,,,,973000000.0,915000000.0,864000000.0,667000000.0,817000000.0,760000000.0,1231000000.0,1357000000.0,1150000000.0,1804000000.0,2083000000.0,2456000000.0,2183000000.0,1714000000.0,1153000000.0,1970000000.0,1152000000.0,,,915000000.0,667000000.0,760000000.0,1357000000.0,1804000000.0,2456000000.0,1714000000.0,1970000000.0,,864000000.0,760000000.0,1150000000.0,2456000000.0,1153000000.0,,915000000.0,760000000.0,1804000000.0,1714000000.0,,864000000.0,1357000000.0,2183000000.0,,1357000000.0,864000000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,-721000000.0,-783000000.0,-1705000000.0,-2439000000.0,-1425000000.0,-2915000000.0,-3619000000.0,-4573000000.0,-2981000000.0,-3292000000.0,-5350000000.0,-3065000000.0,-1564000000.0,-436000000.0,-1051000000.0,414000000.0,95000000.0,,,-783000000.0,-2439000000.0,-2915000000.0,-4573000000.0,-3292000000.0,-3065000000.0,-436000000.0,414000000.0,,-1705000000.0,-2915000000.0,-2981000000.0,-3065000000.0,-1051000000.0,,-783000000.0,-2915000000.0,-3292000000.0,-436000000.0,,-1705000000.0,-4573000000.0,-1564000000.0,,-4573000000.0,-1705000000.0,,CommonMetricExtracted
DividendsPaid,,,,51000000.0,60000000.0,63000000.0,67000000.0,90000000.0,160000000.0,167000000.0,176000000.0,185000000.0,417000000.0,394000000.0,444000000.0,334000000.0,2374000000.0,1213000000.0,684000000.0,788000000.0,,,60000000.0,67000000.0,160000000.0,176000000.0,417000000.0,444000000.0,2374000000.0,684000000.0,,63000000.0,160000000.0,185000000.0,444000000.0,1213000000.0,,60000000.0,160000000.0,417000000.0,2374000000.0,,63000000.0,176000000.0,334000000.0,,176000000.0,63000000.0,,CommonMetricExtracted
FinancingCashFlow,,,,196000000.0,-276000000.0,820000000.0,1997000000.0,989000000.0,2089000000.0,2101000000.0,3097000000.0,2718000000.0,1719000000.0,2444000000.0,1408000000.0,-123000000.0,-1957000000.0,-1361000000.0,-2031000000.0,-1066000000.0,,,-276000000.0,1997000000.0,2089000000.0,3097000000.0,1719000000.0,1408000000.0,-1957000000.0,-2031000000.0,,820000000.0,2089000000.0,2718000000.0,1408000000.0,-1361000000.0,,-276000000.0,2089000000.0,1719000000.0,-1957000000.0,,820000000.0,3097000000.0,-123000000.0,,3097000000.0,820000000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,0.20546213174864078,0.2361111111111111,0.24403409090909092,0.2472211575316213,0.24111004324843824,,,,,,,,,0.2361111111111111,0.2472211575316213,,,,,,0.24403409090909092,,,,,0.2361111111111111,,,,0.20546213174864078,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,0.07360819939436292,0.18796296296296297,0.15432510562597287,0.11789473684210526,0.10608455156064797,0.13501861650009797,0.10919239490668062,0.0919446704637917,0.12111418898122499,0.10546249089584851,0.08937062937062937,0.1345149933228117,0.10721962321405994,0.20375457875457875,0.15951704545454545,0.13708956177334866,0.13503123498318118,,,0.18796296296296297,0.11789473684210526,0.13501861650009797,0.0919446704637917,0.10546249089584851,0.1345149933228117,0.20375457875457875,0.13708956177334866,,0.15432510562597287,0.13501861650009797,0.12111418898122499,0.1345149933228117,0.15951704545454545,,0.18796296296296297,0.13501861650009797,0.10546249089584851,0.20375457875457875,,0.15432510562597287,0.0919446704637917,0.10721962321405994,,0.0919446704637917,0.15432510562597287,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,0.22151898734177214,0.08251231527093596,0.11239193083573487,0.15178571428571427,0.15828677839851024,0.10304789550072568,0.1182108626198083,0.13274336283185842,0.09783989834815757,0.11740331491712708,0.09702660406885759,0.061371841155234655,0.10377358490566038,0.07041198501872659,0.07569011576135352,0.07082945013979497,0.06761565836298933,,,0.08251231527093596,0.15178571428571427,0.10304789550072568,0.13274336283185842,0.11740331491712708,0.061371841155234655,0.07041198501872659,0.07082945013979497,,0.11239193083573487,0.10304789550072568,0.09783989834815757,0.061371841155234655,0.07569011576135352,,0.08251231527093596,0.10304789550072568,0.11740331491712708,0.07041198501872659,,0.11239193083573487,0.13274336283185842,0.10377358490566038,,0.13274336283185842,0.11239193083573487,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,0.3670886075949367,0.3472906403940887,0.3861671469740634,0.42857142857142855,0.25139664804469275,0.34252539912917274,0.3514376996805112,0.34513274336283184,0.15120711562897077,0.3411602209944751,0.19092331768388107,0.2157039711191336,0.14976415094339623,0.1902621722846442,0.20035618878005343,0.2059645852749301,0.21085409252669038,,,0.3472906403940887,0.42857142857142855,0.34252539912917274,0.34513274336283184,0.3411602209944751,0.2157039711191336,0.1902621722846442,0.2059645852749301,,0.3861671469740634,0.34252539912917274,0.15120711562897077,0.2157039711191336,0.20035618878005343,,0.3472906403940887,0.34252539912917274,0.3411602209944751,0.1902621722846442,,0.3861671469740634,0.34513274336283184,0.14976415094339623,,0.34513274336283184,0.3861671469740634,,CommonMetricCalculated
