,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,20732000000.0,22171000000.0,25364000000.0,23939000000.0,22728000000.0,20872000000.0,22559000000.0,21667000000.0,21758000000.0,22307000000.0,22147000000.0,22106000000.0,19502000000.0,18701000000.0,18927000000.0,,,,22171000000.0,23939000000.0,20872000000.0,21667000000.0,22307000000.0,22106000000.0,18701000000.0,,20732000000.0,23939000000.0,22559000000.0,22307000000.0,19502000000.0,,,23939000000.0,21667000000.0,22106000000.0,,20732000000.0,20872000000.0,22147000000.0,,20872000000.0,20732000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,2159000000.0,2336000000.0,2415000000.0,2222000000.0,2261000000.0,2606000000.0,2796000000.0,2780000000.0,2988000000.0,3089000000.0,3420000000.0,3544000000.0,3250000000.0,3165000000.0,3014000000.0,,,,2336000000.0,2222000000.0,2606000000.0,2780000000.0,3089000000.0,3544000000.0,3165000000.0,,2159000000.0,2222000000.0,2796000000.0,3089000000.0,3250000000.0,,,2222000000.0,2780000000.0,3544000000.0,,2159000000.0,2606000000.0,3420000000.0,,2606000000.0,2159000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,5208000000.0,4869000000.0,5262000000.0,6417000000.0,,,,,,,,,5208000000.0,5262000000.0,,,,,,4869000000.0,,,,,5208000000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,226000000.0,195000000.0,197000000.0,,,,,,,,,,195000000.0,,,,,,226000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,862000000.0,891000000.0,816000000.0,1236000000.0,1079000000.0,1288000000.0,884000000.0,631000000.0,1379000000.0,806000000.0,794000000.0,1095000000.0,1181000000.0,1663000000.0,1330000000.0,,,,891000000.0,1236000000.0,1288000000.0,631000000.0,806000000.0,1095000000.0,1663000000.0,,862000000.0,1236000000.0,884000000.0,806000000.0,1181000000.0,,,1236000000.0,631000000.0,1095000000.0,,862000000.0,1288000000.0,794000000.0,,1288000000.0,862000000.0,,CommonMetricExtracted
NetIncome,,,,,,2328000000.0,1937000000.0,2866000000.0,3158000000.0,2951000000.0,2533000000.0,2659000000.0,4604000000.0,2920000000.0,3304000000.0,4778000000.0,4325000000.0,4418000000.0,4659000000.0,5443000000.0,,,,1937000000.0,3158000000.0,2533000000.0,4604000000.0,3304000000.0,4325000000.0,4659000000.0,,2328000000.0,3158000000.0,2659000000.0,3304000000.0,4418000000.0,,,3158000000.0,4604000000.0,4325000000.0,,2328000000.0,2533000000.0,4778000000.0,,2533000000.0,2328000000.0,,CommonMetricExtracted
Cash,,,,,73192000000.0,88230000000.0,103462000000.0,118219000000.0,108459000000.0,107341000000.0,105897000000.0,116361000000.0,123659000000.0,126243000000.0,138091000000.0,149753000000.0,142978000000.0,117397000000.0,113560000000.0,105087000000.0,,,88230000000.0,118219000000.0,107341000000.0,116361000000.0,126243000000.0,149753000000.0,117397000000.0,105087000000.0,73192000000.0,118219000000.0,105897000000.0,126243000000.0,142978000000.0,105087000000.0,,118219000000.0,116361000000.0,149753000000.0,105087000000.0,73192000000.0,107341000000.0,138091000000.0,105087000000.0,107341000000.0,105087000000.0,105087000000.0,105087000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1413000000.0,1399000000.0,1482000000.0,1818000000.0,1963000000.0,1604000000.0,1473000000.0,1423000000.0,1596000000.0,1624000000.0,1600000000.0,1576000000.0,13216000000.0,14888000000.0,14106000000.0,12358000000.0,,,1399000000.0,1818000000.0,1604000000.0,1423000000.0,1624000000.0,1576000000.0,14888000000.0,12358000000.0,1413000000.0,1818000000.0,1473000000.0,1624000000.0,13216000000.0,12358000000.0,,1818000000.0,1423000000.0,1576000000.0,12358000000.0,1413000000.0,1604000000.0,1600000000.0,12358000000.0,1604000000.0,12358000000.0,12358000000.0,12358000000.0,CommonMetricExtracted
