,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,3008654.0,3554712.0,3298361.0,,,,,,,,,,3554712.0,,,,,,3008654.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,8900.0,28098.0,44818.0,,,,,,,,,,28098.0,,,,,,8900.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,36196.0,30393.0,25550.0,,,,,,,,,,30393.0,,,,,,36196.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,117757.0,-135265.0,20936.0,,,,,,,,,,-135265.0,,,,,,117757.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,323193.0,386128.0,-183700.0,,,,,,,,,,386128.0,,,,,,323193.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,646294.0,457142.0,,,,,,,,,,457142.0,,,,,,457142.0,,,,,457142.0,,,,457142.0,,457142.0,457142.0,457142.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,18139.0,9146.0,,,,,,,,,,9146.0,,,,,,9146.0,,,,,9146.0,,,,9146.0,,9146.0,9146.0,9146.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,55704.0,55817.0,,,,,,,,,,55817.0,,,,,,55817.0,,,,,55817.0,,,,55817.0,,55817.0,55817.0,55817.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,991386.0,1125272.0,,,,,,,,,,1125272.0,,,,,,1125272.0,,,,,1125272.0,,,,1125272.0,,1125272.0,1125272.0,1125272.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,3054921.0,3083923.0,,,,,,,,,,3083923.0,,,,,,3083923.0,,,,,3083923.0,,,,3083923.0,,3083923.0,3083923.0,3083923.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,4749169.0,5211893.0,,,,,,,,,,5211893.0,,,,,,5211893.0,,,,,5211893.0,,,,5211893.0,,5211893.0,5211893.0,5211893.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,495930.0,420005.0,,,,,,,,,,420005.0,,,,,,420005.0,,,,,420005.0,,,,420005.0,,420005.0,420005.0,420005.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,3540645.0,4180859.0,,,,,,,,,,4180859.0,,,,,,4180859.0,,,,,4180859.0,,,,4180859.0,,4180859.0,4180859.0,4180859.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,979543.0,1319347.0,,,,,,,,,,1319347.0,,,,,,1319347.0,,,,,1319347.0,,,,1319347.0,,1319347.0,1319347.0,1319347.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,3502533.0,4142429.0,,,,,,,,,,4142429.0,,,,,,4142429.0,,,,,4142429.0,,,,4142429.0,,4142429.0,4142429.0,4142429.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,537315.0,860508.0,1246636.0,1069464.0,,,,,,,,,860508.0,1069464.0,,,,,537315.0,1069464.0,,,,,1069464.0,,,,1069464.0,,1069464.0,1069464.0,1069464.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,576256.0,848032.0,89676.0,,,,,,,,,,848032.0,,,,,,576256.0,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,207582.0,147953.0,126679.0,,,,,,,,,,147953.0,,,,,,207582.0,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,-207582.0,-251389.0,-133457.0,,,,,,,,,,-251389.0,,,,,,-207582.0,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,-364781.0,-643500.0,-145371.0,,,,,,,,,,-643500.0,,,,,,-364781.0,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,0.0029581334377432565,0.007904437827874663,0.013587960808413633,,,,,,,,,,0.007904437827874663,,,,,,0.0029581334377432565,,,,,,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,4.066966292134832,1.081678411274824,0.570083448614396,,,,,,,,,,1.081678411274824,,,,,,4.066966292134832,,,,,,,,,,,,,,CommonMetricCalculated
