,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,18882000.0,25883000.0,26989000.0,21942000.0,19959000.0,21254000.0,39232000.0,40998000.0,35247000.0,48139000.0,27920000.0,70642000.0,,,,,25883000.0,21942000.0,21254000.0,40998000.0,48139000.0,70642000.0,,,26989000.0,21254000.0,35247000.0,70642000.0,,,21942000.0,40998000.0,70642000.0,,25883000.0,39232000.0,70642000.0,25883000.0,70642000.0,70642000.0,70642000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,21982000.0,15052000.0,15691000.0,19016000.0,219202000.0,202426000.0,173870000.0,246047000.0,266144000.0,270049000.0,,,,,,15052000.0,19016000.0,202426000.0,246047000.0,270049000.0,,,21982000.0,19016000.0,173870000.0,270049000.0,,,15052000.0,202426000.0,270049000.0,,,219202000.0,270049000.0,,270049000.0,270049000.0,270049000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,1737438000.0,1943575000.0,2207287000.0,2196985000.0,,,,,,,,,1943575000.0,2196985000.0,,,,,1737438000.0,2196985000.0,,,,,2196985000.0,,,,2196985000.0,,2196985000.0,2196985000.0,2196985000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,68702000.0,58154000.0,62038000.0,103870000.0,109137000.0,89739000.0,,,,,,,,58154000.0,103870000.0,89739000.0,,,,,62038000.0,89739000.0,,,,58154000.0,89739000.0,,,68702000.0,89739000.0,,89739000.0,89739000.0,89739000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,689547000.0,982468000.0,1043123000.0,1265382000.0,1804897000.0,1916971000.0,1938063000.0,2242310000.0,2562898000.0,2512863000.0,,,,,,982468000.0,1265382000.0,1916971000.0,2242310000.0,2512863000.0,,,689547000.0,1265382000.0,1938063000.0,2512863000.0,,,982468000.0,1916971000.0,2512863000.0,,,1804897000.0,2512863000.0,,2512863000.0,2512863000.0,2512863000.0,CommonMetricExtracted
