,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2347988000.0,2489035000.0,2714474000.0,2893617000.0,3198149000.0,3461223000.0,3616654000.0,3811920000.0,3991168000.0,,,,,,,2489035000.0,2893617000.0,3461223000.0,3811920000.0,,,,2347988000.0,2893617000.0,3616654000.0,,,,2489035000.0,3461223000.0,,,,3198149000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,249938000.0,303403000.0,453705000.0,529900000.0,511087000.0,610943000.0,725620000.0,809106000.0,875837000.0,953485000.0,987624000.0,1132672000.0,1268956000.0,1383819000.0,1511063000.0,1620793000.0,,,249938000.0,453705000.0,511087000.0,725620000.0,875837000.0,987624000.0,1268956000.0,1511063000.0,,303403000.0,511087000.0,809106000.0,987624000.0,1383819000.0,,249938000.0,511087000.0,875837000.0,1268956000.0,,303403000.0,725620000.0,1132672000.0,,725620000.0,303403000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,179421000.0,226704000.0,227331000.0,304404000.0,280380000.0,379035000.0,440988000.0,427885000.0,493632000.0,517353000.0,523883000.0,510405000.0,461967000.0,502409000.0,533226000.0,556781000.0,,,179421000.0,227331000.0,280380000.0,440988000.0,493632000.0,523883000.0,461967000.0,533226000.0,,226704000.0,280380000.0,427885000.0,523883000.0,502409000.0,,179421000.0,280380000.0,493632000.0,461967000.0,,226704000.0,440988000.0,510405000.0,,440988000.0,226704000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,43658000.0,54766000.0,52333000.0,74744000.0,93879000.0,125286000.0,148591000.0,167628000.0,222434000.0,246165000.0,261365000.0,269315000.0,335372000.0,391434000.0,406048000.0,470876000.0,,,43658000.0,52333000.0,93879000.0,148591000.0,222434000.0,261365000.0,335372000.0,406048000.0,,54766000.0,93879000.0,167628000.0,261365000.0,391434000.0,,43658000.0,93879000.0,222434000.0,335372000.0,,54766000.0,148591000.0,269315000.0,,148591000.0,54766000.0,,CommonMetricExtracted
OperatingMargin,,,,,237232000.0,262372000.0,307195000.0,321591000.0,419554000.0,479776000.0,456624000.0,466362000.0,316122000.0,343089000.0,532481000.0,616082000.0,728221000.0,658003000.0,652527000.0,587013000.0,,,237232000.0,307195000.0,419554000.0,456624000.0,316122000.0,532481000.0,728221000.0,652527000.0,,262372000.0,419554000.0,466362000.0,532481000.0,658003000.0,,237232000.0,419554000.0,316122000.0,728221000.0,,262372000.0,456624000.0,616082000.0,,456624000.0,262372000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,11096000.0,17709000.0,27117000.0,,,,,,,,,,17709000.0,,,,,,11096000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,91319000.0,91152000.0,106291000.0,117602000.0,126067000.0,145828000.0,135218000.0,145635000.0,97801000.0,44716000.0,53350000.0,45922000.0,62571000.0,126696000.0,106373000.0,82095000.0,,,91319000.0,106291000.0,126067000.0,135218000.0,97801000.0,53350000.0,62571000.0,106373000.0,,91152000.0,126067000.0,145635000.0,53350000.0,126696000.0,,91319000.0,126067000.0,97801000.0,62571000.0,,91152000.0,135218000.0,45922000.0,,135218000.0,91152000.0,,CommonMetricExtracted
NetIncome,,,,,145913000.0,171220000.0,200904000.0,203989000.0,293487000.0,333948000.0,321406000.0,320727000.0,222766000.0,298373000.0,478035000.0,557054000.0,651642000.0,523672000.0,547629000.0,504918000.0,,,145913000.0,200904000.0,293487000.0,321406000.0,222766000.0,478035000.0,651642000.0,547629000.0,,171220000.0,293487000.0,320727000.0,478035000.0,523672000.0,,145913000.0,293487000.0,222766000.0,651642000.0,,171220000.0,321406000.0,557054000.0,,321406000.0,171220000.0,,CommonMetricExtracted
Cash,,,,156074000.0,181305000.0,231866000.0,559197000.0,201989000.0,333891000.0,238650000.0,289473000.0,324169000.0,313382000.0,1036455000.0,393745000.0,352917000.0,536725000.0,,489468000.0,517707000.0,,156074000.0,231866000.0,201989000.0,238650000.0,324169000.0,1036455000.0,352917000.0,,517707000.0,181305000.0,201989000.0,289473000.0,1036455000.0,536725000.0,517707000.0,156074000.0,201989000.0,324169000.0,352917000.0,517707000.0,181305000.0,238650000.0,393745000.0,517707000.0,238650000.0,517707000.0,517707000.0,517707000.0,CommonMetricExtracted
CurrentReceivables,,,,,,175366000.0,210936000.0,218777000.0,271988000.0,329578000.0,380399000.0,368596000.0,461457000.0,479889000.0,551943000.0,660052000.0,675926000.0,,724302000.0,727687000.0,,,175366000.0,218777000.0,329578000.0,368596000.0,479889000.0,660052000.0,,727687000.0,,218777000.0,380399000.0,479889000.0,675926000.0,727687000.0,,218777000.0,368596000.0,660052000.0,727687000.0,,329578000.0,551943000.0,727687000.0,329578000.0,727687000.0,727687000.0,727687000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,48029000.0,55414000.0,51604000.0,62096000.0,128981000.0,123228000.0,104303000.0,172853000.0,163360000.0,142676000.0,171406000.0,166313000.0,,216114000.0,253827000.0,,,48029000.0,51604000.0,128981000.0,104303000.0,163360000.0,171406000.0,,253827000.0,,51604000.0,123228000.0,163360000.0,166313000.0,253827000.0,,51604000.0,104303000.0,171406000.0,253827000.0,,128981000.0,142676000.0,253827000.0,128981000.0,253827000.0,253827000.0,253827000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
