,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2677203000.0,3071976000.0,3374950000.0,3589427000.0,3128909000.0,3327957000.0,7320104000.0,9617203000.0,5377526000.0,,,,,,,3071976000.0,3589427000.0,3327957000.0,9617203000.0,,,,2677203000.0,3589427000.0,7320104000.0,,,,3071976000.0,3327957000.0,,,,3128909000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,1706897000.0,1965700000.0,2157694000.0,2331649000.0,2134056000.0,2329986000.0,4245517000.0,8431294000.0,5314987000.0,,,,,,,1965700000.0,2331649000.0,2329986000.0,8431294000.0,,,,1706897000.0,2331649000.0,4245517000.0,,,,1965700000.0,2329986000.0,,,,2134056000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,255132000.0,212628000.0,274615000.0,360070000.0,313227000.0,162889000.0,355135000.0,512274000.0,380464000.0,450286000.0,446090000.0,533368000.0,429827000.0,441482000.0,524145000.0,919493000.0,618048000.0,,,212628000.0,360070000.0,162889000.0,512274000.0,450286000.0,533368000.0,441482000.0,919493000.0,,274615000.0,162889000.0,380464000.0,533368000.0,524145000.0,,212628000.0,162889000.0,450286000.0,441482000.0,,274615000.0,512274000.0,429827000.0,,512274000.0,274615000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,67292000.0,60918000.0,58394000.0,77083000.0,78919000.0,82246000.0,88310000.0,102871000.0,80475000.0,84330000.0,70054000.0,58287000.0,59214000.0,54026000.0,71981000.0,85725000.0,86720000.0,,,60918000.0,77083000.0,82246000.0,102871000.0,84330000.0,58287000.0,54026000.0,85725000.0,,58394000.0,82246000.0,80475000.0,58287000.0,71981000.0,,60918000.0,82246000.0,84330000.0,54026000.0,,58394000.0,102871000.0,59214000.0,,102871000.0,58394000.0,,CommonMetricExtracted
OperatingMargin,,,,601000.0,-1423000.0,2788000.0,357000.0,1229000.0,-6674000.0,-16761000.0,48474000.0,5894000.0,-9512000.0,-64434000.0,-45478000.0,-59177000.0,-603340000.0,86356000.0,110929000.0,178339000.0,,,-1423000.0,357000.0,-6674000.0,48474000.0,-9512000.0,-45478000.0,-603340000.0,110929000.0,,2788000.0,-6674000.0,5894000.0,-45478000.0,86356000.0,,-1423000.0,-6674000.0,-9512000.0,-603340000.0,,2788000.0,48474000.0,-59177000.0,,48474000.0,2788000.0,,CommonMetricExtracted
Interest,,,,38175000.0,24584000.0,25533000.0,37574000.0,32800000.0,31559000.0,41358000.0,132722000.0,65181000.0,115350000.0,52405000.0,57695000.0,73116000.0,61476000.0,122973000.0,116072000.0,165619000.0,,,24584000.0,37574000.0,31559000.0,132722000.0,115350000.0,57695000.0,61476000.0,116072000.0,,25533000.0,31559000.0,65181000.0,57695000.0,122973000.0,,24584000.0,31559000.0,115350000.0,61476000.0,,25533000.0,132722000.0,73116000.0,,132722000.0,25533000.0,,CommonMetricExtracted
Taxes,,,,-6539000.0,-7028000.0,92719000.0,130014000.0,82533000.0,136322000.0,18484000.0,29122000.0,96263000.0,431817000.0,144826000.0,88161000.0,54425000.0,29446000.0,390588000.0,430277000.0,87085000.0,,,-7028000.0,130014000.0,136322000.0,29122000.0,431817000.0,88161000.0,29446000.0,430277000.0,,92719000.0,136322000.0,96263000.0,88161000.0,390588000.0,,-7028000.0,136322000.0,431817000.0,29446000.0,,92719000.0,29122000.0,54425000.0,,29122000.0,92719000.0,,CommonMetricExtracted
NetIncome,,,,18806000.0,11255000.0,13639000.0,28083000.0,18591000.0,26663000.0,27590000.0,25158000.0,37094000.0,44618000.0,45577000.0,71129000.0,70851000.0,76270000.0,125315000.0,97067000.0,43972000.0,,,11255000.0,28083000.0,26663000.0,25158000.0,44618000.0,71129000.0,76270000.0,97067000.0,,13639000.0,26663000.0,37094000.0,71129000.0,125315000.0,,11255000.0,26663000.0,44618000.0,76270000.0,,13639000.0,25158000.0,70851000.0,,25158000.0,13639000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,1137303000.0,555320000.0,613110000.0,746724000.0,,1499142000.0,889900000.0,1192230000.0,,,,,,,555320000.0,746724000.0,1499142000.0,1192230000.0,,,,555320000.0,,1192230000.0,,,,746724000.0,1192230000.0,,,613110000.0,1192230000.0,,1192230000.0,1192230000.0,1192230000.0,CommonMetricExtracted
CurrentReceivables,,,,,294192000.0,374660000.0,391571000.0,422817000.0,491958000.0,434635000.0,632705000.0,528020000.0,572263000.0,657771000.0,680202000.0,592796000.0,,1376789000.0,1722257000.0,980585000.0,,,374660000.0,422817000.0,434635000.0,528020000.0,657771000.0,592796000.0,1376789000.0,980585000.0,294192000.0,422817000.0,632705000.0,657771000.0,,980585000.0,,422817000.0,528020000.0,592796000.0,980585000.0,294192000.0,434635000.0,680202000.0,980585000.0,434635000.0,980585000.0,980585000.0,980585000.0,CommonMetricExtracted
