,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,650089000.0,591207000.0,768674000.0,973653000.0,1049367000.0,,,,,,,,,591207000.0,973653000.0,,,,,,768674000.0,,,,,591207000.0,,,,650089000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,388813000.0,312305000.0,361214000.0,348390000.0,471894000.0,,,,,,,,,312305000.0,348390000.0,,,,,,361214000.0,,,,,312305000.0,,,,388813000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,106396000.0,153476000.0,150937000.0,194722000.0,188429000.0,,,,,,,,,153476000.0,194722000.0,,,,,,150937000.0,,,,,153476000.0,,,,106396000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,102052000.0,108649000.0,121873000.0,150850000.0,176638000.0,,,,,,,,,108649000.0,150850000.0,,,,,,121873000.0,,,,,108649000.0,,,,102052000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,52828000.0,12158000.0,136650000.0,203307000.0,196244000.0,,,,,,,,,12158000.0,203307000.0,,,,,,136650000.0,,,,,12158000.0,,,,52828000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,3828000.0,2499000.0,2336000.0,10763000.0,,,,,,,,,3828000.0,2336000.0,,,,,,2499000.0,,,,,3828000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,16173000.0,-19552000.0,21191000.0,23852000.0,41909000.0,,,,,,,,,-19552000.0,23852000.0,,,,,,21191000.0,,,,,-19552000.0,,,,16173000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,37105000.0,18101000.0,119555000.0,187494000.0,152888000.0,,,,,,,,,18101000.0,187494000.0,,,,,,119555000.0,,,,,18101000.0,,,,37105000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,99743000.0,214491000.0,197214000.0,282383000.0,351576000.0,212143000.0,,,,,,,,214491000.0,282383000.0,212143000.0,,,,,197214000.0,212143000.0,,,,214491000.0,212143000.0,,,99743000.0,212143000.0,,212143000.0,212143000.0,212143000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,61253000.0,71016000.0,91503000.0,115176000.0,121211000.0,,,,,,,,61253000.0,91503000.0,121211000.0,,,,,71016000.0,121211000.0,,,,61253000.0,121211000.0,,,,121211000.0,,121211000.0,121211000.0,121211000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,2090000.0,31908000.0,,,,,,,,,,31908000.0,,,,,,31908000.0,,,,,31908000.0,,,,31908000.0,,31908000.0,31908000.0,31908000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,127227000.0,87498000.0,86160000.0,151301000.0,162302000.0,,,,,,,,127227000.0,86160000.0,162302000.0,,,,,87498000.0,162302000.0,,,,127227000.0,162302000.0,,,,162302000.0,,162302000.0,162302000.0,162302000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,448221000.0,430564000.0,511692000.0,665829000.0,572213000.0,,,,,,,,448221000.0,511692000.0,572213000.0,,,,,430564000.0,572213000.0,,,,448221000.0,572213000.0,,,,572213000.0,,572213000.0,572213000.0,572213000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,332330000.0,192393000.0,210028000.0,263099000.0,321175000.0,,,,,,,,332330000.0,210028000.0,321175000.0,,,,,192393000.0,321175000.0,,,,332330000.0,321175000.0,,,,321175000.0,,321175000.0,321175000.0,321175000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,1336000.0,1285000.0,20106000.0,20009000.0,27691000.0,202425000.0,,,,,,,,1285000.0,20009000.0,202425000.0,,,,,20106000.0,202425000.0,,,,1285000.0,202425000.0,,,1336000.0,202425000.0,,202425000.0,202425000.0,202425000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,35970000.0,52378000.0,276854000.0,,,,,,,,,35970000.0,276854000.0,,,,,,276854000.0,,,,,276854000.0,,,,276854000.0,,276854000.0,276854000.0,276854000.0,CommonMetricExtracted
