,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,557940000.0,663641000.0,779117000.0,908719000.0,996150000.0,1137046000.0,1262188000.0,1378942000.0,1511203000.0,1667447000.0,1840965000.0,990073000.0,1707910000.0,2301829000.0,2509857000.0,2512589000.0,,,557940000.0,779117000.0,996150000.0,1262188000.0,1511203000.0,1840965000.0,1707910000.0,2509857000.0,,663641000.0,996150000.0,1378942000.0,1840965000.0,2301829000.0,,557940000.0,996150000.0,1511203000.0,1707910000.0,,663641000.0,1262188000.0,990073000.0,,1262188000.0,663641000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,0.0,12640000.0,45132000.0,45385000.0,,,,,,,,,0.0,45132000.0,,,,,,12640000.0,,,,,0.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,19222000.0,21678000.0,28492000.0,21349000.0,34629000.0,56675000.0,73514000.0,78910000.0,43517000.0,72742000.0,100678000.0,114616000.0,106340000.0,,,,,21678000.0,21349000.0,56675000.0,78910000.0,72742000.0,114616000.0,,,21678000.0,34629000.0,78910000.0,100678000.0,,,21678000.0,56675000.0,72742000.0,,,21349000.0,43517000.0,,21349000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,393000.0,217000.0,136000.0,,,,,-1311000.0,205000.0,-91000.0,-491000.0,-1428000.0,,,,,393000.0,136000.0,,,205000.0,-491000.0,,,393000.0,,,-91000.0,,,393000.0,,205000.0,,,136000.0,-1311000.0,,136000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,115711000.0,153186000.0,156443000.0,,,,,,,,,,153186000.0,,,,,,115711000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,44233000.0,37630000.0,30116000.0,46233000.0,54901000.0,50828000.0,126389000.0,127101000.0,859000.0,37516000.0,69130000.0,-176974000.0,44767000.0,2460000.0,41455000.0,-68212000.0,,,44233000.0,30116000.0,54901000.0,126389000.0,859000.0,69130000.0,44767000.0,41455000.0,,37630000.0,54901000.0,127101000.0,69130000.0,2460000.0,,44233000.0,54901000.0,859000.0,44767000.0,,37630000.0,126389000.0,-176974000.0,,126389000.0,37630000.0,,CommonMetricExtracted
NetIncome,,,,,,,49398000.0,78414000.0,91779000.0,86303000.0,220330000.0,220866000.0,198148000.0,161802000.0,232117000.0,-184093000.0,151853000.0,2493000.0,117596000.0,-240238000.0,,,,49398000.0,91779000.0,220330000.0,198148000.0,232117000.0,151853000.0,117596000.0,,,91779000.0,220866000.0,232117000.0,2493000.0,,,91779000.0,198148000.0,151853000.0,,,220330000.0,-184093000.0,,220330000.0,,,CommonMetricExtracted
Cash,,,,97153000.0,90239000.0,113293000.0,150740000.0,89557000.0,97711000.0,89610000.0,87112000.0,64711000.0,59449000.0,81520000.0,,152764000.0,363378000.0,229989000.0,143259000.0,285892000.0,,97153000.0,113293000.0,89557000.0,89610000.0,64711000.0,81520000.0,152764000.0,229989000.0,285892000.0,90239000.0,89557000.0,87112000.0,81520000.0,363378000.0,285892000.0,97153000.0,89557000.0,64711000.0,152764000.0,285892000.0,90239000.0,89610000.0,,285892000.0,89610000.0,285892000.0,285892000.0,285892000.0,CommonMetricExtracted
CurrentReceivables,,,,,,7852000.0,12866000.0,18635000.0,16857000.0,14216000.0,21815000.0,40667000.0,71057000.0,36014000.0,,192215000.0,62659000.0,106578000.0,70743000.0,90407000.0,,,7852000.0,18635000.0,14216000.0,40667000.0,36014000.0,192215000.0,106578000.0,90407000.0,,18635000.0,21815000.0,36014000.0,62659000.0,90407000.0,,18635000.0,40667000.0,192215000.0,90407000.0,,14216000.0,,90407000.0,14216000.0,90407000.0,90407000.0,90407000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,24616000.0,28073000.0,161636000.0,63054000.0,67575000.0,,,,,,,,24616000.0,161636000.0,67575000.0,,,,,28073000.0,67575000.0,,,,24616000.0,67575000.0,,,,67575000.0,,67575000.0,67575000.0,67575000.0,CommonMetricExtracted
