,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,420400000.0,813200000.0,882500000.0,1007800000.0,,,,,,,,,420400000.0,882500000.0,,,,,,813200000.0,,,,,420400000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,332000000.0,417500000.0,413200000.0,719200000.0,,,,,,,,,332000000.0,413200000.0,,,,,,417500000.0,,,,,332000000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,49900000.0,55200000.0,63200000.0,126800000.0,,,,,,,,,49900000.0,63200000.0,,,,,,55200000.0,,,,,49900000.0,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,3000000.0,3900000.0,5800000.0,6400000.0,,,,,,,,,3000000.0,5800000.0,,,,,,3900000.0,,,,,3000000.0,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,23900000.0,335400000.0,389000000.0,210600000.0,,,,,,,,,23900000.0,389000000.0,,,,,,335400000.0,,,,,23900000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,23300000.0,61900000.0,58900000.0,78900000.0,,,,,,,,,23300000.0,58900000.0,,,,,,61900000.0,,,,,23300000.0,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,273500000.0,330100000.0,131700000.0,,,,,,,,,,330100000.0,,,,,,273500000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,93200000.0,,,,,,,,,,93200000.0,,,,,,93200000.0,,,,,93200000.0,,,,93200000.0,,93200000.0,93200000.0,93200000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,130300000.0,,,,,,,,,,130300000.0,,,,,,130300000.0,,,,,130300000.0,,,,130300000.0,,130300000.0,130300000.0,130300000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,218700000.0,,,,,,,,,,218700000.0,,,,,,218700000.0,,,,,218700000.0,,,,218700000.0,,218700000.0,218700000.0,218700000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,417600000.0,,,,,,,,,,417600000.0,,,,,,417600000.0,,,,,417600000.0,,,,417600000.0,,417600000.0,417600000.0,417600000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,859800000.0,,,,,,,,,,859800000.0,,,,,,859800000.0,,,,,859800000.0,,,,859800000.0,,859800000.0,859800000.0,859800000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,7371200000.0,,,,,,,,,,7371200000.0,,,,,,7371200000.0,,,,,7371200000.0,,,,7371200000.0,,7371200000.0,7371200000.0,7371200000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,120700000.0,1362900000.0,,,,,,,,,,1362900000.0,,,,,,1362900000.0,,,,,1362900000.0,,,,1362900000.0,,1362900000.0,1362900000.0,1362900000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,62200000.0,,,,,,,,,,62200000.0,,,,,,62200000.0,,,,,62200000.0,,,,62200000.0,,62200000.0,62200000.0,62200000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,,10190100000.0,,,,,,,,,,10190100000.0,,,,,,10190100000.0,,,,,10190100000.0,,,,10190100000.0,,10190100000.0,10190100000.0,10190100000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,288900000.0,,,,,,,,,,288900000.0,,,,,,288900000.0,,,,,288900000.0,,,,288900000.0,,288900000.0,288900000.0,288900000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,451900000.0,,,,,,,,,,451900000.0,,,,,,451900000.0,,,,,451900000.0,,,,451900000.0,,451900000.0,451900000.0,451900000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,1027000000.0,,,,,,,,,,1027000000.0,,,,,,1027000000.0,,,,,1027000000.0,,,,1027000000.0,,1027000000.0,1027000000.0,1027000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
