,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,313240000.0,333333000.0,396379000.0,458915000.0,469921000.0,532179000.0,572221000.0,612701000.0,665788000.0,,,,,,,333333000.0,458915000.0,532179000.0,612701000.0,,,,313240000.0,458915000.0,572221000.0,,,,333333000.0,532179000.0,,,,469921000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,449750000.0,396584000.0,566942000.0,610329000.0,541523000.0,546736000.0,648451000.0,,102600000.0,106591000.0,115973000.0,132599000.0,121305000.0,129666000.0,122889000.0,121791000.0,124803000.0,,,396584000.0,610329000.0,546736000.0,,106591000.0,132599000.0,129666000.0,121791000.0,,566942000.0,546736000.0,102600000.0,132599000.0,122889000.0,,396584000.0,546736000.0,106591000.0,129666000.0,,566942000.0,,121305000.0,,,566942000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,66086000.0,79958000.0,80277000.0,106051000.0,111440000.0,141484000.0,163884000.0,176138000.0,184280000.0,,,,,,,79958000.0,106051000.0,141484000.0,176138000.0,,,,66086000.0,106051000.0,163884000.0,,,,79958000.0,141484000.0,,,,111440000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,257717000.0,260208000.0,264649000.0,325733000.0,360421000.0,385185000.0,418170000.0,,71325000.0,93234000.0,97592000.0,117510000.0,126081000.0,167341000.0,202542000.0,212645000.0,221161000.0,,,260208000.0,325733000.0,385185000.0,,93234000.0,117510000.0,167341000.0,212645000.0,,264649000.0,385185000.0,71325000.0,117510000.0,202542000.0,,260208000.0,385185000.0,93234000.0,167341000.0,,264649000.0,,126081000.0,,,264649000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,11749000.0,13702000.0,-36411000.0,27024000.0,3388000.0,2032000.0,-288000.0,-28213000.0,12619000.0,32630000.0,,,,,,11749000.0,-36411000.0,3388000.0,-288000.0,12619000.0,,,,13702000.0,3388000.0,-28213000.0,,,,-36411000.0,-288000.0,,,11749000.0,2032000.0,,11749000.0,,,CommonMetricExtracted
Interest,,,,15492000.0,5092000.0,3843000.0,3730000.0,7976000.0,16637000.0,43549000.0,2416000.0,2265000.0,2160000.0,200000.0,6371000.0,11598000.0,12065000.0,4377000.0,6116000.0,5836000.0,,,5092000.0,3730000.0,16637000.0,2416000.0,2160000.0,6371000.0,12065000.0,6116000.0,,3843000.0,16637000.0,2265000.0,6371000.0,4377000.0,,5092000.0,16637000.0,2160000.0,12065000.0,,3843000.0,2416000.0,11598000.0,,2416000.0,3843000.0,,CommonMetricExtracted
Taxes,,,,59523000.0,54476000.0,84943000.0,78281000.0,35110000.0,30763000.0,51369000.0,,3539000.0,65530000.0,13309000.0,10930000.0,12532000.0,8506000.0,15216000.0,21545000.0,18455000.0,,,54476000.0,78281000.0,30763000.0,,65530000.0,10930000.0,8506000.0,21545000.0,,84943000.0,30763000.0,3539000.0,10930000.0,15216000.0,,54476000.0,30763000.0,65530000.0,8506000.0,,84943000.0,,12532000.0,,,84943000.0,,CommonMetricExtracted
NetIncome,,,,359651000.0,251062000.0,782884000.0,770711000.0,556807000.0,440065000.0,472658000.0,,10163000.0,-99407000.0,15535000.0,-7542000.0,-10500000.0,-8794000.0,-43429000.0,-8926000.0,14175000.0,,,251062000.0,770711000.0,440065000.0,,-99407000.0,-7542000.0,-8794000.0,-8926000.0,,782884000.0,440065000.0,10163000.0,-7542000.0,-43429000.0,,251062000.0,440065000.0,-99407000.0,-8794000.0,,782884000.0,,-10500000.0,,,782884000.0,,CommonMetricExtracted
Cash,,,890095000.0,1216743000.0,1546672000.0,2765196000.0,3371933000.0,2876627000.0,2869158000.0,2426367000.0,,16874000.0,39213000.0,35345000.0,223117000.0,241221000.0,413743000.0,316146000.0,467459000.0,561898000.0,,1216743000.0,2765196000.0,2876627000.0,2426367000.0,16874000.0,35345000.0,241221000.0,316146000.0,561898000.0,1546672000.0,2876627000.0,,35345000.0,413743000.0,561898000.0,1216743000.0,2876627000.0,16874000.0,241221000.0,561898000.0,1546672000.0,2426367000.0,223117000.0,561898000.0,2426367000.0,561898000.0,561898000.0,561898000.0,CommonMetricExtracted
CurrentReceivables,,,,,218144000.0,363614000.0,232273000.0,323708000.0,483032000.0,377964000.0,,79567000.0,92689000.0,101234000.0,112248000.0,124614000.0,146949000.0,181538000.0,207111000.0,195022000.0,,,363614000.0,323708000.0,377964000.0,79567000.0,101234000.0,124614000.0,181538000.0,195022000.0,218144000.0,323708000.0,,101234000.0,146949000.0,195022000.0,,323708000.0,79567000.0,124614000.0,195022000.0,218144000.0,377964000.0,112248000.0,195022000.0,377964000.0,195022000.0,195022000.0,195022000.0,CommonMetricExtracted
