,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,6150530000.0,6596950000.0,6941180000.0,,,,,,,,,,6596950000.0,,,,,,6150530000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,2585499000.0,2861370000.0,3186310000.0,3370897000.0,2996515000.0,3633900000.0,4005261000.0,4212485000.0,4464713000.0,,,,,,,2861370000.0,3370897000.0,3633900000.0,4212485000.0,,,,2585499000.0,3370897000.0,4005261000.0,,,,2861370000.0,3633900000.0,,,,2996515000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,322552000.0,254143000.0,296482000.0,349321000.0,,,,,463609000.0,535180000.0,584022000.0,610280000.0,515630000.0,603944000.0,644577000.0,677006000.0,696905000.0,,,254143000.0,349321000.0,,,535180000.0,610280000.0,603944000.0,677006000.0,,296482000.0,,463609000.0,610280000.0,644577000.0,,254143000.0,,535180000.0,603944000.0,,296482000.0,,515630000.0,,,296482000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,432654000.0,366050000.0,482158000.0,635941000.0,,,,,790979000.0,903620000.0,1075540000.0,1177380000.0,1027884000.0,1308670000.0,1500692000.0,1707459000.0,1779562000.0,,,366050000.0,635941000.0,,,903620000.0,1177380000.0,1308670000.0,1707459000.0,,482158000.0,,790979000.0,1177380000.0,1500692000.0,,366050000.0,,903620000.0,1308670000.0,,482158000.0,,1027884000.0,,,482158000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,83186000.0,81795000.0,112962000.0,,,,,,,,,,81795000.0,,,,,,83186000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,119264000.0,88863000.0,122318000.0,172178000.0,,,,,180945000.0,115259000.0,209812000.0,208451000.0,209870000.0,233117000.0,269150000.0,293224000.0,285415000.0,,,88863000.0,172178000.0,,,115259000.0,208451000.0,233117000.0,293224000.0,,122318000.0,,180945000.0,208451000.0,269150000.0,,88863000.0,,115259000.0,233117000.0,,122318000.0,,209870000.0,,,122318000.0,,CommonMetricExtracted
NetIncome,,,,246952000.0,205770000.0,283932000.0,384464000.0,,,,,512158000.0,681470000.0,777933000.0,861297000.0,872439000.0,990053000.0,1159542000.0,1313188000.0,1376124000.0,,,205770000.0,384464000.0,,,681470000.0,861297000.0,990053000.0,1313188000.0,,283932000.0,,512158000.0,861297000.0,1159542000.0,,205770000.0,,681470000.0,990053000.0,,283932000.0,,872439000.0,,,283932000.0,,CommonMetricExtracted
Cash,,,170139000.0,86980000.0,246356000.0,163208000.0,170392000.0,157984000.0,295203000.0,377615000.0,381005000.0,717259000.0,646300000.0,,393030000.0,1212822000.0,346772000.0,345386000.0,409804000.0,373999000.0,,86980000.0,163208000.0,157984000.0,377615000.0,717259000.0,,1212822000.0,345386000.0,373999000.0,246356000.0,157984000.0,381005000.0,,346772000.0,373999000.0,86980000.0,157984000.0,717259000.0,1212822000.0,373999000.0,246356000.0,377615000.0,393030000.0,373999000.0,377615000.0,373999000.0,373999000.0,373999000.0,CommonMetricExtracted
CurrentReceivables,,,,,331383000.0,399913000.0,438245000.0,507850000.0,536701000.0,585462000.0,603295000.0,592326000.0,668176000.0,,744760000.0,597472000.0,829213000.0,919335000.0,1012932000.0,948830000.0,,,399913000.0,507850000.0,585462000.0,592326000.0,,597472000.0,919335000.0,948830000.0,331383000.0,507850000.0,603295000.0,,829213000.0,948830000.0,,507850000.0,592326000.0,597472000.0,948830000.0,331383000.0,585462000.0,744760000.0,948830000.0,585462000.0,948830000.0,948830000.0,948830000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,311542000.0,335253000.0,380471000.0,428935000.0,452848000.0,495896000.0,514451000.0,492104000.0,540504000.0,,624567000.0,559171000.0,769175000.0,1044284000.0,1132471000.0,1021713000.0,,,335253000.0,428935000.0,495896000.0,492104000.0,,559171000.0,1044284000.0,1021713000.0,311542000.0,428935000.0,514451000.0,,769175000.0,1021713000.0,,428935000.0,492104000.0,559171000.0,1021713000.0,311542000.0,495896000.0,624567000.0,1021713000.0,495896000.0,1021713000.0,1021713000.0,1021713000.0,CommonMetricExtracted
CurrentAssets,,,,,969430000.0,974492000.0,1059119000.0,1164743000.0,1369129000.0,1578604000.0,1619613000.0,1928190000.0,1934655000.0,,2025771000.0,2522470000.0,2128765000.0,2528058000.0,2824668000.0,2603032000.0,,,974492000.0,1164743000.0,1578604000.0,1928190000.0,,2522470000.0,2528058000.0,2603032000.0,969430000.0,1164743000.0,1619613000.0,,2128765000.0,2603032000.0,,1164743000.0,1928190000.0,2522470000.0,2603032000.0,969430000.0,1578604000.0,2025771000.0,2603032000.0,1578604000.0,2603032000.0,2603032000.0,2603032000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,310053000.0,318126000.0,325329000.0,383483000.0,402790000.0,448446000.0,484548000.0,473230000.0,493296000.0,,548908000.0,526530000.0,617138000.0,635641000.0,891293000.0,818611000.0,,,318126000.0,383483000.0,448446000.0,473230000.0,,526530000.0,635641000.0,818611000.0,310053000.0,383483000.0,484548000.0,,617138000.0,818611000.0,,383483000.0,473230000.0,526530000.0,818611000.0,310053000.0,448446000.0,548908000.0,818611000.0,448446000.0,818611000.0,818611000.0,818611000.0,CommonMetricExtracted
Goodwill,,,,1240100000.0,1277300000.0,1573645000.0,1806237000.0,2208239000.0,2408400000.0,2614030000.0,2706633000.0,2819000000.0,3115619000.0,,4047539000.0,4224906000.0,5238726000.0,5372600000.0,6447629000.0,6555877000.0,,1240100000.0,1573645000.0,2208239000.0,2614030000.0,2819000000.0,,4224906000.0,5372600000.0,6555877000.0,1277300000.0,2208239000.0,2706633000.0,,5238726000.0,6555877000.0,1240100000.0,2208239000.0,2819000000.0,4224906000.0,6555877000.0,1277300000.0,2614030000.0,4047539000.0,6555877000.0,2614030000.0,6555877000.0,6555877000.0,6555877000.0,CommonMetricExtracted
