,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,68442000.0,102464000.0,167261000.0,238067000.0,276284000.0,299272000.0,,,,,,,,68442000.0,167261000.0,276284000.0,,,,,68442000.0,238067000.0,,,,,167261000.0,,,,102464000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,22105000.0,30483000.0,51764000.0,70442000.0,71923000.0,76924000.0,,,,,,,,22105000.0,51764000.0,71923000.0,,,,,22105000.0,70442000.0,,,,,51764000.0,,,,30483000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,47079000.0,51819000.0,86025000.0,129962000.0,153714000.0,168306000.0,,,,,,,,47079000.0,86025000.0,153714000.0,,,,,47079000.0,129962000.0,,,,,86025000.0,,,,51819000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,19036000.0,26098000.0,48251000.0,80589000.0,90138000.0,97565000.0,,,,,,,,19036000.0,48251000.0,90138000.0,,,,,19036000.0,80589000.0,,,,,48251000.0,,,,26098000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,1460000.0,269000.0,195000.0,3981000.0,13426000.0,14855000.0,,,,,,,,1460000.0,195000.0,13426000.0,,,,,1460000.0,3981000.0,,,,,195000.0,,,,269000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,24567000.0,74983000.0,94131000.0,89790000.0,94132000.0,,,,,,,,,74983000.0,89790000.0,,,,,,94131000.0,,,,,74983000.0,,,,24567000.0,,,,,CommonMetricExtracted
NetIncome,,,,,-19481000.0,-44742000.0,-95321000.0,,,,,,,,-33534000.0,-24567000.0,-74983000.0,-93377000.0,-90363000.0,-94319000.0,,,-19481000.0,-95321000.0,,,,-33534000.0,-74983000.0,-90363000.0,,-44742000.0,,,-33534000.0,-93377000.0,,-19481000.0,,,-74983000.0,,-44742000.0,,-24567000.0,,,-44742000.0,,CommonMetricExtracted
Cash,,,,,,33341000.0,54333000.0,,,,,,,,,117783000.0,307445000.0,218494000.0,248491000.0,171678000.0,,,33341000.0,,,,,117783000.0,218494000.0,171678000.0,,,,,307445000.0,171678000.0,,,,117783000.0,171678000.0,,,,171678000.0,,171678000.0,171678000.0,171678000.0,CommonMetricExtracted
CurrentReceivables,,,,,,113837000.0,111172000.0,,,,,,,,,17396000.0,20444000.0,22716000.0,29496000.0,26346000.0,,,113837000.0,,,,,17396000.0,22716000.0,26346000.0,,,,,20444000.0,26346000.0,,,,17396000.0,26346000.0,,,,26346000.0,,26346000.0,26346000.0,26346000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,6857000.0,19116000.0,20335000.0,16624000.0,20353000.0,,,,,,,,6857000.0,20335000.0,20353000.0,,,,,19116000.0,20353000.0,,,,6857000.0,20353000.0,,,,20353000.0,,20353000.0,20353000.0,20353000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
