,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,19556000.0,19714000.0,20605000.0,17837000.0,17628000.0,19746000.0,21325000.0,28340000.0,,,,,,,19556000.0,20605000.0,17628000.0,21325000.0,,,,,20605000.0,19746000.0,,,,19556000.0,17628000.0,,,,17837000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,9781000.0,9466000.0,14224000.0,10118000.0,10640000.0,10138000.0,9833000.0,9905000.0,10893000.0,12228000.0,,13371000.0,10902000.0,11364000.0,11981000.0,19155000.0,,,9781000.0,14224000.0,10640000.0,9833000.0,10893000.0,,10902000.0,11981000.0,,9466000.0,10640000.0,9905000.0,,11364000.0,,9781000.0,10640000.0,10893000.0,10902000.0,,9466000.0,9833000.0,13371000.0,,9833000.0,9466000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,3928000.0,4240000.0,4041000.0,4045000.0,4025000.0,3630000.0,3496000.0,3802000.0,4323000.0,3994000.0,4060000.0,4608000.0,4531000.0,5145000.0,7022000.0,7407000.0,,,3928000.0,4041000.0,4025000.0,3496000.0,4323000.0,4060000.0,4531000.0,7022000.0,,4240000.0,4025000.0,3802000.0,4060000.0,5145000.0,,3928000.0,4025000.0,4323000.0,4531000.0,,4240000.0,3496000.0,4608000.0,,3496000.0,4240000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-9453000.0,947000.0,2518000.0,696000.0,1237000.0,,,,,,,,,947000.0,696000.0,,,,,,2518000.0,,,,,947000.0,,,,-9453000.0,,,,,CommonMetricExtracted
Interest,,,,,2064000.0,2104000.0,2367000.0,2155000.0,1799000.0,1699000.0,1239000.0,1707000.0,1927000.0,1631000.0,1318000.0,1057000.0,739000.0,806000.0,1112000.0,1499000.0,,,2064000.0,2367000.0,1799000.0,1239000.0,1927000.0,1318000.0,739000.0,1112000.0,,2104000.0,1799000.0,1707000.0,1318000.0,806000.0,,2064000.0,1799000.0,1927000.0,739000.0,,2104000.0,1239000.0,1057000.0,,1239000.0,2104000.0,,CommonMetricExtracted
Taxes,,,,,247000.0,166000.0,208000.0,107000.0,84000.0,129000.0,434000.0,943000.0,-1103000.0,451000.0,128000.0,-1737000.0,269000.0,963000.0,431000.0,-295000.0,,,247000.0,208000.0,84000.0,434000.0,-1103000.0,128000.0,269000.0,431000.0,,166000.0,84000.0,943000.0,128000.0,963000.0,,247000.0,84000.0,-1103000.0,269000.0,,166000.0,434000.0,-1737000.0,,434000.0,166000.0,,CommonMetricExtracted
NetIncome,,,,,-188000.0,57000.0,506000.0,38000.0,-312000.0,-952000.0,-1522000.0,930000.0,1923000.0,1023000.0,659000.0,-7058000.0,194000.0,1328000.0,610000.0,2186000.0,,,-188000.0,506000.0,-312000.0,-1522000.0,1923000.0,659000.0,194000.0,610000.0,,57000.0,-312000.0,930000.0,659000.0,1328000.0,,-188000.0,-312000.0,1923000.0,194000.0,,57000.0,-1522000.0,-7058000.0,,-1522000.0,57000.0,,CommonMetricExtracted
Cash,,,,,,,2580000.0,1564000.0,1909000.0,1059000.0,2209000.0,2871000.0,2152000.0,1442000.0,1429000.0,3961000.0,8145000.0,12335000.0,13690000.0,11025000.0,,,,1564000.0,1059000.0,2871000.0,1442000.0,3961000.0,12335000.0,11025000.0,,1564000.0,2209000.0,1442000.0,8145000.0,11025000.0,,1564000.0,2871000.0,3961000.0,11025000.0,,1059000.0,1429000.0,11025000.0,1059000.0,11025000.0,11025000.0,11025000.0,CommonMetricExtracted
CurrentReceivables,,,,,,3730000.0,4604000.0,3706000.0,4665000.0,3323000.0,3145000.0,4375000.0,5235000.0,5741000.0,7063000.0,4575000.0,4824000.0,4128000.0,4847000.0,12663000.0,,,3730000.0,3706000.0,3323000.0,4375000.0,5741000.0,4575000.0,4128000.0,12663000.0,,3706000.0,3145000.0,5741000.0,4824000.0,12663000.0,,3706000.0,4375000.0,4575000.0,12663000.0,,3323000.0,7063000.0,12663000.0,3323000.0,12663000.0,12663000.0,12663000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,1169000.0,1174000.0,1245000.0,1275000.0,1392000.0,,,,,,,,1169000.0,1245000.0,1392000.0,,,,,1174000.0,1392000.0,,,,1169000.0,1392000.0,,,,1392000.0,,1392000.0,1392000.0,1392000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,15075000.0,17615000.0,15956000.0,7706000.0,14247000.0,6007000.0,8388000.0,8893000.0,9946000.0,10742000.0,10850000.0,15087000.0,18723000.0,20456000.0,26258000.0,,,15075000.0,15956000.0,14247000.0,8388000.0,9946000.0,10850000.0,18723000.0,26258000.0,,15956000.0,6007000.0,9946000.0,15087000.0,26258000.0,,15956000.0,8388000.0,10850000.0,26258000.0,,14247000.0,10742000.0,26258000.0,14247000.0,26258000.0,26258000.0,26258000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,30418000.0,28254000.0,23467000.0,25844000.0,31125000.0,,,,,,,,30418000.0,23467000.0,31125000.0,,,,,28254000.0,31125000.0,,,,30418000.0,31125000.0,,,,31125000.0,,31125000.0,31125000.0,31125000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,0.0,1265000.0,1265000.0,1265000.0,1265000.0,1265000.0,,,,,,,,1265000.0,1265000.0,1265000.0,,,,,1265000.0,1265000.0,,,,1265000.0,1265000.0,,,0.0,1265000.0,,1265000.0,1265000.0,1265000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,0.0,78000.0,78000.0,78000.0,78000.0,78000.0,,,,,,,,78000.0,78000.0,78000.0,,,,,78000.0,78000.0,,,,78000.0,78000.0,,,0.0,78000.0,,78000.0,78000.0,78000.0,CommonMetricExtracted
TotalAssets,,,,,,65340000.0,74535000.0,73323000.0,71742000.0,67528000.0,54114000.0,60598000.0,58176000.0,57502000.0,53783000.0,43653000.0,45430000.0,43956000.0,48162000.0,60197000.0,,,65340000.0,73323000.0,67528000.0,60598000.0,57502000.0,43653000.0,43956000.0,60197000.0,,73323000.0,54114000.0,57502000.0,45430000.0,60197000.0,,73323000.0,60598000.0,43653000.0,60197000.0,,67528000.0,53783000.0,60197000.0,67528000.0,60197000.0,60197000.0,60197000.0,CommonMetricExtracted
ShorttermDebt,,,,,,3474000.0,3940000.0,3932000.0,4804000.0,2005000.0,2674000.0,2205000.0,2459000.0,2119000.0,1526000.0,1157000.0,1081000.0,1262000.0,2084000.0,2841000.0,,,3474000.0,3932000.0,2005000.0,2205000.0,2119000.0,1157000.0,1262000.0,2841000.0,,3932000.0,2674000.0,2119000.0,1081000.0,2841000.0,,3932000.0,2205000.0,1157000.0,2841000.0,,2005000.0,1526000.0,2841000.0,2005000.0,2841000.0,2841000.0,2841000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,1160000.0,2073000.0,1811000.0,2810000.0,1184000.0,1537000.0,1419000.0,1547000.0,1764000.0,2336000.0,3101000.0,3261000.0,2029000.0,2770000.0,3450000.0,,,1160000.0,1811000.0,1184000.0,1419000.0,1764000.0,3101000.0,2029000.0,3450000.0,,1811000.0,1537000.0,1764000.0,3261000.0,3450000.0,,1811000.0,1419000.0,3101000.0,3450000.0,,1184000.0,2336000.0,3450000.0,1184000.0,3450000.0,3450000.0,3450000.0,CommonMetricExtracted
CurrentLiability,,,,,,8478000.0,11994000.0,11369000.0,14227000.0,17193000.0,10016000.0,9965000.0,10382000.0,11010000.0,10506000.0,15135000.0,9102000.0,7746000.0,12819000.0,13887000.0,,,8478000.0,11369000.0,17193000.0,9965000.0,11010000.0,15135000.0,7746000.0,13887000.0,,11369000.0,10016000.0,11010000.0,9102000.0,13887000.0,,11369000.0,9965000.0,15135000.0,13887000.0,,17193000.0,10506000.0,13887000.0,17193000.0,13887000.0,13887000.0,13887000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,827000.0,581000.0,359000.0,59000.0,0.0,1500000.0,,,,,,,,581000.0,59000.0,1500000.0,,,,,359000.0,1500000.0,,,,581000.0,1500000.0,,,827000.0,1500000.0,,1500000.0,1500000.0,1500000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,21191000.0,18331000.0,21883000.0,30170000.0,,,,,,,,,18331000.0,30170000.0,,,,,21191000.0,30170000.0,,,,,30170000.0,,,,30170000.0,,30170000.0,30170000.0,30170000.0,CommonMetricExtracted
ShareholderEquity,,,,22938000.0,22755000.0,23044000.0,25171000.0,24830000.0,24055000.0,26154000.0,25180000.0,27173000.0,29885000.0,31048000.0,31811000.0,23650000.0,24239000.0,25625000.0,26279000.0,30027000.0,,22938000.0,23044000.0,24830000.0,26154000.0,27173000.0,31048000.0,23650000.0,25625000.0,30027000.0,22755000.0,24830000.0,25180000.0,31048000.0,24239000.0,30027000.0,22938000.0,24830000.0,27173000.0,23650000.0,30027000.0,22755000.0,26154000.0,31811000.0,30027000.0,26154000.0,30027000.0,30027000.0,30027000.0,CommonMetricExtracted
OperatingCashFlow,,,,,7704000.0,7184000.0,6850000.0,6871000.0,8076000.0,,8548000.0,8378000.0,7853000.0,8062000.0,8047000.0,9745000.0,6267000.0,7235000.0,5718000.0,167000.0,,,7704000.0,6850000.0,8076000.0,8548000.0,7853000.0,8047000.0,6267000.0,5718000.0,,7184000.0,8076000.0,8378000.0,8047000.0,7235000.0,,7704000.0,8076000.0,7853000.0,6267000.0,,7184000.0,8548000.0,9745000.0,,8548000.0,7184000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,1145000.0,315000.0,5613000.0,6634000.0,1710000.0,5212000.0,1916000.0,1612000.0,803000.0,1577000.0,990000.0,455000.0,1674000.0,388000.0,6273000.0,7938000.0,,,1145000.0,5613000.0,1710000.0,1916000.0,803000.0,990000.0,1674000.0,6273000.0,,315000.0,1710000.0,1612000.0,990000.0,388000.0,,1145000.0,1710000.0,803000.0,1674000.0,,315000.0,1916000.0,455000.0,,1916000.0,315000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,-10145000.0,-315000.0,-4143000.0,-6665000.0,-1724000.0,,-910000.0,-1042000.0,-653000.0,-1526000.0,-990000.0,-2389000.0,-1674000.0,-388000.0,-6273000.0,-7105000.0,,,-10145000.0,-4143000.0,-1724000.0,-910000.0,-653000.0,-990000.0,-1674000.0,-6273000.0,,-315000.0,-1724000.0,-1042000.0,-990000.0,-388000.0,,-10145000.0,-1724000.0,-653000.0,-1674000.0,,-315000.0,-910000.0,-2389000.0,,-910000.0,-315000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,-7012000.0,-6264000.0,-29000.0,-1222000.0,-6019000.0,,-6488000.0,-6474000.0,-7819000.0,-7246000.0,-7070000.0,-4810000.0,-655000.0,-2657000.0,1910000.0,4405000.0,,,-7012000.0,-29000.0,-6019000.0,-6488000.0,-7819000.0,-7070000.0,-655000.0,1910000.0,,-6264000.0,-6019000.0,-6474000.0,-7070000.0,-2657000.0,,-7012000.0,-6019000.0,-7819000.0,-655000.0,,-6264000.0,-6488000.0,-4810000.0,,-6488000.0,-6264000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,0.5570157496420536,0.6202698589834635,,0.7496215731344957,0.6184479237576582,0.5755089638407779,0.5618288393903869,0.6758997882851094,,,,,,,0.5570157496420536,,0.6184479237576582,0.5618288393903869,,,,,,0.5755089638407779,,,,0.5570157496420536,0.6184479237576582,,,,0.7496215731344957,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,8663000.0,7486000.0,,4466000.0,6726000.0,8382000.0,9344000.0,9185000.0,,,,,,,8663000.0,,6726000.0,9344000.0,,,,,,8382000.0,,,,8663000.0,6726000.0,,,,4466000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,0.4429842503579464,0.37973014101653646,,0.25037842686550427,0.3815520762423417,0.4244910361592221,0.43817116060961314,0.3241002117148906,,,,,,,0.4429842503579464,,0.3815520762423417,0.43817116060961314,,,,,,0.4244910361592221,,,,0.4429842503579464,0.3815520762423417,,,,0.25037842686550427,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,0.2210574759664553,0.2025971390889723,0.1970395535064305,0.2583394068509278,0.25703426367143184,0.2605591005773321,0.32928487690504105,0.26136203246294987,,,,,,,0.2210574759664553,0.1970395535064305,0.25703426367143184,0.32928487690504105,,,,,0.1970395535064305,0.2605591005773321,,,,0.2210574759664553,0.25703426367143184,,,,0.2583394068509278,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,-0.5299658014240063,0.053721352393918766,0.1275194976197711,0.03263774912075029,0.04364855328158081,,,,,,,,,0.053721352393918766,0.03263774912075029,,,,,,0.1275194976197711,,,,,0.053721352393918766,,,,-0.5299658014240063,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,-0.11181635459642442,0.7803590285110876,0.3200953137410643,1.5977011494252873,1.211802748585287,,,,,,,,,0.7803590285110876,1.5977011494252873,,,,,,0.3200953137410643,,,,,0.7803590285110876,,,,-0.11181635459642442,,,,,CommonMetricCalculated
