,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,947045000.0,1030248000.0,1250274000.0,1645319000.0,1650333000.0,1744014000.0,1857186000.0,2066200000.0,1847502000.0,,,,,,,1030248000.0,1645319000.0,1744014000.0,2066200000.0,,,,947045000.0,1645319000.0,1857186000.0,,,,1030248000.0,1744014000.0,,,,1650333000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,357619000.0,399838000.0,449339000.0,527781000.0,602338000.0,672933000.0,747351000.0,805612000.0,994871000.0,1298846000.0,1323771000.0,1424739000.0,1630742000.0,1708676000.0,1469695000.0,,,,399838000.0,527781000.0,672933000.0,805612000.0,1298846000.0,1424739000.0,1708676000.0,,357619000.0,527781000.0,747351000.0,1298846000.0,1630742000.0,,,527781000.0,805612000.0,1424739000.0,,357619000.0,672933000.0,1323771000.0,,672933000.0,357619000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,56935000.0,61034000.0,58271000.0,57402000.0,59536000.0,64304000.0,66489000.0,70979000.0,77843000.0,89875000.0,83608000.0,89464000.0,92555000.0,94602000.0,92603000.0,,,,61034000.0,57402000.0,64304000.0,70979000.0,89875000.0,89464000.0,94602000.0,,56935000.0,57402000.0,66489000.0,89875000.0,92555000.0,,,57402000.0,70979000.0,89464000.0,,56935000.0,64304000.0,83608000.0,,64304000.0,56935000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,-37256000.0,-31054000.0,-33446000.0,17221000.0,34088000.0,54695000.0,93160000.0,108238000.0,107705000.0,141694000.0,132262000.0,114738000.0,36159000.0,136352000.0,161394000.0,,,,-31054000.0,17221000.0,54695000.0,108238000.0,141694000.0,114738000.0,136352000.0,,-37256000.0,17221000.0,93160000.0,141694000.0,36159000.0,,,17221000.0,108238000.0,114738000.0,,-37256000.0,54695000.0,132262000.0,,54695000.0,-37256000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,-14714000.0,-9942000.0,-12502000.0,6982000.0,13209000.0,18888000.0,33063000.0,37726000.0,31619000.0,27200000.0,25687000.0,19500000.0,-13257000.0,28963000.0,35752000.0,,,,-9942000.0,6982000.0,18888000.0,37726000.0,27200000.0,19500000.0,28963000.0,,-14714000.0,6982000.0,33063000.0,27200000.0,-13257000.0,,,6982000.0,37726000.0,19500000.0,,-14714000.0,18888000.0,25687000.0,,18888000.0,-14714000.0,,CommonMetricExtracted
NetIncome,,,,,,-22341000.0,-20018000.0,-20786000.0,9758000.0,20461000.0,35499000.0,58723000.0,71199000.0,63141000.0,83688000.0,74861000.0,61193000.0,-29722000.0,93723000.0,116216000.0,,,,-20018000.0,9758000.0,35499000.0,71199000.0,83688000.0,61193000.0,93723000.0,,-22341000.0,9758000.0,58723000.0,83688000.0,-29722000.0,,,9758000.0,71199000.0,61193000.0,,-22341000.0,35499000.0,74861000.0,,35499000.0,-22341000.0,,CommonMetricExtracted
Cash,,,,,82821000.0,53233000.0,55420000.0,96971000.0,96971000.0,135700000.0,149541000.0,174463000.0,176978000.0,78410000.0,57656000.0,97059000.0,91071000.0,22325000.0,41732000.0,87398000.0,,,53233000.0,96971000.0,135700000.0,174463000.0,78410000.0,97059000.0,22325000.0,87398000.0,82821000.0,96971000.0,149541000.0,78410000.0,91071000.0,87398000.0,,96971000.0,174463000.0,97059000.0,87398000.0,82821000.0,135700000.0,57656000.0,87398000.0,135700000.0,87398000.0,87398000.0,87398000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,31067000.0,32533000.0,39044000.0,46475000.0,46142000.0,55813000.0,63115000.0,136355000.0,125901000.0,106344000.0,146866000.0,156961000.0,119163000.0,132107000.0,,,,32533000.0,46475000.0,55813000.0,136355000.0,106344000.0,156961000.0,132107000.0,,32533000.0,46142000.0,136355000.0,146866000.0,132107000.0,,32533000.0,55813000.0,106344000.0,132107000.0,,46475000.0,125901000.0,132107000.0,46475000.0,132107000.0,132107000.0,132107000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,3799000.0,2523000.0,3084000.0,3862000.0,4758000.0,6864000.0,4526000.0,10805000.0,11441000.0,9933000.0,13861000.0,21112000.0,16661000.0,24104000.0,,,,2523000.0,3862000.0,6864000.0,10805000.0,9933000.0,21112000.0,24104000.0,,2523000.0,4758000.0,10805000.0,13861000.0,24104000.0,,2523000.0,6864000.0,9933000.0,24104000.0,,3862000.0,11441000.0,24104000.0,3862000.0,24104000.0,24104000.0,24104000.0,CommonMetricExtracted
Inventory,,,,,,,24471000.0,22340000.0,29338000.0,31523000.0,35988000.0,39319000.0,42859000.0,104800000.0,108528000.0,111836000.0,158167000.0,228259000.0,190699000.0,159101000.0,,,,22340000.0,31523000.0,39319000.0,104800000.0,111836000.0,228259000.0,159101000.0,,22340000.0,35988000.0,104800000.0,158167000.0,159101000.0,,22340000.0,39319000.0,111836000.0,159101000.0,,31523000.0,108528000.0,159101000.0,31523000.0,159101000.0,159101000.0,159101000.0,CommonMetricExtracted
CurrentAssets,,,,,,,120416000.0,131102000.0,177918000.0,225416000.0,281495000.0,302209000.0,339228000.0,364367000.0,306035000.0,325172000.0,409965000.0,428657000.0,368255000.0,402710000.0,,,,131102000.0,225416000.0,302209000.0,364367000.0,325172000.0,428657000.0,402710000.0,,131102000.0,281495000.0,364367000.0,409965000.0,402710000.0,,131102000.0,302209000.0,325172000.0,402710000.0,,225416000.0,306035000.0,402710000.0,225416000.0,402710000.0,402710000.0,402710000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,100628000.0,75375000.0,74064000.0,74049000.0,85516000.0,99332000.0,107933000.0,218102000.0,208263000.0,203824000.0,204002000.0,213808000.0,219415000.0,272461000.0,,,,75375000.0,74049000.0,99332000.0,218102000.0,203824000.0,213808000.0,272461000.0,,75375000.0,85516000.0,218102000.0,204002000.0,272461000.0,,75375000.0,99332000.0,203824000.0,272461000.0,,74049000.0,208263000.0,272461000.0,74049000.0,272461000.0,272461000.0,272461000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,0.0,767451000.0,767612000.0,767612000.0,767612000.0,767612000.0,767612000.0,767612000.0,,,,,,,767451000.0,767612000.0,767612000.0,767612000.0,,,,767451000.0,767612000.0,767612000.0,,,,767612000.0,767612000.0,,,767612000.0,767612000.0,,767612000.0,767612000.0,767612000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
