,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,994104000.0,1451086000.0,2793104000.0,2817058000.0,3283087000.0,4709248000.0,,,,,,,,994104000.0,2793104000.0,3283087000.0,,,,,994104000.0,2817058000.0,,,,,2793104000.0,,,,1451086000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,241274000.0,555578000.0,988095000.0,1256065000.0,1059191000.0,1166806000.0,,,,,,,,241274000.0,988095000.0,1059191000.0,,,,,241274000.0,1256065000.0,,,,,988095000.0,,,,555578000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,481781000.0,627796000.0,1129892000.0,919550000.0,830718000.0,849209000.0,,,,,,,,481781000.0,1129892000.0,830718000.0,,,,,481781000.0,919550000.0,,,,,1129892000.0,,,,627796000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,44966000.0,180652000.0,366402000.0,507607000.0,592386000.0,638689000.0,,,,,,,,44966000.0,366402000.0,592386000.0,,,,,44966000.0,507607000.0,,,,,366402000.0,,,,180652000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,24415000.0,-50053000.0,-23293000.0,962000.0,-29295000.0,-27583000.0,,,,,194371000.0,-62042000.0,150016000.0,-47791000.0,648207000.0,1873459000.0,,,24415000.0,-23293000.0,-29295000.0,,,194371000.0,150016000.0,648207000.0,,-50053000.0,-29295000.0,,194371000.0,-47791000.0,,24415000.0,-29295000.0,,150016000.0,,-50053000.0,,-62042000.0,,,-50053000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,73955000.0,77873000.0,103170000.0,171863000.0,275665000.0,318260000.0,,,,,,,,73955000.0,103170000.0,275665000.0,,,,,73955000.0,171863000.0,,,,,103170000.0,,,,77873000.0,,,,,CommonMetricExtracted
Taxes,,,,,3816000.0,12164000.0,1721000.0,3813000.0,1771000.0,2159000.0,,,,,7194000.0,-9772000.0,10973000.0,-12230000.0,23859000.0,-3771000.0,,,3816000.0,1721000.0,1771000.0,,,7194000.0,10973000.0,23859000.0,,12164000.0,1771000.0,,7194000.0,-12230000.0,,3816000.0,1771000.0,,10973000.0,,12164000.0,,-9772000.0,,,12164000.0,,CommonMetricExtracted
NetIncome,,,,,1112000.0,-86315000.0,-39314000.0,-37272000.0,-106298000.0,-68817000.0,,,,,119040000.0,-125934000.0,35338000.0,-192947000.0,356711000.0,1579776000.0,,,1112000.0,-39314000.0,-106298000.0,,,119040000.0,35338000.0,356711000.0,,-86315000.0,-106298000.0,,119040000.0,-192947000.0,,1112000.0,-106298000.0,,35338000.0,,-86315000.0,,-125934000.0,,,-86315000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,317235000.0,1520504000.0,,502152000.0,741411000.0,,,,,,,,317235000.0,,741411000.0,,,,,1520504000.0,741411000.0,,,,317235000.0,741411000.0,,,,741411000.0,,741411000.0,741411000.0,741411000.0,CommonMetricExtracted
CurrentReceivables,,,,,,16688000.0,20939000.0,22962000.0,20701000.0,,,,,,,296964000.0,514520000.0,,953810000.0,1414246000.0,,,16688000.0,22962000.0,,,,296964000.0,,1414246000.0,,22962000.0,,,514520000.0,1414246000.0,,22962000.0,,296964000.0,1414246000.0,,,,1414246000.0,,1414246000.0,1414246000.0,1414246000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,9401000.0,7631000.0,9589000.0,15636000.0,,,,,,,48795000.0,150040000.0,,160201000.0,156533000.0,,,9401000.0,9589000.0,,,,48795000.0,,156533000.0,,9589000.0,,,150040000.0,156533000.0,,9589000.0,,48795000.0,156533000.0,,,,156533000.0,,156533000.0,156533000.0,156533000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,216537000.0,230730000.0,224390000.0,215296000.0,,,,,,,662994000.0,3235064000.0,,1616163000.0,2312190000.0,,,216537000.0,224390000.0,,,,662994000.0,,2312190000.0,,224390000.0,,,3235064000.0,2312190000.0,,224390000.0,,662994000.0,2312190000.0,,,,2312190000.0,,2312190000.0,2312190000.0,2312190000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,137121000.0,249773000.0,966427000.0,1800000000.0,1842850000.0,1803426000.0,,,,,,,,249773000.0,1800000000.0,1803426000.0,,,,,966427000.0,1803426000.0,,,,249773000.0,1803426000.0,,,137121000.0,1803426000.0,,1803426000.0,1803426000.0,1803426000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,1086332000.0,1709347000.0,,1292635000.0,896677000.0,,,,,,,,1086332000.0,,896677000.0,,,,,1709347000.0,896677000.0,,,,1086332000.0,896677000.0,,,,896677000.0,,896677000.0,896677000.0,896677000.0,CommonMetricExtracted
TotalAssets,,,,,,327950000.0,324721000.0,328212000.0,333752000.0,,,,,,,2154593000.0,6163579000.0,,5359187000.0,5869259000.0,,,327950000.0,328212000.0,,,,2154593000.0,,5869259000.0,,328212000.0,,,6163579000.0,5869259000.0,,328212000.0,,2154593000.0,5869259000.0,,,,5869259000.0,,5869259000.0,5869259000.0,5869259000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,31534000.0,77645000.0,79676000.0,88308000.0,,,,,,,242332000.0,391990000.0,,636958000.0,972819000.0,,,31534000.0,79676000.0,,,,242332000.0,,972819000.0,,79676000.0,,,391990000.0,972819000.0,,79676000.0,,242332000.0,972819000.0,,,,972819000.0,,972819000.0,972819000.0,972819000.0,CommonMetricExtracted
CurrentLiability,,,,,,214151000.0,187075000.0,203125000.0,212007000.0,,,,,,,802201000.0,871189000.0,,1301542000.0,1551517000.0,,,214151000.0,203125000.0,,,,802201000.0,,1551517000.0,,203125000.0,,,871189000.0,1551517000.0,,203125000.0,,802201000.0,1551517000.0,,,,1551517000.0,,1551517000.0,1551517000.0,1551517000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,7994000.0,12046000.0,10695000.0,11485000.0,,,,,,,130787000.0,175318000.0,,252830000.0,212986000.0,,,7994000.0,10695000.0,,,,130787000.0,,212986000.0,,10695000.0,,,175318000.0,212986000.0,,10695000.0,,130787000.0,212986000.0,,,,212986000.0,,212986000.0,212986000.0,212986000.0,CommonMetricExtracted
TotalLiability,,,,,,252926000.0,276591000.0,306128000.0,411156000.0,,,,,,,2312829000.0,4025288000.0,,4102858000.0,4779441000.0,,,252926000.0,306128000.0,,,,2312829000.0,,4779441000.0,,306128000.0,,,4025288000.0,4779441000.0,,306128000.0,,2312829000.0,4779441000.0,,,,4779441000.0,,4779441000.0,4779441000.0,4779441000.0,CommonMetricExtracted
ShareholderEquity,,,,,,75024000.0,48130000.0,22084000.0,-77404000.0,,,,,-378355000.0,-256567000.0,-158545000.0,2138090000.0,,1256329000.0,1089818000.0,,,75024000.0,22084000.0,,,-378355000.0,-158545000.0,,1089818000.0,,22084000.0,,-378355000.0,2138090000.0,1089818000.0,,22084000.0,,-158545000.0,1089818000.0,,,-256567000.0,1089818000.0,,1089818000.0,1089818000.0,1089818000.0,CommonMetricExtracted
