,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,12274000000.0,12884000000.0,14435000000.0,14357000000.0,13066000000.0,15618000000.0,17489000000.0,20051000000.0,19713000000.0,,,,,,,12884000000.0,14357000000.0,15618000000.0,20051000000.0,,,,12274000000.0,14357000000.0,17489000000.0,,,,12884000000.0,15618000000.0,,,,13066000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,9527000000.0,10270000000.0,11706000000.0,11711000000.0,11126000000.0,13182000000.0,14854000000.0,16612000000.0,16002000000.0,,,,,,,10270000000.0,11711000000.0,13182000000.0,16612000000.0,,,,9527000000.0,11711000000.0,14854000000.0,,,,10270000000.0,13182000000.0,,,,11126000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,815000000.0,901000000.0,927000000.0,963000000.0,1081000000.0,1017000000.0,1145000000.0,952000000.0,993000000.0,1076000000.0,976000000.0,1075000000.0,1138000000.0,1436000000.0,1465000000.0,,,,901000000.0,963000000.0,1017000000.0,952000000.0,1076000000.0,1075000000.0,1436000000.0,,815000000.0,963000000.0,1145000000.0,1076000000.0,1138000000.0,,,963000000.0,952000000.0,1075000000.0,,815000000.0,1017000000.0,976000000.0,,1017000000.0,815000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,944000000.0,1506000000.0,1345000000.0,1523000000.0,1705000000.0,1508000000.0,1425000000.0,1255000000.0,1334000000.0,1126000000.0,1954000000.0,910000000.0,990000000.0,1337000000.0,2151000000.0,,,,1506000000.0,1523000000.0,1508000000.0,1255000000.0,1126000000.0,910000000.0,1337000000.0,,944000000.0,1523000000.0,1425000000.0,1126000000.0,990000000.0,,,1523000000.0,1255000000.0,910000000.0,,944000000.0,1508000000.0,1954000000.0,,1508000000.0,944000000.0,,CommonMetricExtracted
Interest,,,,,,30000000.0,123000000.0,136000000.0,143000000.0,135000000.0,127000000.0,156000000.0,140000000.0,141000000.0,164000000.0,164000000.0,150000000.0,219000000.0,285000000.0,337000000.0,,,,123000000.0,143000000.0,127000000.0,140000000.0,164000000.0,150000000.0,285000000.0,,30000000.0,143000000.0,156000000.0,164000000.0,219000000.0,,,143000000.0,140000000.0,150000000.0,,30000000.0,127000000.0,164000000.0,,127000000.0,30000000.0,,CommonMetricExtracted
Taxes,,,,,,258000000.0,305000000.0,212000000.0,256000000.0,282000000.0,263000000.0,242000000.0,223000000.0,250000000.0,132000000.0,49000000.0,101000000.0,121000000.0,-1928000000.0,223000000.0,,,,305000000.0,256000000.0,263000000.0,223000000.0,132000000.0,101000000.0,-1928000000.0,,258000000.0,256000000.0,242000000.0,132000000.0,121000000.0,,,256000000.0,223000000.0,101000000.0,,258000000.0,263000000.0,49000000.0,,263000000.0,258000000.0,,CommonMetricExtracted
NetIncome,,,,,,703000000.0,1223000000.0,1160000000.0,1301000000.0,1440000000.0,1535000000.0,1326000000.0,1428000000.0,1107000000.0,1009000000.0,1822000000.0,609000000.0,590000000.0,2966000000.0,1810000000.0,,,,1223000000.0,1301000000.0,1535000000.0,1428000000.0,1009000000.0,609000000.0,2966000000.0,,703000000.0,1301000000.0,1326000000.0,1009000000.0,590000000.0,,,1301000000.0,1428000000.0,609000000.0,,703000000.0,1535000000.0,1822000000.0,,1535000000.0,703000000.0,,CommonMetricExtracted
Cash,,,,,3107000000.0,3219000000.0,1363000000.0,1105000000.0,1389000000.0,904000000.0,535000000.0,838000000.0,1596000000.0,567000000.0,412000000.0,2821000000.0,3139000000.0,1531000000.0,1640000000.0,1573000000.0,,,3219000000.0,1105000000.0,904000000.0,838000000.0,567000000.0,2821000000.0,1531000000.0,1573000000.0,3107000000.0,1105000000.0,535000000.0,567000000.0,3139000000.0,1573000000.0,,1105000000.0,838000000.0,2821000000.0,1573000000.0,3107000000.0,904000000.0,412000000.0,1573000000.0,904000000.0,1573000000.0,1573000000.0,1573000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,2459000000.0,2425000000.0,2662000000.0,2628000000.0,2750000000.0,2938000000.0,2440000000.0,2487000000.0,2569000000.0,2812000000.0,2784000000.0,3433000000.0,3546000000.0,3261000000.0,,,,2425000000.0,2628000000.0,2938000000.0,2487000000.0,2812000000.0,3433000000.0,3261000000.0,,2425000000.0,2750000000.0,2487000000.0,2784000000.0,3261000000.0,,2425000000.0,2938000000.0,2812000000.0,3261000000.0,,2628000000.0,2569000000.0,3261000000.0,2628000000.0,3261000000.0,3261000000.0,3261000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,1054000000.0,1066000000.0,1093000000.0,1104000000.0,1181000000.0,1232000000.0,1083000000.0,1277000000.0,1286000000.0,1297000000.0,2014000000.0,2340000000.0,2365000000.0,2320000000.0,,,,1066000000.0,1104000000.0,1232000000.0,1277000000.0,1297000000.0,2340000000.0,2320000000.0,,1066000000.0,1181000000.0,1277000000.0,2014000000.0,2320000000.0,,1066000000.0,1232000000.0,1297000000.0,2320000000.0,,1104000000.0,1286000000.0,2320000000.0,1104000000.0,2320000000.0,2320000000.0,2320000000.0,CommonMetricExtracted
CurrentAssets,,,,,,,5501000000.0,5227000000.0,5752000000.0,5224000000.0,5121000000.0,5419000000.0,5641000000.0,4777000000.0,5319000000.0,7465000000.0,8436000000.0,7784000000.0,8247000000.0,7826000000.0,,,,5227000000.0,5224000000.0,5419000000.0,4777000000.0,7465000000.0,7784000000.0,7826000000.0,,5227000000.0,5121000000.0,4777000000.0,8436000000.0,7826000000.0,,5227000000.0,5419000000.0,7465000000.0,7826000000.0,,5224000000.0,5319000000.0,7826000000.0,5224000000.0,7826000000.0,7826000000.0,7826000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,2067000000.0,2315000000.0,2860000000.0,3216000000.0,3343000000.0,3377000000.0,3515000000.0,2804000000.0,3179000000.0,3309000000.0,3301000000.0,3294000000.0,3495000000.0,3785000000.0,3698000000.0,,,2067000000.0,2860000000.0,3343000000.0,3515000000.0,3179000000.0,3301000000.0,3495000000.0,3698000000.0,,2860000000.0,3377000000.0,3179000000.0,3294000000.0,3698000000.0,,2860000000.0,3515000000.0,3301000000.0,3698000000.0,,3343000000.0,3309000000.0,3698000000.0,3343000000.0,3698000000.0,3698000000.0,3698000000.0,CommonMetricExtracted
Goodwill,,,,,,,8000000.0,473000000.0,496000000.0,656000000.0,1539000000.0,1508000000.0,1944000000.0,2524000000.0,2407000000.0,2580000000.0,2511000000.0,5106000000.0,5151000000.0,5024000000.0,,,,473000000.0,656000000.0,1508000000.0,2524000000.0,2580000000.0,5106000000.0,5024000000.0,,473000000.0,1539000000.0,2524000000.0,2511000000.0,5024000000.0,,473000000.0,1508000000.0,2580000000.0,5024000000.0,,656000000.0,2407000000.0,5024000000.0,656000000.0,5024000000.0,5024000000.0,5024000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,588000000.0,803000000.0,723000000.0,746000000.0,1383000000.0,1240000000.0,1219000000.0,1380000000.0,1186000000.0,1091000000.0,964000000.0,2585000000.0,2399000000.0,2140000000.0,,,,803000000.0,746000000.0,1240000000.0,1380000000.0,1091000000.0,2585000000.0,2140000000.0,,803000000.0,1383000000.0,1380000000.0,964000000.0,2140000000.0,,803000000.0,1240000000.0,1091000000.0,2140000000.0,,746000000.0,1186000000.0,2140000000.0,746000000.0,2140000000.0,2140000000.0,2140000000.0,CommonMetricExtracted
TotalAssets,,,,,,,9128000000.0,10176000000.0,11047000000.0,10746000000.0,11973000000.0,12292000000.0,12169000000.0,12480000000.0,13459000000.0,17522000000.0,18007000000.0,21884000000.0,24427000000.0,23458000000.0,,,,10176000000.0,10746000000.0,12292000000.0,12480000000.0,17522000000.0,21884000000.0,23458000000.0,,10176000000.0,11973000000.0,12480000000.0,18007000000.0,23458000000.0,,10176000000.0,12292000000.0,17522000000.0,23458000000.0,,10746000000.0,13459000000.0,23458000000.0,10746000000.0,23458000000.0,23458000000.0,23458000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,3605000000.0,3519000000.0,3833000000.0,3855000000.0,3745000000.0,4136000000.0,3523000000.0,3388000000.0,3618000000.0,3956000000.0,4199000000.0,4834000000.0,4799000000.0,4622000000.0,,,,3519000000.0,3855000000.0,4136000000.0,3388000000.0,3956000000.0,4834000000.0,4622000000.0,,3519000000.0,3745000000.0,3388000000.0,4199000000.0,4622000000.0,,3519000000.0,4136000000.0,3956000000.0,4622000000.0,,3855000000.0,3618000000.0,4622000000.0,3855000000.0,4622000000.0,4622000000.0,4622000000.0,CommonMetricExtracted
CurrentLiability,,,,,,,4920000000.0,4900000000.0,5132000000.0,5163000000.0,5131000000.0,5721000000.0,4836000000.0,4748000000.0,5209000000.0,5431000000.0,5453000000.0,6549000000.0,6456000000.0,6883000000.0,,,,4900000000.0,5163000000.0,5721000000.0,4748000000.0,5431000000.0,6549000000.0,6883000000.0,,4900000000.0,5131000000.0,4748000000.0,5453000000.0,6883000000.0,,4900000000.0,5721000000.0,5431000000.0,6883000000.0,,5163000000.0,5209000000.0,6883000000.0,5163000000.0,6883000000.0,6883000000.0,6883000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,4494000000.0,5050000000.0,5087000000.0,5271000000.0,6670000000.0,6803000000.0,6092000000.0,6194000000.0,6817000000.0,6741000000.0,6419000000.0,9390000000.0,9346000000.0,10641000000.0,,,,5050000000.0,5271000000.0,6803000000.0,6194000000.0,6741000000.0,9390000000.0,10641000000.0,,5050000000.0,6670000000.0,6194000000.0,6419000000.0,10641000000.0,,5050000000.0,6803000000.0,6741000000.0,10641000000.0,,5271000000.0,6817000000.0,10641000000.0,5271000000.0,10641000000.0,10641000000.0,10641000000.0,CommonMetricExtracted
