,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1479943000.0,958461000.0,1765438000.0,1764046000.0,4212091000.0,3055443000.0,3631884000.0,3884781000.0,,,,,,,1479943000.0,1765438000.0,4212091000.0,3631884000.0,,,,,1765438000.0,3055443000.0,,,,1479943000.0,4212091000.0,,,,1764046000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,258999000.0,444178000.0,695256000.0,660146000.0,736501000.0,,,,,,,,,444178000.0,660146000.0,,,,,,695256000.0,,,,,444178000.0,,,,258999000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,425180000.0,379478000.0,1065690000.0,510806000.0,1333063000.0,1275352000.0,,,,,,,,425180000.0,1065690000.0,1333063000.0,,,,,425180000.0,510806000.0,,,,,1065690000.0,,,,379478000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,1740786000.0,518829000.0,607522000.0,449564000.0,,,,,,,,,1740786000.0,607522000.0,,,,,,518829000.0,,,,,1740786000.0,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,26154000.0,59263000.0,11253000.0,19064000.0,11019000.0,-23052000.0,32202000.0,52376000.0,54993000.0,147385000.0,71891000.0,172971000.0,164617000.0,,,,,59263000.0,19064000.0,-23052000.0,52376000.0,147385000.0,172971000.0,,,59263000.0,11019000.0,52376000.0,71891000.0,,,59263000.0,-23052000.0,147385000.0,,,19064000.0,54993000.0,,19064000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,918305000.0,438915000.0,1160092000.0,1110735000.0,,,,,,,,,918305000.0,1160092000.0,,,,,,438915000.0,,,,,918305000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
