,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,23487872000.0,26554563000.0,29676768000.0,28916847000.0,28673363000.0,34477018000.0,37124422000.0,33107120000.0,27923324000.0,,,,,,,26554563000.0,28916847000.0,34477018000.0,33107120000.0,,,,23487872000.0,28916847000.0,37124422000.0,,,,26554563000.0,34477018000.0,,,,28673363000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,12933207000.0,16326069000.0,18441661000.0,17667842000.0,18566356000.0,19772779000.0,20246770000.0,20681062000.0,23455169000.0,25975856000.0,25618466000.0,25482233000.0,30274653000.0,32287797000.0,28958102000.0,24630916000.0,,,12933207000.0,18441661000.0,18566356000.0,20246770000.0,23455169000.0,25618466000.0,30274653000.0,28958102000.0,,16326069000.0,18566356000.0,20681062000.0,25618466000.0,32287797000.0,,12933207000.0,18566356000.0,23455169000.0,30274653000.0,,16326069000.0,20246770000.0,25482233000.0,,20246770000.0,16326069000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1305566000.0,1556986000.0,1892592000.0,1849534000.0,1873638000.0,1959749000.0,1986249000.0,2052863000.0,2162996000.0,2303051000.0,2191612000.0,2087050000.0,2435030000.0,2567008000.0,2412822000.0,2217940000.0,,,1305566000.0,1892592000.0,1873638000.0,1986249000.0,2162996000.0,2191612000.0,2435030000.0,2412822000.0,,1556986000.0,1873638000.0,2052863000.0,2191612000.0,2567008000.0,,1305566000.0,1873638000.0,2162996000.0,2435030000.0,,1556986000.0,1986249000.0,2087050000.0,,1986249000.0,1556986000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,272787000.0,750775000.0,908843000.0,804123000.0,693500000.0,762257000.0,824482000.0,876826000.0,945736000.0,1147512000.0,107696000.0,894511000.0,1556822000.0,2068494000.0,1471164000.0,768557000.0,,,272787000.0,908843000.0,693500000.0,824482000.0,945736000.0,107696000.0,1556822000.0,1471164000.0,,750775000.0,693500000.0,876826000.0,107696000.0,2068494000.0,,272787000.0,693500000.0,945736000.0,1556822000.0,,750775000.0,824482000.0,894511000.0,,824482000.0,750775000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,65416000.0,199378000.0,210485000.0,203642000.0,182343000.0,184943000.0,191697000.0,190731000.0,287126000.0,187799000.0,88338000.0,172795000.0,325906000.0,448992000.0,254991000.0,95812000.0,,,65416000.0,210485000.0,182343000.0,191697000.0,287126000.0,88338000.0,325906000.0,254991000.0,,199378000.0,182343000.0,190731000.0,88338000.0,448992000.0,,65416000.0,182343000.0,287126000.0,325906000.0,,199378000.0,191697000.0,172795000.0,,191697000.0,199378000.0,,CommonMetricExtracted
NetIncome,,,,,123505000.0,479625000.0,599316000.0,506717000.0,399876000.0,498390000.0,500486000.0,524788000.0,407376000.0,721574000.0,-200168000.0,586464000.0,1110468000.0,1435158000.0,909363000.0,393507000.0,,,123505000.0,599316000.0,399876000.0,500486000.0,407376000.0,-200168000.0,1110468000.0,909363000.0,,479625000.0,399876000.0,524788000.0,-200168000.0,1435158000.0,,123505000.0,399876000.0,407376000.0,1110468000.0,,479625000.0,500486000.0,586464000.0,,500486000.0,479625000.0,,CommonMetricExtracted
Cash,,,,451272000.0,1137007000.0,926321000.0,396887000.0,409684000.0,390602000.0,400355000.0,273090000.0,534320000.0,730083000.0,509327000.0,300103000.0,373615000.0,222194000.0,176915000.0,218053000.0,188807000.0,,451272000.0,926321000.0,409684000.0,400355000.0,534320000.0,509327000.0,373615000.0,176915000.0,188807000.0,1137007000.0,409684000.0,273090000.0,509327000.0,222194000.0,188807000.0,451272000.0,409684000.0,534320000.0,373615000.0,188807000.0,1137007000.0,400355000.0,300103000.0,188807000.0,400355000.0,188807000.0,188807000.0,188807000.0,CommonMetricExtracted
CurrentReceivables,,,,,,4102870000.0,4482117000.0,4923898000.0,5769759000.0,6043850000.0,6161418000.0,6746687000.0,8171092000.0,8945463000.0,8482687000.0,9205343000.0,11123946000.0,12322717000.0,12238073000.0,13030991000.0,,,4102870000.0,4923898000.0,6043850000.0,6746687000.0,8945463000.0,9205343000.0,12322717000.0,13030991000.0,,4923898000.0,6161418000.0,8945463000.0,11123946000.0,13030991000.0,,4923898000.0,6746687000.0,9205343000.0,13030991000.0,,6043850000.0,8482687000.0,13030991000.0,6043850000.0,13030991000.0,13030991000.0,13030991000.0,CommonMetricExtracted
