,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,408544000.0,334503000.0,345066000.0,,,,,,,,,,334503000.0,,,,,,408544000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,257150000.0,242082000.0,241130000.0,,,,,,,,,,242082000.0,,,,,,257150000.0,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,96348000.0,103191000.0,94192000.0,,,,,,,,,,103191000.0,,,,,,96348000.0,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,-451.0,-1573512.0,,,55046000.0,-10770000.0,9744000.0,,,,,,,,-1573512.0,,-10770000.0,,,,,-1573512.0,55046000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,0.0,627795.0,,,14021000.0,-2116000.0,1986000.0,,,,,,,,627795.0,,-2116000.0,,,,,627795.0,14021000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,-451.0,963510.0,,,43861000.0,-5563000.0,5851000.0,,,,,,,,963510.0,,-5563000.0,,,,,963510.0,43861000.0,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,319399.0,,,,5873000.0,4698000.0,,,,,,,,,,4698000.0,,,,,,4698000.0,,,,,4698000.0,,,319399.0,4698000.0,,4698000.0,4698000.0,4698000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,134955.0,,,,32867000.0,36640000.0,,,,,,,,,,36640000.0,,,,,,36640000.0,,,,,36640000.0,,,134955.0,36640000.0,,36640000.0,36640000.0,36640000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,12507000.0,11057000.0,,,,,,,,,,11057000.0,,,,,,11057000.0,,,,,11057000.0,,,,11057000.0,,11057000.0,11057000.0,11057000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,177770000.0,224832000.0,,,,,,,,,,224832000.0,,,,,,224832000.0,,,,,224832000.0,,,,224832000.0,,224832000.0,224832000.0,224832000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,528312.0,,,,264774000.0,284030000.0,,,,,,,,,,284030000.0,,,,,,284030000.0,,,,,284030000.0,,,528312.0,284030000.0,,284030000.0,284030000.0,284030000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,27692000.0,36331000.0,,,,,,,,,,36331000.0,,,,,,36331000.0,,,,,36331000.0,,,,36331000.0,,36331000.0,36331000.0,36331000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,19860000.0,19860000.0,,,,,,,,,,19860000.0,,,,,,19860000.0,,,,,19860000.0,,,,19860000.0,,19860000.0,19860000.0,19860000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,21986000.0,20530000.0,,,,,,,,,,20530000.0,,,,,,20530000.0,,,,,20530000.0,,,,20530000.0,,20530000.0,20530000.0,20530000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,177153860.0,,,,553938000.0,604723000.0,,,,,,,,,,604723000.0,,,,,,604723000.0,,,,,604723000.0,,,177153860.0,604723000.0,,604723000.0,604723000.0,604723000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,1278000.0,605000.0,,,,,,,,,,605000.0,,,,,,605000.0,,,,,605000.0,,,,605000.0,,605000.0,605000.0,605000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,35377000.0,41584000.0,,,,,,,,,,41584000.0,,,,,,41584000.0,,,,,41584000.0,,,,41584000.0,,41584000.0,41584000.0,41584000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,504902.0,,,,58782000.0,88507000.0,,,,,,,,,,88507000.0,,,,,,88507000.0,,,,,88507000.0,,,504902.0,88507000.0,,88507000.0,88507000.0,88507000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,29000000.0,39235000.0,,,,,,,,,,39235000.0,,,,,,39235000.0,,,,,39235000.0,,,,39235000.0,,39235000.0,39235000.0,39235000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,24441000.0,30617000.0,,,,,,,,,,30617000.0,,,,,,30617000.0,,,,,30617000.0,,,,30617000.0,,30617000.0,30617000.0,30617000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,108923000.0,149103000.0,,,,,,,,,,149103000.0,,,,,,149103000.0,,,,,149103000.0,,,,149103000.0,,149103000.0,149103000.0,149103000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,408879000.0,444980000.0,445015000.0,455620000.0,,,,,,,,,444980000.0,455620000.0,,,,,408879000.0,455620000.0,,,,,455620000.0,,,,455620000.0,,455620000.0,455620000.0,455620000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,0.6294303673533328,0.7237065138429252,0.6987938539293932,,,,,,,,,,0.7237065138429252,,,,,,0.6294303673533328,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,151394000.0,92421000.0,103936000.0,,,,,,,,,,92421000.0,,,,,,151394000.0,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,0.3705696326466672,0.27629348615707483,0.3012061460706068,,,,,,,,,,0.27629348615707483,,,,,,0.3705696326466672,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,0.2358326153364142,0.3084905068115981,0.2729680698764874,,,,,,,,,,0.3084905068115981,,,,,,0.2358326153364142,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,0.134737017310253,-0.032197020654523276,0.028238076194119385,,,,,,,,,,-0.032197020654523276,,,,,,0.134737017310253,,,,,,,,,,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,,,,,-0.0,-0.39897693821210134,,,0.254714239000109,0.19647168059424328,0.20381773399014777,,,,,,,,-0.39897693821210134,,0.19647168059424328,,,,,-0.39897693821210134,0.254714239000109,,,,,,,,,,,,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,,0.10735930524007206,-0.016630643073455246,0.0169561764995682,,,,,,,,,,-0.016630643073455246,,,,,,0.10735930524007206,,,,,,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,0.604565105467981,,,,0.022181180931662475,0.016540506284547406,,,,,,,,,,0.016540506284547406,,,,,,0.016540506284547406,,,,,0.016540506284547406,,,0.604565105467981,0.016540506284547406,,0.016540506284547406,0.016540506284547406,0.016540506284547406,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,0.2554456457547813,,,,0.12413227884913171,0.12900045769813048,,,,,,,,,,0.12900045769813048,,,,,,0.12900045769813048,,,,,0.12900045769813048,,,0.2554456457547813,0.12900045769813048,,0.12900045769813048,0.12900045769813048,0.12900045769813048,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,0.04723651113780054,0.03892898637467873,,,,,,,,,,0.03892898637467873,,,,,,0.03892898637467873,,,,,0.03892898637467873,,,,0.03892898637467873,,0.03892898637467873,0.03892898637467873,0.03892898637467873,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,0.6714027812398499,0.7915783543991832,,,,,,,,,,0.7915783543991832,,,,,,0.7915783543991832,,,,,0.7915783543991832,,,,0.7915783543991832,,0.7915783543991832,0.7915783543991832,0.7915783543991832,CommonMetricCalculated
