,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,137177.0,,2660624.0,,,,,,,,,137177.0,2660624.0,,,,,,2660624.0,,,,,2660624.0,,,,2660624.0,,2660624.0,2660624.0,2660624.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,0.0,,37228.0,,,,,,,,,0.0,37228.0,,,,,,37228.0,,,,,37228.0,,,,37228.0,,37228.0,37228.0,37228.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,58731.0,373021.0,,2697852.0,,,,,,,,,373021.0,2697852.0,,,,,58731.0,2697852.0,,,,,2697852.0,,,,2697852.0,,2697852.0,2697852.0,2697852.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,0.0,,10114.0,,,,,,,,,0.0,10114.0,,,,,,10114.0,,,,,10114.0,,,,10114.0,,10114.0,10114.0,10114.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,0.0,,509500.0,,,,,,,,,0.0,509500.0,,,,,,509500.0,,,,,509500.0,,,,509500.0,,509500.0,509500.0,509500.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,58731.0,373021.0,,3217466.0,,,,,,,,,373021.0,3217466.0,,,,,58731.0,3217466.0,,,,,3217466.0,,,,3217466.0,,3217466.0,3217466.0,3217466.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,9144.0,214590.0,,430526.0,,,,,,,,,214590.0,430526.0,,,,,9144.0,430526.0,,,,,430526.0,,,,430526.0,,430526.0,430526.0,430526.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,31188.0,438476.0,,861790.0,,,,,,,,,438476.0,861790.0,,,,,31188.0,861790.0,,,,,861790.0,,,,861790.0,,861790.0,861790.0,861790.0,CommonMetricExtracted
