,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1147431000.0,1184739000.0,1171600000.0,1169613000.0,1024400000.0,1097200000.0,1274500000.0,1338200000.0,1305100000.0,,,,,,,1184739000.0,1169613000.0,1097200000.0,1338200000.0,,,,1147431000.0,1169613000.0,1274500000.0,,,,1184739000.0,1097200000.0,,,,1024400000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,740389000.0,585667000.0,592288000.0,736935000.0,729334000.0,725879000.0,760279000.0,764314000.0,882162000.0,941610000.0,1035833000.0,930205000.0,786800000.0,846000000.0,1010400000.0,1007400000.0,977200000.0,,,585667000.0,736935000.0,725879000.0,764314000.0,941610000.0,930205000.0,846000000.0,1007400000.0,,592288000.0,725879000.0,882162000.0,930205000.0,1010400000.0,,585667000.0,725879000.0,941610000.0,846000000.0,,592288000.0,764314000.0,786800000.0,,764314000.0,592288000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,160775000.0,180800000.0,183934000.0,166900000.0,227100000.0,247600000.0,276400000.0,276100000.0,,,,,,,160775000.0,183934000.0,227100000.0,276400000.0,,,,,183934000.0,247600000.0,,,,160775000.0,227100000.0,,,,166900000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,91769000.0,9907000.0,49244000.0,58398000.0,51108000.0,55681000.0,51697000.0,49987000.0,87155000.0,55537000.0,-86400000.0,25100000.0,43000000.0,22100000.0,7500000.0,48600000.0,23200000.0,,,9907000.0,58398000.0,55681000.0,49987000.0,55537000.0,25100000.0,22100000.0,48600000.0,,49244000.0,55681000.0,87155000.0,25100000.0,7500000.0,,9907000.0,55681000.0,55537000.0,22100000.0,,49244000.0,49987000.0,43000000.0,,49987000.0,49244000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,2500000.0,8900000.0,10700000.0,,,,,,,,,,8900000.0,,,,,,2500000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,34766000.0,8135000.0,16649000.0,19733000.0,19487000.0,19028000.0,19400000.0,20007000.0,32107000.0,19627000.0,-25200000.0,3012000.0,-1200000.0,-1400000.0,5000000.0,9100000.0,9800000.0,,,8135000.0,19733000.0,19028000.0,20007000.0,19627000.0,3012000.0,-1400000.0,9100000.0,,16649000.0,19028000.0,32107000.0,3012000.0,5000000.0,,8135000.0,19028000.0,19627000.0,-1400000.0,,16649000.0,20007000.0,-1200000.0,,20007000.0,16649000.0,,CommonMetricExtracted
NetIncome,,,,63128000.0,3068000.0,32430000.0,40563000.0,40828000.0,39042000.0,34458000.0,32797000.0,55159000.0,37795000.0,-60400000.0,22306000.0,46900000.0,17800000.0,-100000.0,33500000.0,4300000.0,,,3068000.0,40563000.0,39042000.0,32797000.0,37795000.0,22306000.0,17800000.0,33500000.0,,32430000.0,39042000.0,55159000.0,22306000.0,-100000.0,,3068000.0,39042000.0,37795000.0,17800000.0,,32430000.0,32797000.0,46900000.0,,32797000.0,32430000.0,,CommonMetricExtracted
Cash,,,34637000.0,9674000.0,40429000.0,94597000.0,57505000.0,80929000.0,35564000.0,13023000.0,25062000.0,82371000.0,62280000.0,25821000.0,48900000.0,158600000.0,134400000.0,66000000.0,63200000.0,90800000.0,,9674000.0,94597000.0,80929000.0,13023000.0,82371000.0,25821000.0,158600000.0,66000000.0,90800000.0,40429000.0,80929000.0,25062000.0,25821000.0,134400000.0,90800000.0,9674000.0,80929000.0,82371000.0,158600000.0,90800000.0,40429000.0,13023000.0,48900000.0,90800000.0,13023000.0,90800000.0,90800000.0,90800000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,130569000.0,120300000.0,115900000.0,144100000.0,173600000.0,152700000.0,167200000.0,,,,,,,130569000.0,115900000.0,173600000.0,167200000.0,,,,130569000.0,144100000.0,167200000.0,,,,115900000.0,167200000.0,,,120300000.0,167200000.0,,167200000.0,167200000.0,167200000.0,CommonMetricExtracted
