,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,2045469000.0,2070611000.0,1961971000.0,,,,,,,,,,2070611000.0,,,,,,2045469000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,109242000.0,133776000.0,150003000.0,53928000.0,49376000.0,53521000.0,52615000.0,87134000.0,149579000.0,39293000.0,155033000.0,148383000.0,173600000.0,275512000.0,278528000.0,228518000.0,,,109242000.0,150003000.0,49376000.0,52615000.0,149579000.0,155033000.0,173600000.0,278528000.0,,133776000.0,49376000.0,87134000.0,155033000.0,275512000.0,,109242000.0,49376000.0,149579000.0,173600000.0,,133776000.0,52615000.0,148383000.0,,52615000.0,133776000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,71790000.0,81676000.0,62629000.0,78688000.0,13185000.0,64525000.0,72790000.0,70563000.0,99400000.0,111018000.0,176997000.0,206390000.0,321232000.0,285483000.0,199832000.0,127803000.0,,,71790000.0,62629000.0,13185000.0,72790000.0,99400000.0,176997000.0,321232000.0,199832000.0,,81676000.0,13185000.0,70563000.0,176997000.0,285483000.0,,71790000.0,13185000.0,99400000.0,321232000.0,,81676000.0,72790000.0,206390000.0,,72790000.0,81676000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,46861000.0,72704000.0,82705000.0,,,,,,,,,,72704000.0,,,,,,46861000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,17156000.0,23413000.0,16995000.0,24672000.0,19266000.0,19702000.0,23408000.0,13394000.0,-28276000.0,19595000.0,11589000.0,16314000.0,72225000.0,64060000.0,24491000.0,14907000.0,,,17156000.0,16995000.0,19266000.0,23408000.0,-28276000.0,11589000.0,72225000.0,24491000.0,,23413000.0,19266000.0,13394000.0,11589000.0,64060000.0,,17156000.0,19266000.0,-28276000.0,72225000.0,,23413000.0,23408000.0,16314000.0,,23408000.0,23413000.0,,CommonMetricExtracted
NetIncome,,,,,34449000.0,39834000.0,23192000.0,40874000.0,-19628000.0,29860000.0,41222000.0,23488000.0,18495000.0,69285000.0,61202000.0,32115000.0,231420000.0,198581000.0,60327000.0,27434000.0,,,34449000.0,23192000.0,-19628000.0,41222000.0,18495000.0,61202000.0,231420000.0,60327000.0,,39834000.0,-19628000.0,23488000.0,61202000.0,198581000.0,,34449000.0,-19628000.0,18495000.0,231420000.0,,39834000.0,41222000.0,32115000.0,,41222000.0,39834000.0,,CommonMetricExtracted
Cash,,,,116114000.0,83229000.0,46543000.0,30503000.0,15442000.0,31699000.0,30560000.0,17697000.0,,32699000.0,59322000.0,46201000.0,39719000.0,69496000.0,,53555000.0,60576000.0,,116114000.0,46543000.0,15442000.0,30560000.0,,59322000.0,39719000.0,,60576000.0,83229000.0,15442000.0,17697000.0,59322000.0,69496000.0,60576000.0,116114000.0,15442000.0,,39719000.0,60576000.0,83229000.0,30560000.0,46201000.0,60576000.0,30560000.0,60576000.0,60576000.0,60576000.0,CommonMetricExtracted
CurrentReceivables,,,,,,40876000.0,42278000.0,47858000.0,52247000.0,43513000.0,57986000.0,,109114000.0,147755000.0,162870000.0,153511000.0,205399000.0,,215581000.0,208269000.0,,,40876000.0,47858000.0,43513000.0,,147755000.0,153511000.0,,208269000.0,,47858000.0,57986000.0,147755000.0,205399000.0,208269000.0,,47858000.0,,153511000.0,208269000.0,,43513000.0,162870000.0,208269000.0,43513000.0,208269000.0,208269000.0,208269000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,10132000.0,9785000.0,8855000.0,9730000.0,12613000.0,12660000.0,,20521000.0,18608000.0,20323000.0,39096000.0,28742000.0,,26626000.0,32870000.0,,,10132000.0,8855000.0,12613000.0,,18608000.0,39096000.0,,32870000.0,,8855000.0,12660000.0,18608000.0,28742000.0,32870000.0,,8855000.0,,39096000.0,32870000.0,,12613000.0,20323000.0,32870000.0,12613000.0,32870000.0,32870000.0,32870000.0,CommonMetricExtracted
Inventory,,,,,,7205000.0,8906000.0,9430000.0,9050000.0,10665000.0,12963000.0,,22169000.0,33536000.0,37397000.0,40410000.0,49204000.0,,49939000.0,49867000.0,,,7205000.0,9430000.0,10665000.0,,33536000.0,40410000.0,,49867000.0,,9430000.0,12963000.0,33536000.0,49204000.0,49867000.0,,9430000.0,,40410000.0,49867000.0,,10665000.0,37397000.0,49867000.0,10665000.0,49867000.0,49867000.0,49867000.0,CommonMetricExtracted
CurrentAssets,,,,,,117635000.0,132851000.0,104099000.0,119678000.0,117121000.0,101306000.0,,184503000.0,259221000.0,266791000.0,272736000.0,352841000.0,,345701000.0,351582000.0,,,117635000.0,104099000.0,117121000.0,,259221000.0,272736000.0,,351582000.0,,104099000.0,101306000.0,259221000.0,352841000.0,351582000.0,,104099000.0,,272736000.0,351582000.0,,117121000.0,266791000.0,351582000.0,117121000.0,351582000.0,351582000.0,351582000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,658756000.0,748913000.0,818924000.0,838172000.0,847268000.0,875401000.0,,1159962000.0,1555005000.0,1766020000.0,1939776000.0,2129934000.0,,2820769000.0,2752305000.0,,,658756000.0,818924000.0,847268000.0,,1555005000.0,1939776000.0,,2752305000.0,,818924000.0,875401000.0,1555005000.0,2129934000.0,2752305000.0,,818924000.0,,1939776000.0,2752305000.0,,847268000.0,1766020000.0,2752305000.0,847268000.0,2752305000.0,2752305000.0,2752305000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,39291000.0,39010000.0,38729000.0,,44577000.0,535359000.0,527654000.0,516290000.0,505125000.0,,482427000.0,467324000.0,,,,,39010000.0,,535359000.0,516290000.0,,467324000.0,,,38729000.0,535359000.0,505125000.0,467324000.0,,,,516290000.0,467324000.0,,39010000.0,527654000.0,467324000.0,39010000.0,467324000.0,467324000.0,467324000.0,CommonMetricExtracted
TotalAssets,,,,,,900654000.0,993719000.0,1035611000.0,1033139000.0,1031629000.0,1042263000.0,,1548844000.0,2470585000.0,2820178000.0,3001745000.0,3267335000.0,,3882090000.0,3893711000.0,,,900654000.0,1035611000.0,1031629000.0,,2470585000.0,3001745000.0,,3893711000.0,,1035611000.0,1042263000.0,2470585000.0,3267335000.0,3893711000.0,,1035611000.0,,3001745000.0,3893711000.0,,1031629000.0,2820178000.0,3893711000.0,1031629000.0,3893711000.0,3893711000.0,3893711000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,54710000.0,661000.0,,,,,,,,,,661000.0,,,,,,661000.0,,,,,661000.0,,,,661000.0,,661000.0,661000.0,661000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,12144000.0,10291000.0,8502000.0,9695000.0,8201000.0,8107000.0,,10455000.0,19623000.0,17586000.0,19005000.0,14950000.0,,238436000.0,246919000.0,,,12144000.0,8502000.0,8201000.0,,19623000.0,19005000.0,,246919000.0,,8502000.0,8107000.0,19623000.0,14950000.0,246919000.0,,8502000.0,,19005000.0,246919000.0,,8201000.0,17586000.0,246919000.0,8201000.0,246919000.0,246919000.0,246919000.0,CommonMetricExtracted
CurrentLiability,,,,,,160521000.0,141104000.0,130935000.0,132988000.0,145534000.0,162367000.0,,235254000.0,299689000.0,353111000.0,395283000.0,403016000.0,,487790000.0,450839000.0,,,160521000.0,130935000.0,145534000.0,,299689000.0,395283000.0,,450839000.0,,130935000.0,162367000.0,299689000.0,403016000.0,450839000.0,,130935000.0,,395283000.0,450839000.0,,145534000.0,353111000.0,450839000.0,145534000.0,450839000.0,450839000.0,450839000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,168662000.0,239774000.0,247201000.0,93378000.0,149697000.0,170107000.0,,106708000.0,116390000.0,116371000.0,134190000.0,115386000.0,,120379000.0,205606000.0,,,168662000.0,247201000.0,149697000.0,,116390000.0,134190000.0,,205606000.0,,247201000.0,170107000.0,116390000.0,115386000.0,205606000.0,,247201000.0,,134190000.0,205606000.0,,149697000.0,116371000.0,205606000.0,149697000.0,205606000.0,205606000.0,205606000.0,CommonMetricExtracted
TotalLiability,,,,,,598577000.0,723572000.0,736355000.0,664171000.0,684140000.0,678106000.0,,1153565000.0,2034147000.0,2359836000.0,2146248000.0,1944958000.0,,2513388000.0,2409699000.0,,,598577000.0,736355000.0,684140000.0,,2034147000.0,2146248000.0,,2409699000.0,,736355000.0,678106000.0,2034147000.0,1944958000.0,2409699000.0,,736355000.0,,2146248000.0,2409699000.0,,684140000.0,2359836000.0,2409699000.0,684140000.0,2409699000.0,2409699000.0,2409699000.0,CommonMetricExtracted
ShareholderEquity,,,,80392000.0,245982000.0,302077000.0,270147000.0,299256000.0,368968000.0,347489000.0,364157000.0,,395279000.0,436438000.0,460342000.0,855497000.0,1322377000.0,,1368702000.0,1484012000.0,,80392000.0,302077000.0,299256000.0,347489000.0,,436438000.0,855497000.0,,1484012000.0,245982000.0,299256000.0,364157000.0,436438000.0,1322377000.0,1484012000.0,80392000.0,299256000.0,,855497000.0,1484012000.0,245982000.0,347489000.0,460342000.0,1484012000.0,347489000.0,1484012000.0,1484012000.0,1484012000.0,CommonMetricExtracted
OperatingCashFlow,,,,,102984000.0,112263000.0,136106000.0,110633000.0,94411000.0,149725000.0,175009000.0,193092000.0,234992000.0,298025000.0,396938000.0,512302000.0,583557000.0,472120000.0,654081000.0,532815000.0,,,102984000.0,136106000.0,94411000.0,175009000.0,234992000.0,396938000.0,583557000.0,654081000.0,,112263000.0,94411000.0,193092000.0,396938000.0,472120000.0,,102984000.0,94411000.0,234992000.0,583557000.0,,112263000.0,175009000.0,512302000.0,,175009000.0,112263000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,101227000.0,110681000.0,213083000.0,155243000.0,112712000.0,112184000.0,158714000.0,264477000.0,296939000.0,292915000.0,453502000.0,510417000.0,504748000.0,599431000.0,793447000.0,331006000.0,,,101227000.0,213083000.0,112712000.0,158714000.0,296939000.0,453502000.0,504748000.0,793447000.0,,110681000.0,112712000.0,264477000.0,453502000.0,599431000.0,,101227000.0,112712000.0,296939000.0,504748000.0,,110681000.0,158714000.0,510417000.0,,158714000.0,110681000.0,,CommonMetricExtracted
