,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,3972000.0,3766000.0,3175000.0,,,,,,,,,3972000.0,3175000.0,,,,,,3175000.0,,,,,3175000.0,,,,3175000.0,,3175000.0,3175000.0,3175000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,1465000.0,3135000.0,314000.0,,,,,,,,,1465000.0,314000.0,,,,,,314000.0,,,,,314000.0,,,,314000.0,,314000.0,314000.0,314000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,1142000.0,972000.0,364000.0,,,,,,,,,1142000.0,364000.0,,,,,,364000.0,,,,,364000.0,,,,364000.0,,364000.0,364000.0,364000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,7970000.0,8714000.0,3853000.0,,,,,,,,,7970000.0,3853000.0,,,,,,3853000.0,,,,,3853000.0,,,,3853000.0,,3853000.0,3853000.0,3853000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,6416000.0,5821000.0,22000.0,,,,,,,,,6416000.0,22000.0,,,,,,22000.0,,,,,22000.0,,,,22000.0,,22000.0,22000.0,22000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,14944000.0,14910000.0,4816000.0,,,,,,,,,14944000.0,4816000.0,,,,,,4816000.0,,,,,4816000.0,,,,4816000.0,,4816000.0,4816000.0,4816000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,3709000.0,4899000.0,1625000.0,,,,,,,,,3709000.0,1625000.0,,,,,,1625000.0,,,,,1625000.0,,,,1625000.0,,1625000.0,1625000.0,1625000.0,CommonMetricExtracted
