,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,1676763000.0,1512565000.0,1558740000.0,1619780000.0,1547002000.0,1618505000.0,1472562000.0,1484776000.0,1442483000.0,1445929000.0,1396893000.0,1345622000.0,1321891000.0,1438936000.0,1710207000.0,1752000000.0,1938000000.0,,,1512565000.0,1619780000.0,1618505000.0,1484776000.0,1445929000.0,1345622000.0,1438936000.0,1752000000.0,,1558740000.0,1618505000.0,1442483000.0,1345622000.0,1710207000.0,,1512565000.0,1618505000.0,1445929000.0,1438936000.0,,1558740000.0,1484776000.0,1321891000.0,,1484776000.0,1558740000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,184911000.0,200658000.0,230188000.0,235622000.0,190070000.0,244393000.0,252588000.0,253214000.0,299861000.0,292179000.0,261113000.0,210389000.0,232700000.0,228232000.0,190242000.0,258000000.0,306000000.0,,,200658000.0,235622000.0,244393000.0,253214000.0,292179000.0,210389000.0,228232000.0,258000000.0,,230188000.0,244393000.0,299861000.0,210389000.0,190242000.0,,200658000.0,244393000.0,292179000.0,228232000.0,,230188000.0,253214000.0,232700000.0,,253214000.0,230188000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,99715000.0,103012000.0,104348000.0,105731000.0,118000000.0,141000000.0,147000000.0,,,,,,,,103012000.0,105731000.0,141000000.0,,,,,103012000.0,118000000.0,,,,,105731000.0,,,,104348000.0,,,,,CommonMetricExtracted
Taxes,,,,72057000.0,76583000.0,73392000.0,83349000.0,83409000.0,88435000.0,94300000.0,97657000.0,98735000.0,106752000.0,107295000.0,105652000.0,106501000.0,109353000.0,114193000.0,110000000.0,116000000.0,,,76583000.0,83349000.0,88435000.0,97657000.0,106752000.0,105652000.0,109353000.0,110000000.0,,73392000.0,88435000.0,98735000.0,105652000.0,114193000.0,,76583000.0,88435000.0,106752000.0,109353000.0,,73392000.0,97657000.0,106501000.0,,97657000.0,73392000.0,,CommonMetricExtracted
NetIncome,,,,73620000.0,87071000.0,92425000.0,100224000.0,78210000.0,111077000.0,192041000.0,123227000.0,137228000.0,115916000.0,136429000.0,196979000.0,129488000.0,147334000.0,155176000.0,171180000.0,180000000.0,,,87071000.0,100224000.0,111077000.0,123227000.0,115916000.0,196979000.0,147334000.0,171180000.0,,92425000.0,111077000.0,137228000.0,196979000.0,155176000.0,,87071000.0,111077000.0,115916000.0,147334000.0,,92425000.0,123227000.0,129488000.0,,123227000.0,92425000.0,,CommonMetricExtracted
Cash,,,11839000.0,24313000.0,37035000.0,69413000.0,74662000.0,75464000.0,82574000.0,22143000.0,10484000.0,8507000.0,16172000.0,14656000.0,9896000.0,14196000.0,22168000.0,13428000.0,35003000.0,30000000.0,,24313000.0,69413000.0,75464000.0,22143000.0,8507000.0,14656000.0,14196000.0,13428000.0,30000000.0,37035000.0,75464000.0,10484000.0,14656000.0,22168000.0,30000000.0,24313000.0,75464000.0,8507000.0,14196000.0,30000000.0,37035000.0,22143000.0,9896000.0,30000000.0,22143000.0,30000000.0,30000000.0,30000000.0,CommonMetricExtracted
CurrentReceivables,,,,,210645000.0,230229000.0,203452000.0,193683000.0,221343000.0,171925000.0,169413000.0,180265000.0,185664000.0,165824000.0,166657000.0,163772000.0,203035000.0,255746000.0,217000000.0,205000000.0,,,230229000.0,193683000.0,171925000.0,180265000.0,165824000.0,163772000.0,255746000.0,205000000.0,210645000.0,193683000.0,169413000.0,165824000.0,203035000.0,205000000.0,,193683000.0,180265000.0,163772000.0,205000000.0,210645000.0,171925000.0,166657000.0,205000000.0,171925000.0,205000000.0,205000000.0,205000000.0,CommonMetricExtracted
