,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,16131000.0,12204000.0,11309000.0,16854000.0,16008000.0,18244000.0,17389000.0,,,,,,,,12204000.0,16854000.0,18244000.0,,,,,12204000.0,16008000.0,,,,,16854000.0,,,,11309000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,1261000.0,810000.0,1210000.0,1260000.0,1273000.0,1132000.0,,,,,,,,1261000.0,1210000.0,1273000.0,,,,,1261000.0,1260000.0,,,,,1210000.0,,,,810000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,3915000.0,4132000.0,4312000.0,,,3945000.0,4142000.0,4021000.0,4178000.0,3610000.0,5411000.0,6324000.0,6962000.0,7955000.0,7678000.0,,,,4132000.0,,3945000.0,4021000.0,3610000.0,6324000.0,7955000.0,,3915000.0,,4142000.0,3610000.0,6962000.0,,,,4021000.0,6324000.0,,3915000.0,3945000.0,5411000.0,,3945000.0,3915000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,5890000.0,5295000.0,5749000.0,,,5800000.0,6938000.0,7769000.0,7105000.0,7928000.0,9093000.0,9259000.0,9234000.0,9124000.0,7757000.0,,,,5295000.0,,5800000.0,7769000.0,7928000.0,9259000.0,9124000.0,,5890000.0,,6938000.0,7928000.0,9234000.0,,,,7769000.0,9259000.0,,5890000.0,5800000.0,9093000.0,,5800000.0,5890000.0,,CommonMetricExtracted
OperatingMargin,,,,,,671000.0,3395000.0,92120000.0,,,4078000.0,6188000.0,2247000.0,1225000.0,-3129000.0,-9248000.0,-6093000.0,-1677000.0,-7255000.0,-4378000.0,,,,3395000.0,,4078000.0,2247000.0,-3129000.0,-6093000.0,-7255000.0,,671000.0,,6188000.0,-3129000.0,-1677000.0,,,,2247000.0,-6093000.0,,671000.0,4078000.0,-9248000.0,,4078000.0,671000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,-110000.0,305000.0,56000.0,,,,,,,,,,305000.0,,,,,,-110000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,180000.0,2567000.0,72307000.0,,,4614000.0,4103000.0,1282000.0,1233000.0,-8340000.0,-7614000.0,-5824000.0,-1726000.0,-7314000.0,-4431000.0,,,,2567000.0,,4614000.0,1282000.0,-8340000.0,-5824000.0,-7314000.0,,180000.0,,4103000.0,-8340000.0,-1726000.0,,,,1282000.0,-5824000.0,,180000.0,4614000.0,-7614000.0,,4614000.0,180000.0,,CommonMetricExtracted
Cash,,,,,,,46577000.0,71074000.0,72660000.0,43985000.0,,,,51612000.0,47742000.0,38565000.0,29963000.0,,10002000.0,12972000.0,,,,71074000.0,43985000.0,,51612000.0,38565000.0,,12972000.0,,71074000.0,,51612000.0,29963000.0,12972000.0,,71074000.0,,38565000.0,12972000.0,,43985000.0,47742000.0,12972000.0,43985000.0,12972000.0,12972000.0,12972000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,4582000.0,3619000.0,,,,3279000.0,5802000.0,4514000.0,6850000.0,2929000.0,3855000.0,4002000.0,,,,,3619000.0,,3279000.0,4514000.0,2929000.0,4002000.0,,,,3279000.0,6850000.0,4002000.0,,,,4514000.0,4002000.0,,3619000.0,5802000.0,4002000.0,3619000.0,4002000.0,4002000.0,4002000.0,CommonMetricExtracted
