,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,55364000.0,95493000.0,104121000.0,88374000.0,85335000.0,83499000.0,77502000.0,81349000.0,98673000.0,102397000.0,83256000.0,95361000.0,137393000.0,141118000.0,75795000.0,99361000.0,,,55364000.0,104121000.0,85335000.0,77502000.0,98673000.0,83256000.0,137393000.0,75795000.0,,95493000.0,85335000.0,81349000.0,83256000.0,141118000.0,,55364000.0,85335000.0,98673000.0,137393000.0,,95493000.0,77502000.0,95361000.0,,77502000.0,95493000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,54968000.0,64198000.0,65350000.0,58431000.0,65086000.0,89979000.0,88997000.0,62477000.0,75525000.0,,,,,,,64198000.0,58431000.0,89979000.0,62477000.0,,,,54968000.0,58431000.0,88997000.0,,,,64198000.0,89979000.0,,,,65086000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,13389000.0,13972000.0,14836000.0,15419000.0,16066000.0,14970000.0,16064000.0,13880000.0,17009000.0,19003000.0,19305000.0,19200000.0,24189000.0,25654000.0,22806000.0,24096000.0,,,13389000.0,14836000.0,16066000.0,16064000.0,17009000.0,19305000.0,24189000.0,22806000.0,,13972000.0,16066000.0,13880000.0,19305000.0,25654000.0,,13389000.0,16066000.0,17009000.0,24189000.0,,13972000.0,16064000.0,19200000.0,,16064000.0,13972000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,1569000.0,2339000.0,2473000.0,3468000.0,3424000.0,4144000.0,5664000.0,5850000.0,4827000.0,5897000.0,5834000.0,7135000.0,10328000.0,13913000.0,12081000.0,14543000.0,,,1569000.0,2473000.0,3424000.0,5664000.0,4827000.0,5834000.0,10328000.0,12081000.0,,2339000.0,3424000.0,5850000.0,5834000.0,13913000.0,,1569000.0,3424000.0,4827000.0,10328000.0,,2339000.0,5664000.0,7135000.0,,5664000.0,2339000.0,,CommonMetricExtracted
OperatingMargin,,,,,385000.0,2462000.0,696000.0,-761000.0,-748000.0,361000.0,2023000.0,860000.0,-553000.0,352000.0,947000.0,3200000.0,509000.0,3487000.0,2179000.0,2047000.0,,,385000.0,696000.0,-748000.0,2023000.0,-553000.0,947000.0,509000.0,2179000.0,,2462000.0,-748000.0,860000.0,947000.0,3487000.0,,385000.0,-748000.0,-553000.0,509000.0,,2462000.0,2023000.0,3200000.0,,2023000.0,2462000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,471000.0,2323000.0,2795000.0,853000.0,188000.0,215000.0,531000.0,733000.0,792000.0,938000.0,562000.0,2031000.0,1093000.0,2185000.0,160000.0,1134000.0,,,471000.0,2795000.0,188000.0,531000.0,792000.0,562000.0,1093000.0,160000.0,,2323000.0,188000.0,733000.0,562000.0,2185000.0,,471000.0,188000.0,792000.0,1093000.0,,2323000.0,531000.0,2031000.0,,531000.0,2323000.0,,CommonMetricExtracted
NetIncome,,,,,393000.0,1723000.0,5503000.0,3040000.0,1145000.0,691000.0,-305000.0,-670000.0,-87000.0,1355000.0,1012000.0,1803000.0,1934000.0,2931000.0,-1312000.0,-167000.0,,,393000.0,5503000.0,1145000.0,-305000.0,-87000.0,1012000.0,1934000.0,-1312000.0,,1723000.0,1145000.0,-670000.0,1012000.0,2931000.0,,393000.0,1145000.0,-87000.0,1934000.0,,1723000.0,-305000.0,1803000.0,,-305000.0,1723000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,23100000.0,17966000.0,17912000.0,14943000.0,17864000.0,18468000.0,14453000.0,22778000.0,19586000.0,,,,,,,,,23100000.0,17912000.0,17864000.0,14453000.0,19586000.0,,,,,17912000.0,18468000.0,19586000.0,,,,17912000.0,14453000.0,,,,17864000.0,,,17864000.0,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,14839000.0,10883000.0,13096000.0,15426000.0,14771000.0,12841000.0,13050000.0,22594000.0,28709000.0,,,,,,,,,14839000.0,13096000.0,14771000.0,13050000.0,28709000.0,,,,,13096000.0,12841000.0,28709000.0,,,,13096000.0,13050000.0,,,,14771000.0,,,14771000.0,,,,CommonMetricExtracted
CurrentLiability,,,,,,22584000.0,18480000.0,20298000.0,22712000.0,22405000.0,19222000.0,19409000.0,33743000.0,44080000.0,,,,,,,,,22584000.0,20298000.0,22405000.0,19409000.0,44080000.0,,,,,20298000.0,19222000.0,44080000.0,,,,20298000.0,19409000.0,,,,22405000.0,,,22405000.0,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,108000.0,431000.0,254000.0,325000.0,333000.0,344000.0,330000.0,289000.0,283000.0,,,,,,,,,108000.0,254000.0,333000.0,330000.0,283000.0,,,,,254000.0,344000.0,283000.0,,,,254000.0,330000.0,,,,333000.0,,,333000.0,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
DividendsPaid,,,,,,527000.0,1636000.0,4086000.0,2329000.0,166000.0,,,,,,,,,,,,,,1636000.0,2329000.0,,,,,,,527000.0,2329000.0,,,,,,2329000.0,,,,527000.0,,,,,527000.0,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.6757059091076719,0.650613643043183,0.6382022910827466,0.7018232920149899,0.6825222050943258,0.6549023603822611,0.6306566136141385,0.8242892011346394,0.7601070842684755,,,,,,,0.650613643043183,0.7018232920149899,0.6549023603822611,0.8242892011346394,,,,0.6757059091076719,0.7018232920149899,0.6306566136141385,,,,0.650613643043183,0.6549023603822611,,,,0.6825222050943258,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,26381000.0,34475000.0,37047000.0,24825000.0,30275000.0,47414000.0,52121000.0,13318000.0,23836000.0,,,,,,,34475000.0,24825000.0,47414000.0,13318000.0,,,,26381000.0,24825000.0,52121000.0,,,,34475000.0,47414000.0,,,,30275000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,0.32429409089232814,0.34938635695681697,0.36179770891725344,0.2981767079850101,0.31747779490567424,0.34509763961773887,0.3693433863858615,0.1757107988653605,0.23989291573152444,,,,,,,0.34938635695681697,0.2981767079850101,0.34509763961773887,0.1757107988653605,,,,0.32429409089232814,0.2981767079850101,0.3693433863858615,,,,0.34938635695681697,0.34509763961773887,,,,0.31747779490567424,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,0.24183585001083738,0.1463143895364058,0.1424880667684713,0.17447439292099487,0.18826976035624304,0.17928358423454174,0.20727207039818327,0.17062287182386998,0.1723774487448441,0.18558160883619637,0.23187518016719516,0.2013401705099569,0.17605700435975633,0.18179112515766946,0.3008905600633287,0.2425096365777317,,,0.24183585001083738,0.1424880667684713,0.18826976035624304,0.20727207039818327,0.1723774487448441,0.23187518016719516,0.17605700435975633,0.3008905600633287,,0.1463143895364058,0.18826976035624304,0.17062287182386998,0.23187518016719516,0.18179112515766946,,0.24183585001083738,0.18826976035624304,0.1723774487448441,0.17605700435975633,,0.1463143895364058,0.20727207039818327,0.2013401705099569,,0.20727207039818327,0.1463143895364058,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,0.028339715338487104,0.024493941964332463,0.02375121253157384,0.03924231108697128,0.040124216323899925,0.04962933687828597,0.07308198498103274,0.0719123775338357,0.048919157216259765,0.05758957781966269,0.07007302776977034,0.07482094357231991,0.0751712241526133,0.0985912498759903,0.15939046111221056,0.14636527410150865,,,0.028339715338487104,0.02375121253157384,0.040124216323899925,0.07308198498103274,0.048919157216259765,0.07007302776977034,0.0751712241526133,0.15939046111221056,,0.024493941964332463,0.040124216323899925,0.0719123775338357,0.07007302776977034,0.0985912498759903,,0.028339715338487104,0.040124216323899925,0.048919157216259765,0.0751712241526133,,0.024493941964332463,0.07308198498103274,0.07482094357231991,,0.07308198498103274,0.024493941964332463,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,0.0069539773137779065,0.02578199449174285,0.006684530498170398,-0.008611129970353272,-0.008765453799730474,0.00432340507071941,0.026102552192201492,0.010571734133179264,-0.0056043699897641705,0.003437600710958329,0.011374555587585279,0.033556695084992816,0.003704701112866012,0.024709817316005047,0.028748598192492907,0.02060164450840873,,,0.0069539773137779065,0.006684530498170398,-0.008765453799730474,0.026102552192201492,-0.0056043699897641705,0.011374555587585279,0.003704701112866012,0.028748598192492907,,0.02578199449174285,-0.008765453799730474,0.010571734133179264,0.011374555587585279,0.024709817316005047,,0.0069539773137779065,-0.008765453799730474,-0.0056043699897641705,0.003704701112866012,,0.02578199449174285,0.026102552192201492,0.033556695084992816,,0.026102552192201492,0.02578199449174285,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,1.2233766233766235,0.9435418359057677,4.015804597701149,-1.1208935611038107,-0.25133689839572193,0.5955678670360111,0.2624814631735047,0.8523255813953489,-1.4321880650994574,2.664772727272727,0.5934530095036958,0.6346875,2.1473477406679766,0.6266131344995698,0.07342817806333181,0.5539814362481681,,,1.2233766233766235,4.015804597701149,-0.25133689839572193,0.2624814631735047,-1.4321880650994574,0.5934530095036958,2.1473477406679766,0.07342817806333181,,0.9435418359057677,-0.25133689839572193,0.8523255813953489,0.5934530095036958,0.6266131344995698,,1.2233766233766235,-0.25133689839572193,-1.4321880650994574,2.1473477406679766,,0.9435418359057677,0.2624814631735047,0.6346875,,0.2624814631735047,0.9435418359057677,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,0.00709847554367459,0.01804320735551297,0.05285197030378118,0.03439925770022857,0.0134177066854163,0.008275548210158206,-0.003935382312714511,-0.008236118452593148,-0.0008817001611383053,0.013232809554967431,0.012155280099932738,0.01890710038695064,0.014076408550653964,0.020769852180444734,-0.017309848934626296,-0.00168073992814082,,,0.00709847554367459,0.05285197030378118,0.0134177066854163,-0.003935382312714511,-0.0008817001611383053,0.012155280099932738,0.014076408550653964,-0.017309848934626296,,0.01804320735551297,0.0134177066854163,-0.008236118452593148,0.012155280099932738,0.020769852180444734,,0.00709847554367459,0.0134177066854163,-0.0008817001611383053,0.014076408550653964,,0.01804320735551297,-0.003935382312714511,0.01890710038695064,,-0.003935382312714511,0.01804320735551297,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
