,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,482942000.0,507566000.0,598345000.0,598717000.0,709376000.0,482311000.0,1044178000.0,1127482000.0,,,,,,,482942000.0,598345000.0,709376000.0,1044178000.0,,,,,598345000.0,482311000.0,,,,482942000.0,709376000.0,,,,598717000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,66110000.0,52345000.0,52277000.0,50348000.0,52688000.0,49576000.0,48611000.0,47466000.0,50644000.0,57816000.0,61607000.0,60151000.0,199916000.0,373589000.0,382576000.0,,,,52345000.0,50348000.0,49576000.0,47466000.0,57816000.0,60151000.0,373589000.0,,66110000.0,50348000.0,48611000.0,57816000.0,199916000.0,,,50348000.0,47466000.0,60151000.0,,66110000.0,49576000.0,61607000.0,,49576000.0,66110000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,97002000.0,90771000.0,96400000.0,93655000.0,94827000.0,92736000.0,91536000.0,92633000.0,101077000.0,111374000.0,114486000.0,114959000.0,,482656000.0,490767000.0,,,,90771000.0,93655000.0,92736000.0,92633000.0,111374000.0,114959000.0,482656000.0,,97002000.0,93655000.0,91536000.0,111374000.0,,,,93655000.0,92633000.0,114959000.0,,97002000.0,92736000.0,114486000.0,,92736000.0,97002000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,48228000.0,50820000.0,56218000.0,62516000.0,68410000.0,69584000.0,67152000.0,79530000.0,82076000.0,83122000.0,92230000.0,94229000.0,,209347000.0,206114000.0,,,,50820000.0,62516000.0,69584000.0,79530000.0,83122000.0,94229000.0,209347000.0,,48228000.0,62516000.0,67152000.0,83122000.0,,,,62516000.0,79530000.0,94229000.0,,48228000.0,69584000.0,92230000.0,,69584000.0,48228000.0,,CommonMetricExtracted
OperatingMargin,,,,,,-100908000.0,-43720000.0,-15152000.0,57438000.0,,,,,,,,,24446000.0,-180566000.0,-43835000.0,,,,-43720000.0,57438000.0,,,,,-180566000.0,,-100908000.0,57438000.0,,,24446000.0,,,57438000.0,,,,-100908000.0,,,,,-100908000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,6537000.0,-53977000.0,-1344000.0,12176000.0,42750000.0,61064000.0,70688000.0,48150000.0,54655000.0,40456000.0,49686000.0,64944000.0,-17498000.0,-72806000.0,-34064000.0,,,,-53977000.0,12176000.0,61064000.0,48150000.0,40456000.0,64944000.0,-72806000.0,,6537000.0,12176000.0,70688000.0,40456000.0,-17498000.0,,,12176000.0,48150000.0,64944000.0,,6537000.0,61064000.0,49686000.0,,61064000.0,6537000.0,,CommonMetricExtracted
NetIncome,,,,,,-107445000.0,10257000.0,-13808000.0,45262000.0,85783000.0,118407000.0,139951000.0,162196000.0,281234000.0,262734000.0,229671000.0,319803000.0,41944000.0,-107760000.0,-9771000.0,,,,10257000.0,45262000.0,118407000.0,162196000.0,262734000.0,319803000.0,-107760000.0,,-107445000.0,45262000.0,139951000.0,262734000.0,41944000.0,,,45262000.0,162196000.0,319803000.0,,-107445000.0,118407000.0,229671000.0,,118407000.0,-107445000.0,,CommonMetricExtracted
Cash,,,,,122213000.0,124945000.0,149985000.0,165242000.0,132432000.0,199526000.0,156249000.0,318336000.0,101954000.0,96165000.0,71926000.0,287796000.0,379853000.0,,241209000.0,236970000.0,,,124945000.0,165242000.0,199526000.0,318336000.0,96165000.0,287796000.0,,236970000.0,122213000.0,165242000.0,156249000.0,96165000.0,379853000.0,236970000.0,,165242000.0,318336000.0,287796000.0,236970000.0,122213000.0,199526000.0,71926000.0,236970000.0,199526000.0,236970000.0,236970000.0,236970000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,27866000.0,31450000.0,36988000.0,38532000.0,30721000.0,20476000.0,27670000.0,21910000.0,47784000.0,56301000.0,52502000.0,,122789000.0,115533000.0,,,,31450000.0,38532000.0,20476000.0,21910000.0,56301000.0,,115533000.0,,31450000.0,30721000.0,21910000.0,52502000.0,115533000.0,,31450000.0,20476000.0,56301000.0,115533000.0,,38532000.0,47784000.0,115533000.0,38532000.0,115533000.0,115533000.0,115533000.0,CommonMetricExtracted
