,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,3020600000.0,3347000000.0,3488900000.0,3683200000.0,3690900000.0,4200200000.0,4535500000.0,4874600000.0,5011900000.0,,,,,,,3347000000.0,3683200000.0,4200200000.0,4874600000.0,,,,3020600000.0,3683200000.0,4535500000.0,,,,3347000000.0,4200200000.0,,,,3690900000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,2505100000.0,2534500000.0,2536400000.0,3174300000.0,3118500000.0,3197100000.0,2948200000.0,2471600000.0,2424800000.0,2608200000.0,2703300000.0,2832100000.0,2877300000.0,3235800000.0,3461900000.0,3707100000.0,3743100000.0,,,2534500000.0,3174300000.0,3197100000.0,2471600000.0,2608200000.0,2832100000.0,3235800000.0,3707100000.0,,2536400000.0,3197100000.0,2424800000.0,2832100000.0,3461900000.0,,2534500000.0,3197100000.0,2608200000.0,3235800000.0,,2536400000.0,2471600000.0,2877300000.0,,2471600000.0,2536400000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,434500000.0,430200000.0,429300000.0,543100000.0,561700000.0,564000000.0,560600000.0,463800000.0,431500000.0,468200000.0,509200000.0,604900000.0,584500000.0,629700000.0,687000000.0,688100000.0,834500000.0,,,430200000.0,543100000.0,564000000.0,463800000.0,468200000.0,604900000.0,629700000.0,688100000.0,,429300000.0,564000000.0,431500000.0,604900000.0,687000000.0,,430200000.0,564000000.0,468200000.0,629700000.0,,429300000.0,463800000.0,584500000.0,,463800000.0,429300000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,228500000.0,166800000.0,176500000.0,202500000.0,175000000.0,171700000.0,-27500000.0,96400000.0,184500000.0,273900000.0,274700000.0,236800000.0,213500000.0,354700000.0,361300000.0,425200000.0,453000000.0,,,166800000.0,202500000.0,171700000.0,96400000.0,273900000.0,236800000.0,354700000.0,425200000.0,,176500000.0,171700000.0,184500000.0,236800000.0,361300000.0,,166800000.0,171700000.0,273900000.0,354700000.0,,176500000.0,96400000.0,213500000.0,,96400000.0,176500000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,138800000.0,203800000.0,235400000.0,,,,,,,,,,203800000.0,,,,,,138800000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,53000000.0,-61100000.0,72600000.0,64000000.0,27100000.0,52000000.0,36700000.0,66500000.0,78500000.0,157700000.0,70000000.0,61000000.0,56600000.0,120300000.0,41400000.0,139200000.0,92700000.0,,,-61100000.0,64000000.0,52000000.0,66500000.0,157700000.0,61000000.0,120300000.0,139200000.0,,72600000.0,52000000.0,78500000.0,61000000.0,41400000.0,,-61100000.0,52000000.0,157700000.0,120300000.0,,72600000.0,66500000.0,56600000.0,,66500000.0,72600000.0,,CommonMetricExtracted
NetIncome,,,,223100000.0,231900000.0,72800000.0,98500000.0,109700000.0,81100000.0,-114800000.0,-28200000.0,44800000.0,23600000.0,-27500000.0,33200000.0,21900000.0,117300000.0,181900000.0,98300000.0,174700000.0,,,231900000.0,98500000.0,81100000.0,-28200000.0,23600000.0,33200000.0,117300000.0,98300000.0,,72800000.0,81100000.0,44800000.0,33200000.0,181900000.0,,231900000.0,81100000.0,23600000.0,117300000.0,,72800000.0,-28200000.0,21900000.0,,-28200000.0,72800000.0,,CommonMetricExtracted
Cash,,,196400000.0,250900000.0,143000000.0,183000000.0,182900000.0,201700000.0,255500000.0,176200000.0,198300000.0,183500000.0,614300000.0,343400000.0,311000000.0,620900000.0,710300000.0,972000000.0,1176600000.0,1395300000.0,,250900000.0,183000000.0,201700000.0,176200000.0,183500000.0,343400000.0,620900000.0,972000000.0,1395300000.0,143000000.0,201700000.0,198300000.0,343400000.0,710300000.0,1395300000.0,250900000.0,201700000.0,183500000.0,620900000.0,1395300000.0,143000000.0,176200000.0,311000000.0,1395300000.0,176200000.0,1395300000.0,1395300000.0,1395300000.0,CommonMetricExtracted
CurrentReceivables,,,,,427600000.0,525100000.0,550500000.0,612300000.0,622200000.0,530500000.0,478100000.0,501100000.0,642300000.0,599500000.0,635600000.0,679100000.0,701800000.0,862200000.0,779000000.0,733500000.0,,,525100000.0,612300000.0,530500000.0,501100000.0,599500000.0,679100000.0,862200000.0,733500000.0,427600000.0,612300000.0,478100000.0,599500000.0,701800000.0,733500000.0,,612300000.0,501100000.0,679100000.0,733500000.0,427600000.0,530500000.0,635600000.0,733500000.0,530500000.0,733500000.0,733500000.0,733500000.0,CommonMetricExtracted
PrepaidExpenses,,,,,81000000.0,121000000.0,134100000.0,122100000.0,153000000.0,129000000.0,101300000.0,103600000.0,119000000.0,127500000.0,128000000.0,192800000.0,211000000.0,324700000.0,325700000.0,314000000.0,,,121000000.0,122100000.0,129000000.0,103600000.0,127500000.0,192800000.0,324700000.0,314000000.0,81000000.0,122100000.0,101300000.0,127500000.0,211000000.0,314000000.0,,122100000.0,103600000.0,192800000.0,314000000.0,81000000.0,129000000.0,128000000.0,314000000.0,129000000.0,314000000.0,314000000.0,314000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,690100000.0,877400000.0,933900000.0,995500000.0,1102700000.0,907600000.0,777700000.0,843700000.0,1488200000.0,1206500000.0,1232600000.0,1814800000.0,1999500000.0,2597400000.0,2788300000.0,2887900000.0,,,877400000.0,995500000.0,907600000.0,843700000.0,1206500000.0,1814800000.0,2597400000.0,2887900000.0,690100000.0,995500000.0,777700000.0,1206500000.0,1999500000.0,2887900000.0,,995500000.0,843700000.0,1814800000.0,2887900000.0,690100000.0,907600000.0,1232600000.0,2887900000.0,907600000.0,2887900000.0,2887900000.0,2887900000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,549500000.0,698900000.0,749200000.0,793800000.0,758700000.0,669500000.0,549000000.0,531000000.0,640900000.0,699400000.0,763300000.0,838200000.0,865600000.0,935300000.0,1013300000.0,982700000.0,,,698900000.0,793800000.0,669500000.0,531000000.0,699400000.0,838200000.0,935300000.0,982700000.0,549500000.0,793800000.0,549000000.0,699400000.0,865600000.0,982700000.0,,793800000.0,531000000.0,838200000.0,982700000.0,549500000.0,669500000.0,763300000.0,982700000.0,669500000.0,982700000.0,982700000.0,982700000.0,CommonMetricExtracted
Goodwill,,,,,213700000.0,244300000.0,231400000.0,243800000.0,240200000.0,215700000.0,185300000.0,186200000.0,453700000.0,678600000.0,784600000.0,1219200000.0,1411700000.0,1450900000.0,1473800000.0,1434900000.0,,,244300000.0,243800000.0,215700000.0,186200000.0,678600000.0,1219200000.0,1450900000.0,1434900000.0,213700000.0,243800000.0,185300000.0,678600000.0,1411700000.0,1434900000.0,,243800000.0,186200000.0,1219200000.0,1434900000.0,213700000.0,215700000.0,784600000.0,1434900000.0,215700000.0,1434900000.0,1434900000.0,1434900000.0,CommonMetricExtracted
IntangibleAssets,,,,,69400000.0,83200000.0,63800000.0,56100000.0,46300000.0,39800000.0,28500000.0,19100000.0,105700000.0,228900000.0,272500000.0,426100000.0,491200000.0,535500000.0,488300000.0,422300000.0,,,83200000.0,56100000.0,39800000.0,19100000.0,228900000.0,426100000.0,535500000.0,422300000.0,69400000.0,56100000.0,28500000.0,228900000.0,491200000.0,422300000.0,,56100000.0,19100000.0,426100000.0,422300000.0,69400000.0,39800000.0,272500000.0,422300000.0,39800000.0,422300000.0,422300000.0,422300000.0,CommonMetricExtracted
TotalAssets,,,,,1879800000.0,2270500000.0,2406200000.0,2553900000.0,2498000000.0,2192200000.0,1946700000.0,1994800000.0,3059600000.0,3236000000.0,3763800000.0,5135600000.0,5566700000.0,6366000000.0,6601800000.0,6623100000.0,,,2270500000.0,2553900000.0,2192200000.0,1994800000.0,3236000000.0,5135600000.0,6366000000.0,6623100000.0,1879800000.0,2553900000.0,1946700000.0,3236000000.0,5566700000.0,6623100000.0,,2553900000.0,1994800000.0,5135600000.0,6623100000.0,1879800000.0,2192200000.0,3763800000.0,6623100000.0,2192200000.0,6623100000.0,6623100000.0,6623100000.0,CommonMetricExtracted
ShorttermDebt,,,,,16100000.0,29000000.0,28700000.0,27000000.0,24600000.0,34100000.0,43300000.0,32800000.0,51900000.0,53500000.0,74500000.0,137300000.0,115200000.0,82400000.0,117100000.0,141700000.0,,,29000000.0,27000000.0,34100000.0,32800000.0,53500000.0,137300000.0,82400000.0,141700000.0,16100000.0,27000000.0,43300000.0,53500000.0,115200000.0,141700000.0,,27000000.0,32800000.0,137300000.0,141700000.0,16100000.0,34100000.0,74500000.0,141700000.0,34100000.0,141700000.0,141700000.0,141700000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,497000000.0,610500000.0,648000000.0,689300000.0,693100000.0,634900000.0,569400000.0,525000000.0,663100000.0,676700000.0,812900000.0,985200000.0,1088500000.0,1315900000.0,1376600000.0,1374700000.0,,,610500000.0,689300000.0,634900000.0,525000000.0,676700000.0,985200000.0,1315900000.0,1374700000.0,497000000.0,689300000.0,569400000.0,676700000.0,1088500000.0,1374700000.0,,689300000.0,525000000.0,985200000.0,1374700000.0,497000000.0,634900000.0,812900000.0,1374700000.0,634900000.0,1374700000.0,1374700000.0,1374700000.0,CommonMetricExtracted
CurrentLiability,,,,,890100000.0,1145000000.0,1190600000.0,1259500000.0,1306100000.0,1194700000.0,1055900000.0,1139500000.0,1323400000.0,1351500000.0,1630400000.0,2115400000.0,2306300000.0,2694200000.0,3071000000.0,2956500000.0,,,1145000000.0,1259500000.0,1194700000.0,1139500000.0,1351500000.0,2115400000.0,2694200000.0,2956500000.0,890100000.0,1259500000.0,1055900000.0,1351500000.0,2306300000.0,2956500000.0,,1259500000.0,1139500000.0,2115400000.0,2956500000.0,890100000.0,1194700000.0,1630400000.0,2956500000.0,1194700000.0,2956500000.0,2956500000.0,2956500000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,560900000.0,657100000.0,863400000.0,879800000.0,571400000.0,605900000.0,608100000.0,631000000.0,721800000.0,731700000.0,978200000.0,1220000000.0,994200000.0,780000000.0,818500000.0,744200000.0,,,657100000.0,879800000.0,605900000.0,631000000.0,731700000.0,1220000000.0,780000000.0,744200000.0,560900000.0,879800000.0,608100000.0,731700000.0,994200000.0,744200000.0,,879800000.0,631000000.0,1220000000.0,744200000.0,560900000.0,605900000.0,978200000.0,744200000.0,605900000.0,744200000.0,744200000.0,744200000.0,CommonMetricExtracted
TotalLiability,,,,,1284000000.0,1687400000.0,1923800000.0,1977100000.0,1718500000.0,1718400000.0,1616100000.0,1640000000.0,2721400000.0,3069400000.0,3556200000.0,4933100000.0,5314100000.0,5795800000.0,6081600000.0,6310600000.0,,,1687400000.0,1977100000.0,1718400000.0,1640000000.0,3069400000.0,4933100000.0,5795800000.0,6310600000.0,1284000000.0,1977100000.0,1616100000.0,3069400000.0,5314100000.0,6310600000.0,,1977100000.0,1640000000.0,4933100000.0,6310600000.0,1284000000.0,1718400000.0,3556200000.0,6310600000.0,1718400000.0,6310600000.0,6310600000.0,6310600000.0,CommonMetricExtracted
ShareholderEquity,,,1114500000.0,305300000.0,595800000.0,583100000.0,482400000.0,576800000.0,779500000.0,473800000.0,330600000.0,354800000.0,338200000.0,166600000.0,207600000.0,202500000.0,252600000.0,570200000.0,520200000.0,312500000.0,,305300000.0,583100000.0,576800000.0,473800000.0,354800000.0,166600000.0,202500000.0,570200000.0,312500000.0,595800000.0,576800000.0,330600000.0,166600000.0,252600000.0,312500000.0,305300000.0,576800000.0,354800000.0,202500000.0,312500000.0,595800000.0,473800000.0,207600000.0,312500000.0,473800000.0,312500000.0,312500000.0,312500000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,,,,478000000.0,479900000.0,702400000.0,426000000.0,,,,,,,,,478000000.0,702400000.0,,,,,,479900000.0,,,,,478000000.0,,,,,,,,,CommonMetricExtracted
CapitalExpenditures,,,,165300000.0,170600000.0,148800000.0,196200000.0,184500000.0,177700000.0,136100000.0,101100000.0,112200000.0,174500000.0,155100000.0,164800000.0,118500000.0,167900000.0,182600000.0,202700000.0,222500000.0,,,170600000.0,196200000.0,177700000.0,101100000.0,174500000.0,164800000.0,167900000.0,202700000.0,,148800000.0,177700000.0,112200000.0,164800000.0,182600000.0,,170600000.0,177700000.0,174500000.0,167900000.0,,148800000.0,101100000.0,118500000.0,,101100000.0,148800000.0,,CommonMetricExtracted
InvestingCashFlow,,,,-359900000.0,-241100000.0,-255400000.0,-171800000.0,-167300000.0,-123000000.0,-94000000.0,-103700000.0,-108900000.0,-394900000.0,-672700000.0,-333000000.0,-565400000.0,-454700000.0,-331200000.0,-179800000.0,-216200000.0,,,-241100000.0,-171800000.0,-123000000.0,-103700000.0,-394900000.0,-333000000.0,-454700000.0,-179800000.0,,-255400000.0,-123000000.0,-108900000.0,-333000000.0,-331200000.0,,-241100000.0,-123000000.0,-394900000.0,-454700000.0,,-255400000.0,-103700000.0,-565400000.0,,-103700000.0,-255400000.0,,CommonMetricExtracted
DividendsPaid,,,,30600000.0,32100000.0,37300000.0,34800000.0,32000000.0,25200000.0,28000000.0,24800000.0,24400000.0,32300000.0,35600000.0,32200000.0,46900000.0,42300000.0,44700000.0,47300000.0,47900000.0,,,32100000.0,34800000.0,25200000.0,24800000.0,32300000.0,32200000.0,42300000.0,47300000.0,,37300000.0,25200000.0,24400000.0,32200000.0,44700000.0,,32100000.0,25200000.0,32300000.0,42300000.0,,37300000.0,24800000.0,46900000.0,,24800000.0,37300000.0,,CommonMetricExtracted
FinancingCashFlow,,,,400000.0,-46600000.0,60000000.0,-67200000.0,-68000000.0,-6000000.0,3300000.0,-49000000.0,-25000000.0,587300000.0,93400000.0,-38000000.0,683700000.0,171300000.0,245200000.0,-207100000.0,42200000.0,,,-46600000.0,-67200000.0,-6000000.0,-49000000.0,587300000.0,-38000000.0,171300000.0,-207100000.0,,60000000.0,-6000000.0,-25000000.0,-38000000.0,245200000.0,,-46600000.0,-6000000.0,587300000.0,171300000.0,,60000000.0,-49000000.0,683700000.0,,-49000000.0,60000000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.8027544196517248,0.779265013444876,0.7748287425836223,0.7689237619461338,0.7795659595220678,0.7703918861006619,0.7632896042332709,0.7604931686702499,0.746842514814741,,,,,,,0.779265013444876,0.7689237619461338,0.7703918861006619,0.7604931686702499,,,,0.8027544196517248,0.7689237619461338,0.7632896042332709,,,,0.779265013444876,0.7703918861006619,,,,0.7795659595220678,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,595800000.0,738800000.0,785600000.0,851100000.0,813600000.0,964400000.0,1073600000.0,1167500000.0,1268800000.0,,,,,,,738800000.0,851100000.0,964400000.0,1167500000.0,,,,595800000.0,851100000.0,1073600000.0,,,,738800000.0,964400000.0,,,,813600000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,0.1972455803482752,0.220734986555124,0.22517125741637767,0.2310762380538662,0.22043404047793222,0.22960811389933813,0.23671039576672914,0.23950683132975015,0.2531574851852591,,,,,,,0.220734986555124,0.2310762380538662,0.22960811389933813,0.23950683132975015,,,,0.1972455803482752,0.2310762380538662,0.23671039576672914,,,,0.220734986555124,0.22960811389933813,,,,0.22043404047793222,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,0.1428524134277958,0.13988646549148492,0.14594857978159306,0.16423218940052128,0.15836245902083504,0.14992143231274702,0.15147172307353104,0.14116030033233495,0.16650372114367804,,,,,,,0.13988646549148492,0.16423218940052128,0.14992143231274702,0.14116030033233495,,,,0.1428524134277958,0.16423218940052128,0.15147172307353104,,,,0.13988646549148492,0.14992143231274702,,,,0.15836245902083504,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,0.06108058001721512,0.0818344786375859,0.07873541804006993,0.06429192006950478,0.05784497006150262,0.08444835960192372,0.07966045639951494,0.08722766996266361,0.0903848839761368,,,,,,,0.0818344786375859,0.06429192006950478,0.08444835960192372,0.08722766996266361,,,,0.06108058001721512,0.06429192006950478,0.07966045639951494,,,,0.0818344786375859,0.08444835960192372,,,,0.05784497006150262,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,0.3841682812067534,0.4793038570084666,0.5196467991169977,,,,,,,,,,0.4793038570084666,,,,,,0.3841682812067534,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,0.23194748358862144,-0.36630695443645084,0.4113314447592068,0.3160493827160494,0.15485714285714286,0.302853814793244,-1.3345454545454545,0.6898340248962656,0.4254742547425474,0.5757575757575758,0.25482344375682564,0.25760135135135137,0.2651053864168618,0.3391598533972371,0.11458621644063105,0.3273753527751646,0.20463576158940397,,,-0.36630695443645084,0.3160493827160494,0.302853814793244,0.6898340248962656,0.5757575757575758,0.25760135135135137,0.3391598533972371,0.3273753527751646,,0.4113314447592068,0.302853814793244,0.4254742547425474,0.25760135135135137,0.11458621644063105,,-0.36630695443645084,0.302853814793244,0.5757575757575758,0.3391598533972371,,0.4113314447592068,0.6898340248962656,0.2651053864168618,,0.6898340248962656,0.4113314447592068,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,0.014831490432364432,0.007051090528831789,-0.007882140502737252,0.009013900955690704,0.005933512151507762,0.02792724155992572,0.04010583177157976,0.020165757190333564,0.03485704024421876,,,,,,,0.007051090528831789,0.009013900955690704,0.02792724155992572,0.020165757190333564,,,,0.014831490432364432,0.009013900955690704,0.04010583177157976,,,,0.007051090528831789,0.02792724155992572,,,,0.005933512151507762,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,0.20721634545718012,0.208570777296558,0.19584537959096263,0.202611752887996,0.23170399927450802,0.19413838695460556,0.25498264112125496,0.2174943700367429,0.4127805402499664,0.2846249481972648,0.25231218562388447,0.34213136433766805,0.3552388097024256,0.37422037422037424,0.42197754904422047,0.4831538488174798,,,0.208570777296558,0.202611752887996,0.19413838695460556,0.2174943700367429,0.2846249481972648,0.34213136433766805,0.37422037422037424,0.4831538488174798,0.20721634545718012,0.202611752887996,0.25498264112125496,0.2846249481972648,0.3552388097024256,0.4831538488174798,,0.202611752887996,0.2174943700367429,0.34213136433766805,0.4831538488174798,0.20721634545718012,0.19413838695460556,0.25231218562388447,0.4831538488174798,0.19413838695460556,0.4831538488174798,0.4831538488174798,0.4831538488174798,CommonMetricCalculated
