,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,553204000.0,594790000.0,643679000.0,643705000.0,703644000.0,799023000.0,942358000.0,922439000.0,953684000.0,,,,,,,594790000.0,643705000.0,799023000.0,922439000.0,,,,553204000.0,643705000.0,942358000.0,,,,594790000.0,799023000.0,,,,703644000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,152480000.0,177034000.0,205866000.0,220854000.0,239752000.0,397211000.0,384395000.0,372343000.0,405781000.0,439427000.0,432338000.0,479747000.0,555849000.0,661907000.0,620383000.0,617478000.0,,,152480000.0,205866000.0,239752000.0,384395000.0,405781000.0,432338000.0,555849000.0,620383000.0,,177034000.0,239752000.0,372343000.0,432338000.0,661907000.0,,152480000.0,239752000.0,405781000.0,555849000.0,,177034000.0,384395000.0,479747000.0,,384395000.0,177034000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,14350000.0,15608000.0,16284000.0,15934000.0,15920000.0,35758000.0,46255000.0,55172000.0,54720000.0,57219000.0,60932000.0,58630000.0,60413000.0,67409000.0,74397000.0,68916000.0,,,14350000.0,16284000.0,15920000.0,46255000.0,54720000.0,60932000.0,60413000.0,74397000.0,,15608000.0,15920000.0,55172000.0,60932000.0,67409000.0,,14350000.0,15920000.0,54720000.0,60413000.0,,15608000.0,46255000.0,58630000.0,,46255000.0,15608000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,3298000.0,3190000.0,2890000.0,3422000.0,3622000.0,4810000.0,5990000.0,7325000.0,9305000.0,11592000.0,11377000.0,10332000.0,13524000.0,12191000.0,15049000.0,16793000.0,,,3298000.0,2890000.0,3622000.0,5990000.0,9305000.0,11377000.0,13524000.0,15049000.0,,3190000.0,3622000.0,7325000.0,11377000.0,12191000.0,,3298000.0,3622000.0,9305000.0,13524000.0,,3190000.0,5990000.0,10332000.0,,5990000.0,3190000.0,,CommonMetricExtracted
OperatingMargin,,,,,40659000.0,49770000.0,56225000.0,59777000.0,65602000.0,82143000.0,93956000.0,90838000.0,97255000.0,107751000.0,102553000.0,111147000.0,127502000.0,145186000.0,159193000.0,182909000.0,,,40659000.0,56225000.0,65602000.0,93956000.0,97255000.0,102553000.0,127502000.0,159193000.0,,49770000.0,65602000.0,90838000.0,102553000.0,145186000.0,,40659000.0,65602000.0,97255000.0,127502000.0,,49770000.0,93956000.0,111147000.0,,93956000.0,49770000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,13817000.0,16854000.0,17973000.0,19839000.0,20944000.0,24226000.0,27341000.0,26962000.0,-1583000.0,20457000.0,16807000.0,21794000.0,29129000.0,28382000.0,28718000.0,37978000.0,,,13817000.0,17973000.0,20944000.0,27341000.0,-1583000.0,16807000.0,29129000.0,28718000.0,,16854000.0,20944000.0,26962000.0,16807000.0,28382000.0,,13817000.0,20944000.0,-1583000.0,29129000.0,,16854000.0,27341000.0,21794000.0,,27341000.0,16854000.0,,CommonMetricExtracted
NetIncome,,,,,26785000.0,33277000.0,38765000.0,40005000.0,44874000.0,52826000.0,59722000.0,55972000.0,90071000.0,78573000.0,79671000.0,84623000.0,96104000.0,105367000.0,108543000.0,128475000.0,,,26785000.0,38765000.0,44874000.0,59722000.0,90071000.0,79671000.0,96104000.0,108543000.0,,33277000.0,44874000.0,55972000.0,79671000.0,105367000.0,,26785000.0,44874000.0,90071000.0,96104000.0,,33277000.0,59722000.0,84623000.0,,59722000.0,33277000.0,,CommonMetricExtracted
Cash,,,,3422000.0,46432000.0,77253000.0,114781000.0,144737000.0,208747000.0,50287000.0,84795000.0,38643000.0,40416000.0,54268000.0,65672000.0,84571000.0,103239000.0,66560000.0,64447000.0,49515000.0,,3422000.0,77253000.0,144737000.0,50287000.0,38643000.0,54268000.0,84571000.0,66560000.0,49515000.0,46432000.0,144737000.0,84795000.0,54268000.0,103239000.0,49515000.0,3422000.0,144737000.0,38643000.0,84571000.0,49515000.0,46432000.0,50287000.0,65672000.0,49515000.0,50287000.0,49515000.0,49515000.0,49515000.0,CommonMetricExtracted
CurrentReceivables,,,,,,32050000.0,34433000.0,41999000.0,39386000.0,71982000.0,60485000.0,83252000.0,91226000.0,99545000.0,93444000.0,98214000.0,117408000.0,131578000.0,125284000.0,119662000.0,,,32050000.0,41999000.0,71982000.0,83252000.0,99545000.0,98214000.0,131578000.0,119662000.0,,41999000.0,60485000.0,99545000.0,117408000.0,119662000.0,,41999000.0,83252000.0,98214000.0,119662000.0,,71982000.0,93444000.0,119662000.0,71982000.0,119662000.0,119662000.0,119662000.0,CommonMetricExtracted
