,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,4376670000.0,6418311000.0,7105200000.0,6943900000.0,6642000000.0,8429700000.0,9119800000.0,9763200000.0,,,,,,,4376670000.0,7105200000.0,6642000000.0,9119800000.0,,,,,7105200000.0,8429700000.0,,,,4376670000.0,6642000000.0,,,,6943900000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,3114040000.0,3300731000.0,4825000000.0,5368605000.0,5244700000.0,4884300000.0,6194200000.0,6777100000.0,7258400000.0,,,,,,,3300731000.0,5368605000.0,4884300000.0,6777100000.0,,,,3114040000.0,5368605000.0,6194200000.0,,,,3300731000.0,4884300000.0,,,,5244700000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,707893000.0,743376000.0,1187200000.0,1311043000.0,1273000000.0,1138700000.0,1372900000.0,1454300000.0,1637600000.0,,,,,,,743376000.0,1311043000.0,1138700000.0,1454300000.0,,,,707893000.0,1311043000.0,1372900000.0,,,,743376000.0,1138700000.0,,,,1273000000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,109209000.0,73517000.0,103742000.0,143672000.0,129721000.0,98863000.0,117081000.0,204984000.0,216096000.0,204626000.0,147800000.0,35100000.0,456800000.0,703400000.0,712200000.0,665400000.0,,,109209000.0,103742000.0,129721000.0,117081000.0,216096000.0,147800000.0,456800000.0,712200000.0,,73517000.0,129721000.0,204984000.0,147800000.0,703400000.0,,109209000.0,129721000.0,216096000.0,456800000.0,,73517000.0,117081000.0,35100000.0,,117081000.0,73517000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,83700000.0,126100000.0,177300000.0,,,,,,,,,,126100000.0,,,,,,83700000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,33904000.0,20781000.0,31158000.0,50934000.0,48867000.0,34922000.0,43767000.0,56615000.0,62481000.0,-30500000.0,-170000.0,-26800000.0,77300000.0,161300000.0,151100000.0,124000000.0,,,33904000.0,31158000.0,48867000.0,43767000.0,62481000.0,-170000.0,77300000.0,151100000.0,,20781000.0,48867000.0,56615000.0,-170000.0,161300000.0,,33904000.0,48867000.0,62481000.0,77300000.0,,20781000.0,43767000.0,-26800000.0,,43767000.0,20781000.0,,CommonMetricExtracted
NetIncome,,,,,52418000.0,34526000.0,59220000.0,75565000.0,72607000.0,53846000.0,62277000.0,89917000.0,100864000.0,98626000.0,-10600000.0,-80900000.0,-45500000.0,458400000.0,435000000.0,361700000.0,,,52418000.0,59220000.0,72607000.0,62277000.0,100864000.0,-10600000.0,-45500000.0,435000000.0,,34526000.0,72607000.0,89917000.0,-10600000.0,458400000.0,,52418000.0,72607000.0,100864000.0,-45500000.0,,34526000.0,62277000.0,-80900000.0,,62277000.0,34526000.0,,CommonMetricExtracted
Cash,,,,26038000.0,82742000.0,117136000.0,143027000.0,40205000.0,47027000.0,54472000.0,45661000.0,31386000.0,138250000.0,129927000.0,72300000.0,624600000.0,260000000.0,67700000.0,84000000.0,74300000.0,,26038000.0,117136000.0,40205000.0,54472000.0,31386000.0,129927000.0,624600000.0,67700000.0,74300000.0,82742000.0,40205000.0,45661000.0,129927000.0,260000000.0,74300000.0,26038000.0,40205000.0,31386000.0,624600000.0,74300000.0,82742000.0,54472000.0,72300000.0,74300000.0,54472000.0,74300000.0,74300000.0,74300000.0,CommonMetricExtracted
CurrentReceivables,,,,,,241341000.0,280322000.0,291456000.0,329673000.0,360802000.0,399732000.0,626965000.0,704527000.0,1090533000.0,1108134000.0,1029300000.0,978300000.0,1009100000.0,1140200000.0,1196100000.0,,,241341000.0,291456000.0,360802000.0,626965000.0,1090533000.0,1029300000.0,1009100000.0,1196100000.0,,291456000.0,399732000.0,1090533000.0,978300000.0,1196100000.0,,291456000.0,626965000.0,1029300000.0,1196100000.0,,360802000.0,1108134000.0,1196100000.0,360802000.0,1196100000.0,1196100000.0,1196100000.0,CommonMetricExtracted
