,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,347447.0,2303142.0,721835.0,281014.0,1033438.0,2642207.0,2781273.0,1412042.0,6162402.0,5111545.0,6210350.0,9002000.0,21995000.0,67353000.0,49336000.0,,,,2303142.0,281014.0,2642207.0,1412042.0,5111545.0,9002000.0,67353000.0,,347447.0,281014.0,2781273.0,5111545.0,21995000.0,,,281014.0,1412042.0,9002000.0,,347447.0,2642207.0,6210350.0,,2642207.0,347447.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,222927.0,1742791.0,553228.0,525552.0,1133556.0,2720437.0,2925994.0,1884793.0,6354502.0,5265319.0,6921324.0,9974000.0,23662000.0,66149000.0,42040000.0,,,,1742791.0,525552.0,2720437.0,1884793.0,5265319.0,9974000.0,66149000.0,,222927.0,525552.0,2925994.0,5265319.0,23662000.0,,,525552.0,1884793.0,9974000.0,,222927.0,2720437.0,6921324.0,,2720437.0,222927.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,-773270.0,476874.0,-279794.0,-357639.0,-647885.0,-111922.0,156477.0,-340234.0,-1069234.0,-659255.0,-447.0,4104.0,36000.0,213000.0,281000.0,,,,476874.0,-357639.0,-111922.0,-340234.0,-659255.0,4104.0,213000.0,,-773270.0,-357639.0,156477.0,-659255.0,36000.0,,,-357639.0,-340234.0,4104.0,,-773270.0,-111922.0,-447.0,,-111922.0,-773270.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,12000.0,34000.0,,,,,,,,,,12000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,0.0,-624000.0,1781000.0,,,,,,,,,,-624000.0,,,,,,0.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,-2360851.0,-2547493.0,-2481728.0,-2793910.0,-3146302.0,-1839533.0,-2633516.0,-3041430.0,-3598780.0,-3933922.0,-5213025.0,-6596000.0,-19682000.0,-16060000.0,-11282000.0,,,,-2547493.0,-2793910.0,-1839533.0,-3041430.0,-3933922.0,-6596000.0,-16060000.0,,-2360851.0,-2793910.0,-2633516.0,-3933922.0,-19682000.0,,,-2793910.0,-3041430.0,-6596000.0,,-2360851.0,-1839533.0,-5213025.0,,-1839533.0,-2360851.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,45965.0,1444974.0,329516.0,179459.0,103217.0,831617.0,1161064.0,5946.0,1290702.0,764534.0,,3827254.0,4429000.0,15943000.0,,,,45965.0,329516.0,103217.0,1161064.0,1290702.0,,4429000.0,,,329516.0,831617.0,1290702.0,3827254.0,,,329516.0,1161064.0,,,,103217.0,764534.0,,103217.0,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
