,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,378023000.0,76820000.0,108488000.0,,,,,,,,,,76820000.0,,,,,,378023000.0,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,124308000.0,83815000.0,26110000.0,,,,,,,,,,83815000.0,,,,,,124308000.0,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,26714000.0,29031000.0,38990000.0,,,,,,,,,,29031000.0,,,,,,26714000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,378023000.0,76820000.0,108488000.0,,,,,,,,,,76820000.0,,,,,,378023000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,1100000.0,1998000.0,850000.0,,,,,,,,,,1998000.0,,,,,,1100000.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,-20000.0,-5038764.0,8735542.0,-536420000.0,-206290000.0,,,,,,,,,-5038764.0,-536420000.0,,,,,,8735542.0,,,,,-5038764.0,,,,-20000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,18751000.0,10323000.0,,,,,,317959000.0,,211101000.0,,,,,,10323000.0,,,317959000.0,211101000.0,,,18751000.0,,,211101000.0,,,10323000.0,,211101000.0,,,,211101000.0,,211101000.0,211101000.0,211101000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,69807000.0,76208000.0,138184000.0,,,,,,,,,69807000.0,138184000.0,,,,,,138184000.0,,,,,138184000.0,,,,138184000.0,,138184000.0,138184000.0,138184000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,66572000.0,70339000.0,33894000.0,,,,,,,,,66572000.0,33894000.0,,,,,,33894000.0,,,,,33894000.0,,,,33894000.0,,33894000.0,33894000.0,33894000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
