,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,173878000.0,190092000.0,197897000.0,207092000.0,209077000.0,217070000.0,227285000.0,227904000.0,231525000.0,225207000.0,239225000.0,245860000.0,257207000.0,268847000.0,,,,173878000.0,197897000.0,209077000.0,227285000.0,231525000.0,239225000.0,257207000.0,,,197897000.0,217070000.0,231525000.0,245860000.0,,,197897000.0,227285000.0,239225000.0,,,209077000.0,225207000.0,,209077000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,24715000.0,23794000.0,24559000.0,26479000.0,26565000.0,27527000.0,27689000.0,28202000.0,29946000.0,28857000.0,32881000.0,35934000.0,37489000.0,41719000.0,,,,24715000.0,24559000.0,26565000.0,27689000.0,29946000.0,32881000.0,37489000.0,,,24559000.0,27527000.0,29946000.0,35934000.0,,,24559000.0,27689000.0,32881000.0,,,26565000.0,28857000.0,,26565000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,218185000.0,221734000.0,223352000.0,220281000.0,234515000.0,240837000.0,249057000.0,261178000.0,,,,,,,218185000.0,223352000.0,234515000.0,249057000.0,,,,,223352000.0,240837000.0,,,,218185000.0,234515000.0,,,,220281000.0,,,,,CommonMetricExtracted
Interest,,,,,,,45324000.0,49544000.0,46589000.0,46034000.0,45165000.0,45683000.0,47225000.0,45040000.0,41834000.0,46519000.0,45424000.0,43937000.0,49153000.0,53696000.0,,,,45324000.0,46589000.0,45165000.0,47225000.0,41834000.0,45424000.0,49153000.0,,,46589000.0,45683000.0,41834000.0,43937000.0,,,46589000.0,47225000.0,45424000.0,,,45165000.0,46519000.0,,45165000.0,,,CommonMetricExtracted
Taxes,,,,,,,18435000.0,22325000.0,22415000.0,22354000.0,23663000.0,24680000.0,26997000.0,27376000.0,27987000.0,29560000.0,28747000.0,28588000.0,29650000.0,30342000.0,,,,18435000.0,22415000.0,23663000.0,26997000.0,27987000.0,28747000.0,29650000.0,,,22415000.0,24680000.0,27987000.0,28588000.0,,,22415000.0,26997000.0,28747000.0,,,23663000.0,29560000.0,,23663000.0,,,CommonMetricExtracted
NetIncome,,,,,43230000.0,43185000.0,30294000.0,39780000.0,34842000.0,57988000.0,52931000.0,56720000.0,60668000.0,63059000.0,64196000.0,50316000.0,61649000.0,65392000.0,69026000.0,67703000.0,,,43230000.0,30294000.0,34842000.0,52931000.0,60668000.0,64196000.0,61649000.0,69026000.0,,43185000.0,34842000.0,56720000.0,64196000.0,65392000.0,,43230000.0,34842000.0,60668000.0,61649000.0,,43185000.0,52931000.0,50316000.0,,52931000.0,43185000.0,,CommonMetricExtracted
Cash,,,,13006000.0,20607000.0,12968000.0,12323000.0,12133000.0,17297000.0,12128000.0,10003000.0,8322000.0,10908000.0,14578000.0,13905000.0,26856000.0,14594000.0,13279000.0,8407000.0,10299000.0,,13006000.0,12968000.0,12133000.0,12128000.0,8322000.0,14578000.0,26856000.0,13279000.0,10299000.0,20607000.0,12133000.0,10003000.0,14578000.0,14594000.0,10299000.0,13006000.0,12133000.0,8322000.0,26856000.0,10299000.0,20607000.0,12128000.0,13905000.0,10299000.0,12128000.0,10299000.0,10299000.0,10299000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,56323000.0,56032000.0,50949000.0,,,,,,,,,56323000.0,50949000.0,,,,,,50949000.0,,,,,50949000.0,,,,50949000.0,,50949000.0,50949000.0,50949000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,1111224000.0,1224036000.0,1417845000.0,1466068000.0,1459439000.0,1560159000.0,1622710000.0,1700813000.0,1803200000.0,1948165000.0,2081597000.0,2124796000.0,2284126000.0,2408136000.0,2621105000.0,2792147000.0,,,1224036000.0,1466068000.0,1560159000.0,1700813000.0,1948165000.0,2124796000.0,2408136000.0,2792147000.0,1111224000.0,1466068000.0,1622710000.0,1948165000.0,2284126000.0,2792147000.0,,1466068000.0,1700813000.0,2124796000.0,2792147000.0,1111224000.0,1560159000.0,2081597000.0,2792147000.0,1560159000.0,2792147000.0,2792147000.0,2792147000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,1013888000.0,1192569000.0,1207309000.0,1198675000.0,1266987000.0,1304145000.0,1343025000.0,1422452000.0,1527489000.0,1618340000.0,1645572000.0,1746761000.0,1833302000.0,1994137000.0,2126404000.0,,,1013888000.0,1207309000.0,1266987000.0,1343025000.0,1527489000.0,1645572000.0,1833302000.0,2126404000.0,,1207309000.0,1304145000.0,1527489000.0,1746761000.0,2126404000.0,,1207309000.0,1343025000.0,1645572000.0,2126404000.0,,1266987000.0,1618340000.0,2126404000.0,1266987000.0,2126404000.0,2126404000.0,2126404000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,23544000.0,22992000.0,27434000.0,20141000.0,23537000.0,27687000.0,20838000.0,23123000.0,107010000.0,109890000.0,99175000.0,128725000.0,204919000.0,331737000.0,232651000.0,,,23544000.0,27434000.0,23537000.0,20838000.0,107010000.0,99175000.0,204919000.0,232651000.0,,27434000.0,27687000.0,107010000.0,128725000.0,232651000.0,,27434000.0,20838000.0,99175000.0,232651000.0,,23537000.0,109890000.0,232651000.0,23537000.0,232651000.0,232651000.0,232651000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,601147000.0,823871000.0,789776000.0,820068000.0,808997000.0,802034000.0,783400000.0,897888000.0,880271000.0,821503000.0,827603000.0,941456000.0,961577000.0,935451000.0,1047832000.0,,,601147000.0,789776000.0,808997000.0,783400000.0,880271000.0,827603000.0,961577000.0,1047832000.0,,789776000.0,802034000.0,880271000.0,941456000.0,1047832000.0,,789776000.0,783400000.0,827603000.0,1047832000.0,,808997000.0,821503000.0,1047832000.0,808997000.0,1047832000.0,1047832000.0,1047832000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalLiability,,,,,,774075000.0,899363000.0,900020000.0,883549000.0,927730000.0,950418000.0,969776000.0,1029349000.0,1102269000.0,1174984000.0,1218039000.0,1216274000.0,1311500000.0,1489708000.0,1625280000.0,,,774075000.0,900020000.0,927730000.0,969776000.0,1102269000.0,1218039000.0,1311500000.0,1625280000.0,,900020000.0,950418000.0,1102269000.0,1216274000.0,1625280000.0,,900020000.0,969776000.0,1218039000.0,1625280000.0,,927730000.0,1174984000.0,1625280000.0,927730000.0,1625280000.0,1625280000.0,1625280000.0,CommonMetricExtracted
ShareholderEquity,,,,227887000.0,226063000.0,239813000.0,293206000.0,307289000.0,315126000.0,339257000.0,353727000.0,373249000.0,393103000.0,425220000.0,443356000.0,427533000.0,530487000.0,521802000.0,504429000.0,501124000.0,,227887000.0,239813000.0,307289000.0,339257000.0,373249000.0,425220000.0,427533000.0,521802000.0,501124000.0,226063000.0,307289000.0,353727000.0,425220000.0,530487000.0,501124000.0,227887000.0,307289000.0,373249000.0,427533000.0,501124000.0,226063000.0,339257000.0,443356000.0,501124000.0,339257000.0,501124000.0,501124000.0,501124000.0,CommonMetricExtracted
OperatingCashFlow,,,,,68344000.0,62887000.0,55669000.0,78423000.0,73527000.0,86568000.0,88896000.0,89090000.0,103450000.0,110339000.0,115383000.0,78383000.0,118427000.0,121151000.0,117727000.0,121224000.0,,,68344000.0,55669000.0,73527000.0,88896000.0,103450000.0,115383000.0,118427000.0,117727000.0,,62887000.0,73527000.0,89090000.0,115383000.0,121151000.0,,68344000.0,73527000.0,103450000.0,118427000.0,,62887000.0,88896000.0,78383000.0,,88896000.0,62887000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,-80469000.0,-98239000.0,-201500000.0,-46873000.0,-26034000.0,-83589000.0,-69587000.0,-86274000.0,-113306000.0,-128650000.0,-135663000.0,-56154000.0,-55872000.0,-116888000.0,-203681000.0,-188732000.0,,,-80469000.0,-201500000.0,-26034000.0,-69587000.0,-113306000.0,-135663000.0,-55872000.0,-203681000.0,,-98239000.0,-26034000.0,-86274000.0,-135663000.0,-116888000.0,,-80469000.0,-26034000.0,-113306000.0,-55872000.0,,-98239000.0,-69587000.0,-56154000.0,,-69587000.0,-98239000.0,,CommonMetricExtracted
DividendsPaid,,,,,27358000.0,41326000.0,42202000.0,43275000.0,43766000.0,45820000.0,48020000.0,51847000.0,56951000.0,58708000.0,60958000.0,60577000.0,62157000.0,66717000.0,67916000.0,56894000.0,,,27358000.0,42202000.0,43766000.0,48020000.0,56951000.0,60958000.0,62157000.0,67916000.0,,41326000.0,43766000.0,51847000.0,60958000.0,66717000.0,,27358000.0,43766000.0,56951000.0,62157000.0,,41326000.0,48020000.0,60577000.0,,48020000.0,41326000.0,,CommonMetricExtracted
FinancingCashFlow,,,,,19726000.0,27713000.0,145186000.0,-31740000.0,-42329000.0,-8148000.0,-21434000.0,-4497000.0,12442000.0,21981000.0,19607000.0,-9264000.0,-74771000.0,-5578000.0,81082000.0,69400000.0,,,19726000.0,145186000.0,-42329000.0,-21434000.0,12442000.0,19607000.0,-74771000.0,81082000.0,,27713000.0,-42329000.0,-4497000.0,19607000.0,-5578000.0,,19726000.0,-42329000.0,12442000.0,-74771000.0,,27713000.0,-21434000.0,-9264000.0,,-21434000.0,27713000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,0.1421398911880744,0.12517096984617976,0.1240999105595335,0.12786104726401792,0.1270584521492082,0.12681162758557146,0.12182502144884176,0.12374508565009829,0.1293424036281179,0.12813544872051047,0.13744800919636327,0.14615634914178802,0.14575419798061484,0.1551774801281026,,,,0.1421398911880744,0.1240999105595335,0.1270584521492082,0.12182502144884176,0.1293424036281179,0.13744800919636327,0.14575419798061484,,,0.1240999105595335,0.12681162758557146,0.1293424036281179,0.14615634914178802,,,0.1240999105595335,0.12182502144884176,0.13744800919636327,,,0.1270584521492082,0.12813544872051047,,0.1270584521492082,,,CommonMetricCalculated
GrossMargin,,,,,,,149163000.0,166298000.0,173338000.0,180613000.0,182512000.0,189543000.0,199596000.0,199702000.0,201579000.0,196350000.0,206344000.0,209926000.0,219718000.0,227128000.0,,,,149163000.0,173338000.0,182512000.0,199596000.0,201579000.0,206344000.0,219718000.0,,,173338000.0,189543000.0,201579000.0,209926000.0,,,173338000.0,199596000.0,206344000.0,,,182512000.0,196350000.0,,182512000.0,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,0.8578601088119256,0.8748290301538203,0.8759000894404665,0.8721389527359821,0.8729415478507918,0.8731883724144285,0.8781749785511582,0.8762549143499017,0.8706575963718821,0.8718645512794896,0.8625519908036368,0.853843650858212,0.8542458020193852,0.8448225198718974,,,,0.8578601088119256,0.8759000894404665,0.8729415478507918,0.8781749785511582,0.8706575963718821,0.8625519908036368,0.8542458020193852,,,0.8759000894404665,0.8731883724144285,0.8706575963718821,0.853843650858212,,,0.8759000894404665,0.8781749785511582,0.8625519908036368,,,0.8729415478507918,0.8718645512794896,,0.8729415478507918,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,0.9599621620432497,0.9729271974164561,0.9646992765360113,0.9781267900198484,0.9803114223011808,0.9795696737980965,0.9683134595870252,0.9714744817684408,,,,,,,0.9599621620432497,0.9646992765360113,0.9803114223011808,0.9683134595870252,,,,,0.9646992765360113,0.9795696737980965,,,,0.9599621620432497,0.9803114223011808,,,,0.9781267900198484,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,0.2164447601805807,0.2031262684117005,0.18730076292130807,0.21118026520671324,0.1936933671620152,0.18243459269132234,0.19735642844810625,0.20559158887808315,,,,,,,0.2164447601805807,0.18730076292130807,0.1936933671620152,0.19735642844810625,,,,,0.18730076292130807,0.18243459269132234,,,,0.2164447601805807,0.1936933671620152,,,,0.21118026520671324,,,,,CommonMetricCalculated
