,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1646387000.0,1700764000.0,1660414000.0,,1967909000.0,2056264000.0,2062313000.0,1932454000.0,,,,,,,1646387000.0,1660414000.0,1967909000.0,2062313000.0,,,,,1660414000.0,2056264000.0,,,,1646387000.0,1967909000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,1205809000.0,1351264000.0,1277290000.0,,1486169000.0,1619298000.0,1606792000.0,1510504000.0,,,,,,,1205809000.0,1277290000.0,1486169000.0,1606792000.0,,,,,1277290000.0,1619298000.0,,,,1205809000.0,1486169000.0,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,53966000.0,56495000.0,66212000.0,79043000.0,,93033000.0,105939000.0,205234000.0,167389000.0,160745000.0,,186191000.0,196172000.0,196044000.0,188068000.0,,,,56495000.0,79043000.0,93033000.0,205234000.0,160745000.0,186191000.0,196044000.0,,53966000.0,79043000.0,105939000.0,160745000.0,196172000.0,,,79043000.0,205234000.0,186191000.0,,53966000.0,93033000.0,,,93033000.0,53966000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,3098000.0,3592000.0,1159000.0,,2558000.0,4464000.0,3781000.0,4215000.0,,,,,,,3098000.0,1159000.0,2558000.0,3781000.0,,,,,1159000.0,4464000.0,,,,3098000.0,2558000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,11224000.0,16772000.0,31654000.0,28549000.0,,22821000.0,52149000.0,-69401000.0,49842000.0,29303000.0,,45374000.0,26291000.0,-935000.0,-79258000.0,,,,16772000.0,28549000.0,22821000.0,-69401000.0,29303000.0,45374000.0,-935000.0,,11224000.0,28549000.0,52149000.0,29303000.0,26291000.0,,,28549000.0,-69401000.0,45374000.0,,11224000.0,22821000.0,,,22821000.0,11224000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,69090000.0,217463000.0,172435000.0,76389000.0,,131988000.0,67363000.0,-66198000.0,-251251000.0,,,,,,,217463000.0,76389000.0,131988000.0,-66198000.0,,,,69090000.0,76389000.0,67363000.0,,,,217463000.0,131988000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,32559000.0,39930000.0,98738000.0,19219000.0,4107000.0,1490000.0,1490000.0,5246000.0,206506000.0,11648000.0,,,52182000.0,33690000.0,41094000.0,50583000.0,,,39930000.0,19219000.0,1490000.0,5246000.0,11648000.0,,33690000.0,50583000.0,32559000.0,19219000.0,1490000.0,11648000.0,52182000.0,50583000.0,,19219000.0,5246000.0,,50583000.0,32559000.0,1490000.0,,50583000.0,1490000.0,50583000.0,50583000.0,50583000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,34616000.0,47619000.0,66185000.0,,70367000.0,72226000.0,158186000.0,153105000.0,,,148696000.0,149565000.0,151003000.0,181328000.0,,,,47619000.0,,72226000.0,153105000.0,,149565000.0,181328000.0,,47619000.0,70367000.0,153105000.0,148696000.0,181328000.0,,47619000.0,72226000.0,,181328000.0,,,,181328000.0,,181328000.0,181328000.0,181328000.0,CommonMetricExtracted
