,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,52574000000.0,41926000000.0,45707000000.0,,,,,,42679000000.0,45794000000.0,45743000000.0,41140000000.0,41404000000.0,59152000000.0,67232000000.0,59540000000.0,53108000000.0,,,41926000000.0,,,,45794000000.0,41140000000.0,59152000000.0,59540000000.0,,45707000000.0,,42679000000.0,41140000000.0,67232000000.0,,41926000000.0,,45794000000.0,59152000000.0,,45707000000.0,,41404000000.0,,,45707000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,40269000000.0,44029000000.0,43477000000.0,40598000000.0,38619000000.0,55789000000.0,63550000000.0,54695000000.0,49715000000.0,,,,,,,44029000000.0,40598000000.0,55789000000.0,54695000000.0,,,,40269000000.0,40598000000.0,63550000000.0,,,,44029000000.0,55789000000.0,,,,38619000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,1613000000.0,1342000000.0,1558000000.0,1553000000.0,1563000000.0,1559000000.0,1691000000.0,1435000000.0,1286000000.0,1445000000.0,1423000000.0,1351000000.0,1358000000.0,1234000000.0,1369000000.0,1715000000.0,1776000000.0,,,1342000000.0,1553000000.0,1559000000.0,1435000000.0,1445000000.0,1351000000.0,1234000000.0,1715000000.0,,1558000000.0,1559000000.0,1286000000.0,1351000000.0,1369000000.0,,1342000000.0,1559000000.0,1445000000.0,1234000000.0,,1558000000.0,1435000000.0,1358000000.0,,1435000000.0,1558000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,3049000000.0,1020000000.0,372000000.0,1014000000.0,734000000.0,1051000000.0,996000000.0,230000000.0,456000000.0,-1205000000.0,1413000000.0,2565000000.0,2066000000.0,3051000000.0,1524000000.0,,,,1020000000.0,1014000000.0,1051000000.0,230000000.0,-1205000000.0,2565000000.0,3051000000.0,,3049000000.0,1014000000.0,996000000.0,-1205000000.0,2066000000.0,,,1014000000.0,230000000.0,2565000000.0,,3049000000.0,1051000000.0,1413000000.0,,1051000000.0,3049000000.0,,CommonMetricExtracted
Interest,,,,361000000.0,283000000.0,298000000.0,302000000.0,294000000.0,363000000.0,347000000.0,258000000.0,234000000.0,263000000.0,339000000.0,339000000.0,265000000.0,243000000.0,403000000.0,516000000.0,471000000.0,,,283000000.0,302000000.0,363000000.0,258000000.0,263000000.0,339000000.0,243000000.0,516000000.0,,298000000.0,363000000.0,234000000.0,339000000.0,403000000.0,,283000000.0,363000000.0,263000000.0,243000000.0,,298000000.0,258000000.0,265000000.0,,258000000.0,298000000.0,,CommonMetricExtracted
Taxes,,,,245000000.0,-110000000.0,699000000.0,55000000.0,-6000000.0,904000000.0,249000000.0,296000000.0,220000000.0,56000000.0,179000000.0,86000000.0,248000000.0,398000000.0,388000000.0,714000000.0,336000000.0,,,-110000000.0,55000000.0,904000000.0,296000000.0,56000000.0,86000000.0,398000000.0,714000000.0,,699000000.0,904000000.0,220000000.0,86000000.0,388000000.0,,-110000000.0,904000000.0,56000000.0,398000000.0,,699000000.0,296000000.0,248000000.0,,296000000.0,699000000.0,,CommonMetricExtracted
NetIncome,,,,1326000000.0,335000000.0,2388000000.0,940000000.0,36000000.0,207000000.0,517000000.0,790000000.0,767000000.0,174000000.0,287000000.0,-1291000000.0,1165000000.0,2167000000.0,1678000000.0,2337000000.0,1188000000.0,,,335000000.0,940000000.0,207000000.0,790000000.0,174000000.0,-1291000000.0,2167000000.0,2337000000.0,,2388000000.0,207000000.0,767000000.0,-1291000000.0,1678000000.0,,335000000.0,207000000.0,174000000.0,2167000000.0,,2388000000.0,790000000.0,1165000000.0,,790000000.0,2388000000.0,,CommonMetricExtracted
Cash,,,,,,,,,,362000000.0,411000000.0,934000000.0,601000000.0,389000000.0,320000000.0,352000000.0,902000000.0,1104000000.0,2602000000.0,3311000000.0,,,,,362000000.0,934000000.0,389000000.0,352000000.0,1104000000.0,3311000000.0,,,411000000.0,389000000.0,902000000.0,3311000000.0,,,934000000.0,352000000.0,3311000000.0,,362000000.0,320000000.0,3311000000.0,362000000.0,3311000000.0,3311000000.0,3311000000.0,CommonMetricExtracted
CurrentReceivables,,,,,2363000000.0,2901000000.0,2459000000.0,2471000000.0,2144000000.0,1840000000.0,1607000000.0,1676000000.0,1501000000.0,1637000000.0,1705000000.0,1717000000.0,2112000000.0,2829000000.0,2592000000.0,2148000000.0,,,2901000000.0,2471000000.0,1840000000.0,1676000000.0,1637000000.0,1717000000.0,2829000000.0,2148000000.0,2363000000.0,2471000000.0,1607000000.0,1637000000.0,2112000000.0,2148000000.0,,2471000000.0,1676000000.0,1717000000.0,2148000000.0,2363000000.0,1840000000.0,1705000000.0,2148000000.0,1840000000.0,2148000000.0,2148000000.0,2148000000.0,CommonMetricExtracted
