,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,9674000000.0,8724000000.0,8380000000.0,8601000000.0,8027000000.0,8434000000.0,8124000000.0,8757000000.0,9625000000.0,,,,,,,8724000000.0,8601000000.0,8434000000.0,8757000000.0,,,,9674000000.0,8601000000.0,8124000000.0,,,,8724000000.0,8434000000.0,,,,8027000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,219758000.0,557814000.0,928900000.0,1902000000.0,1550700000.0,2418300000.0,2673000000.0,2690000000.0,2644000000.0,1897000000.0,1645000000.0,1375000000.0,1215000000.0,1077000000.0,1077000000.0,,,,557814000.0,1902000000.0,2418300000.0,2690000000.0,1897000000.0,1375000000.0,1077000000.0,,219758000.0,1902000000.0,2673000000.0,1897000000.0,1215000000.0,,,1902000000.0,2690000000.0,1375000000.0,,219758000.0,2418300000.0,1645000000.0,,2418300000.0,219758000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,188922000.0,167633000.0,276546000.0,572472000.0,756100000.0,1305200000.0,2026300000.0,2700000000.0,2810000000.0,2582000000.0,2473000000.0,2554000000.0,2367000000.0,2624000000.0,2625000000.0,2917000000.0,3296000000.0,,,167633000.0,572472000.0,1305200000.0,2700000000.0,2582000000.0,2554000000.0,2624000000.0,2917000000.0,,276546000.0,1305200000.0,2810000000.0,2554000000.0,2625000000.0,,167633000.0,1305200000.0,2582000000.0,2624000000.0,,276546000.0,2700000000.0,2367000000.0,,2700000000.0,276546000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,69811000.0,47581000.0,68311000.0,65687000.0,79100000.0,156800000.0,246000000.0,334400000.0,421000000.0,361000000.0,413000000.0,471000000.0,452000000.0,465000000.0,529000000.0,604000000.0,616000000.0,,,47581000.0,65687000.0,156800000.0,334400000.0,361000000.0,471000000.0,465000000.0,604000000.0,,68311000.0,156800000.0,421000000.0,471000000.0,529000000.0,,47581000.0,156800000.0,361000000.0,465000000.0,,68311000.0,334400000.0,452000000.0,,334400000.0,68311000.0,,CommonMetricExtracted
OperatingMargin,,,,124109000.0,181154000.0,-110085000.0,299959000.0,79700000.0,-409500000.0,2039700000.0,1527400000.0,-566000000.0,102000000.0,-2384000000.0,-203000000.0,676000000.0,450000000.0,454000000.0,963000000.0,1546000000.0,,,181154000.0,299959000.0,-409500000.0,1527400000.0,102000000.0,-203000000.0,450000000.0,963000000.0,,-110085000.0,-409500000.0,-566000000.0,-203000000.0,454000000.0,,181154000.0,-409500000.0,102000000.0,450000000.0,,-110085000.0,1527400000.0,676000000.0,,1527400000.0,-110085000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,1840000000.0,1685000000.0,1612000000.0,1534000000.0,1426000000.0,1464000000.0,1328000000.0,1388000000.0,,,,,,,1840000000.0,1612000000.0,1426000000.0,1328000000.0,,,,,1612000000.0,1464000000.0,,,,1840000000.0,1426000000.0,,,,1534000000.0,,,,,CommonMetricExtracted
Taxes,,,,-73000000.0,-1500000.0,-28070000.0,-177559000.0,-278200000.0,-450783000.0,180400000.0,133000000.0,-27000000.0,-4145000000.0,-10000000.0,-54000000.0,-375000000.0,-87000000.0,83000000.0,221000000.0,239000000.0,,,-1500000.0,-177559000.0,-450783000.0,133000000.0,-4145000000.0,-54000000.0,-87000000.0,221000000.0,,-28070000.0,-450783000.0,-27000000.0,-54000000.0,83000000.0,,-1500000.0,-450783000.0,-4145000000.0,-87000000.0,,-28070000.0,133000000.0,-375000000.0,,133000000.0,-28070000.0,,CommonMetricExtracted
NetIncome,,,,,,,0.0,0.0,2500000.0,-1000000.0,4000000.0,1000000.0,0.0,4000000.0,5000000.0,1000000.0,11000000.0,13000000.0,-19000000.0,-26000000.0,,,,0.0,2500000.0,4000000.0,0.0,5000000.0,11000000.0,-19000000.0,,,2500000.0,1000000.0,5000000.0,13000000.0,,,2500000.0,0.0,11000000.0,,,4000000.0,1000000.0,,4000000.0,,,CommonMetricExtracted
Cash,,,433641000.0,317547000.0,114463000.0,394269000.0,164111000.0,916100000.0,600340000.0,323000000.0,597300000.0,542000000.0,,,3243000000.0,605000000.0,582000000.0,564000000.0,947000000.0,1181000000.0,,317547000.0,394269000.0,916100000.0,323000000.0,542000000.0,,605000000.0,564000000.0,1181000000.0,114463000.0,916100000.0,597300000.0,,582000000.0,1181000000.0,317547000.0,916100000.0,542000000.0,605000000.0,1181000000.0,114463000.0,323000000.0,3243000000.0,1181000000.0,323000000.0,1181000000.0,1181000000.0,1181000000.0,CommonMetricExtracted
CurrentReceivables,,,,,112165000.0,274819000.0,569268000.0,913835000.0,1814769000.0,2075800000.0,2687000000.0,2517000000.0,,,1839000000.0,1577000000.0,1775000000.0,1790000000.0,1998000000.0,2140000000.0,,,274819000.0,913835000.0,2075800000.0,2517000000.0,,1577000000.0,1790000000.0,2140000000.0,112165000.0,913835000.0,2687000000.0,,1775000000.0,2140000000.0,,913835000.0,2517000000.0,1577000000.0,2140000000.0,112165000.0,2075800000.0,1839000000.0,2140000000.0,2075800000.0,2140000000.0,2140000000.0,2140000000.0,CommonMetricExtracted
