,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2322285000.0,2454479000.0,2566465000.0,2268095000.0,2053131000.0,2255319000.0,2886331000.0,2838976000.0,2656105000.0,,,,,,,2454479000.0,2268095000.0,2255319000.0,2838976000.0,,,,2322285000.0,2268095000.0,2886331000.0,,,,2454479000.0,2255319000.0,,,,2053131000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,2214728000.0,2114195000.0,2291412000.0,2319983000.0,2577204000.0,2322299000.0,2107600000.0,2239114000.0,2360629000.0,2082567000.0,1878083000.0,2049418000.0,2631096000.0,2567906000.0,2386081000.0,,,,2114195000.0,2319983000.0,2322299000.0,2239114000.0,2082567000.0,2049418000.0,2567906000.0,,2214728000.0,2319983000.0,2107600000.0,2082567000.0,2631096000.0,,,2319983000.0,2239114000.0,2049418000.0,,2214728000.0,2322299000.0,1878083000.0,,2322299000.0,2214728000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,92245000.0,89665000.0,89951000.0,99331000.0,115700000.0,111744000.0,113448000.0,130401000.0,143205000.0,141618000.0,122195000.0,136700000.0,150215000.0,147025000.0,149460000.0,,,,89665000.0,99331000.0,111744000.0,130401000.0,141618000.0,136700000.0,147025000.0,,92245000.0,99331000.0,113448000.0,141618000.0,150215000.0,,,99331000.0,130401000.0,136700000.0,,92245000.0,111744000.0,122195000.0,,111744000.0,92245000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,88446000.0,41293000.0,75559000.0,116524000.0,100144000.0,92969000.0,76860000.0,78603000.0,58538000.0,28545000.0,25134000.0,53062000.0,90069000.0,109664000.0,109411000.0,,,,41293000.0,116524000.0,92969000.0,78603000.0,28545000.0,53062000.0,109664000.0,,88446000.0,116524000.0,76860000.0,28545000.0,90069000.0,,,116524000.0,78603000.0,53062000.0,,88446000.0,92969000.0,25134000.0,,92969000.0,88446000.0,,CommonMetricExtracted
Interest,,,,,,1362000.0,1327000.0,1580000.0,1934000.0,1890000.0,2996000.0,9304000.0,9405000.0,10473000.0,6664000.0,8364000.0,8472000.0,12894000.0,31875000.0,26922000.0,,,,1327000.0,1934000.0,2996000.0,9405000.0,6664000.0,8472000.0,31875000.0,,1362000.0,1934000.0,9304000.0,6664000.0,12894000.0,,,1934000.0,9405000.0,8472000.0,,1362000.0,2996000.0,8364000.0,,2996000.0,1362000.0,,CommonMetricExtracted
Taxes,,,,,,7258000.0,-10827000.0,18832000.0,5018000.0,17408000.0,-5362000.0,5477000.0,104747000.0,32724000.0,3844000.0,3238000.0,9637000.0,16113000.0,16905000.0,20568000.0,,,,-10827000.0,5018000.0,-5362000.0,104747000.0,3844000.0,9637000.0,16905000.0,,7258000.0,5018000.0,5477000.0,3844000.0,16113000.0,,,5018000.0,104747000.0,9637000.0,,7258000.0,-5362000.0,3238000.0,,-5362000.0,7258000.0,,CommonMetricExtracted
NetIncome,,,,,9238000.0,79758000.0,51959000.0,56607000.0,111159000.0,82442000.0,95401000.0,64047000.0,-31901000.0,22817000.0,23425000.0,14055000.0,35770000.0,68229000.0,64315000.0,63327000.0,,,9238000.0,51959000.0,111159000.0,95401000.0,-31901000.0,23425000.0,35770000.0,64315000.0,,79758000.0,111159000.0,64047000.0,23425000.0,68229000.0,,9238000.0,111159000.0,-31901000.0,35770000.0,,79758000.0,95401000.0,14055000.0,,95401000.0,79758000.0,,CommonMetricExtracted
Cash,,,199198000.0,359694000.0,421243000.0,346345000.0,283920000.0,384579000.0,345555000.0,427376000.0,465995000.0,681433000.0,742546000.0,458102000.0,347558000.0,390808000.0,271749000.0,207430000.0,277391000.0,315152000.0,,359694000.0,346345000.0,384579000.0,427376000.0,681433000.0,458102000.0,390808000.0,207430000.0,315152000.0,421243000.0,384579000.0,465995000.0,458102000.0,271749000.0,315152000.0,359694000.0,384579000.0,681433000.0,390808000.0,315152000.0,421243000.0,427376000.0,347558000.0,315152000.0,427376000.0,315152000.0,315152000.0,315152000.0,CommonMetricExtracted
CurrentReceivables,,,,,417268000.0,455930000.0,425936000.0,459081000.0,559763000.0,520389000.0,479140000.0,440692000.0,436560000.0,468161000.0,324424000.0,309331000.0,355883000.0,491957000.0,449404000.0,412458000.0,,,455930000.0,459081000.0,520389000.0,440692000.0,468161000.0,309331000.0,491957000.0,412458000.0,417268000.0,459081000.0,479140000.0,468161000.0,355883000.0,412458000.0,,459081000.0,440692000.0,309331000.0,412458000.0,417268000.0,520389000.0,324424000.0,412458000.0,520389000.0,412458000.0,412458000.0,412458000.0,CommonMetricExtracted
