,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,974873000.0,913380000.0,885496000.0,900254000.0,901278000.0,1294607000.0,1345187000.0,1261102000.0,,,,,,,974873000.0,885496000.0,901278000.0,1345187000.0,,,,,885496000.0,1294607000.0,,,,974873000.0,901278000.0,,,,900254000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,533357000.0,519423000.0,522780000.0,500610000.0,641598000.0,669184000.0,642037000.0,,,,,,,,519423000.0,500610000.0,669184000.0,,,,,519423000.0,641598000.0,,,,,500610000.0,,,,522780000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,181292000.0,201157000.0,208362000.0,232335000.0,241140000.0,242151000.0,250359000.0,251813000.0,244408000.0,245945000.0,245145000.0,245977000.0,232646000.0,317510000.0,347871000.0,348006000.0,,,181292000.0,208362000.0,241140000.0,250359000.0,244408000.0,245145000.0,232646000.0,347871000.0,,201157000.0,241140000.0,251813000.0,245145000.0,317510000.0,,181292000.0,241140000.0,244408000.0,232646000.0,,201157000.0,250359000.0,245977000.0,,250359000.0,201157000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,204127000.0,214678000.0,240481000.0,261699000.0,260456000.0,259696000.0,234824000.0,156271000.0,139485000.0,126644000.0,137707000.0,170947000.0,337755000.0,335056000.0,289215000.0,,,,214678000.0,261699000.0,259696000.0,156271000.0,126644000.0,170947000.0,335056000.0,,204127000.0,261699000.0,234824000.0,126644000.0,337755000.0,,,261699000.0,156271000.0,170947000.0,,204127000.0,259696000.0,137707000.0,,259696000.0,204127000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,60459000.0,76824000.0,79996000.0,89025000.0,97394000.0,97872000.0,97132000.0,87541000.0,58310000.0,49778000.0,31036000.0,33278000.0,40808000.0,82935000.0,80430000.0,69296000.0,,,60459000.0,79996000.0,97394000.0,97132000.0,58310000.0,31036000.0,40808000.0,80430000.0,,76824000.0,97394000.0,87541000.0,31036000.0,82935000.0,,60459000.0,97394000.0,58310000.0,40808000.0,,76824000.0,97132000.0,33278000.0,,97132000.0,76824000.0,,CommonMetricExtracted
NetIncome,,,,,104409000.0,127303000.0,134682000.0,151456000.0,164305000.0,162584000.0,162564000.0,147283000.0,97961000.0,89707000.0,95608000.0,104429000.0,130139000.0,254820000.0,254626000.0,219919000.0,,,104409000.0,134682000.0,164305000.0,162564000.0,97961000.0,95608000.0,130139000.0,254626000.0,,127303000.0,164305000.0,147283000.0,95608000.0,254820000.0,,104409000.0,164305000.0,97961000.0,130139000.0,,127303000.0,162564000.0,104429000.0,,162564000.0,127303000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,165086000.0,168471000.0,220969000.0,318789000.0,253970000.0,252077000.0,268213000.0,,,,,,,165086000.0,220969000.0,253970000.0,268213000.0,,,,165086000.0,318789000.0,268213000.0,,,,220969000.0,268213000.0,,,168471000.0,268213000.0,,268213000.0,268213000.0,268213000.0,CommonMetricExtracted
CurrentReceivables,,,,,,6911000.0,14363000.0,4584000.0,3470000.0,4318000.0,8567000.0,9651000.0,8210000.0,8588000.0,7089000.0,3136000.0,2823000.0,12087000.0,12648000.0,8697000.0,,,6911000.0,4584000.0,4318000.0,9651000.0,8588000.0,3136000.0,12087000.0,8697000.0,,4584000.0,8567000.0,8588000.0,2823000.0,8697000.0,,4584000.0,9651000.0,3136000.0,8697000.0,,4318000.0,7089000.0,8697000.0,4318000.0,8697000.0,8697000.0,8697000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,11684000.0,14718000.0,14825000.0,25528000.0,28613000.0,26536000.0,6030000.0,6023000.0,18070000.0,18136000.0,20935000.0,11190000.0,10128000.0,12480000.0,18846000.0,,,11684000.0,14825000.0,28613000.0,6030000.0,18070000.0,20935000.0,10128000.0,18846000.0,,14825000.0,26536000.0,18070000.0,11190000.0,18846000.0,,14825000.0,6030000.0,20935000.0,18846000.0,,28613000.0,18136000.0,18846000.0,28613000.0,18846000.0,18846000.0,18846000.0,CommonMetricExtracted
Inventory,,,,,,88187000.0,88593000.0,104209000.0,103853000.0,124141000.0,129921000.0,149566000.0,125694000.0,118007000.0,125190000.0,121258000.0,101063000.0,102095000.0,125134000.0,126290000.0,,,88187000.0,104209000.0,124141000.0,149566000.0,118007000.0,121258000.0,102095000.0,126290000.0,,104209000.0,129921000.0,118007000.0,101063000.0,126290000.0,,104209000.0,149566000.0,121258000.0,126290000.0,,124141000.0,125190000.0,126290000.0,124141000.0,126290000.0,126290000.0,126290000.0,CommonMetricExtracted
CurrentAssets,,,,,,264809000.0,257036000.0,320127000.0,276873000.0,342137000.0,324589000.0,362897000.0,386457000.0,360584000.0,370432000.0,378830000.0,437224000.0,391206000.0,423336000.0,444256000.0,,,264809000.0,320127000.0,342137000.0,362897000.0,360584000.0,378830000.0,391206000.0,444256000.0,,320127000.0,324589000.0,360584000.0,437224000.0,444256000.0,,320127000.0,362897000.0,378830000.0,444256000.0,,342137000.0,370432000.0,444256000.0,342137000.0,444256000.0,444256000.0,444256000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,146582000.0,169234000.0,169034000.0,163103000.0,158569000.0,172663000.0,172781000.0,168995000.0,149546000.0,130682000.0,113848000.0,100415000.0,100504000.0,112402000.0,128837000.0,,,146582000.0,169034000.0,158569000.0,172781000.0,149546000.0,113848000.0,100504000.0,128837000.0,,169034000.0,172663000.0,149546000.0,100415000.0,128837000.0,,169034000.0,172781000.0,113848000.0,128837000.0,,158569000.0,130682000.0,128837000.0,158569000.0,128837000.0,128837000.0,128837000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,488903000.0,494844000.0,531539000.0,477974000.0,546293000.0,542993000.0,572773000.0,579847000.0,538116000.0,527302000.0,867890000.0,845814000.0,780884000.0,837579000.0,889810000.0,,,488903000.0,531539000.0,546293000.0,572773000.0,538116000.0,867890000.0,780884000.0,889810000.0,,531539000.0,542993000.0,538116000.0,845814000.0,889810000.0,,531539000.0,572773000.0,867890000.0,889810000.0,,546293000.0,527302000.0,889810000.0,546293000.0,889810000.0,889810000.0,889810000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,33230000.0,43142000.0,46691000.0,64552000.0,63317000.0,61359000.0,51642000.0,50511000.0,57397000.0,52132000.0,47079000.0,74453000.0,81743000.0,64589000.0,69697000.0,,,33230000.0,46691000.0,63317000.0,51642000.0,57397000.0,47079000.0,81743000.0,69697000.0,,46691000.0,61359000.0,57397000.0,74453000.0,69697000.0,,46691000.0,51642000.0,47079000.0,69697000.0,,63317000.0,52132000.0,69697000.0,63317000.0,69697000.0,69697000.0,69697000.0,CommonMetricExtracted
CurrentLiability,,,,,,142359000.0,142044000.0,163810000.0,181260000.0,170297000.0,169175000.0,147391000.0,140217000.0,135859000.0,129652000.0,316040000.0,358568000.0,435603000.0,407251000.0,392282000.0,,,142359000.0,163810000.0,170297000.0,147391000.0,135859000.0,316040000.0,435603000.0,392282000.0,,163810000.0,169175000.0,135859000.0,358568000.0,392282000.0,,163810000.0,147391000.0,316040000.0,392282000.0,,170297000.0,129652000.0,392282000.0,170297000.0,392282000.0,392282000.0,392282000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,5957000.0,7727000.0,8581000.0,10600000.0,12797000.0,14261000.0,12849000.0,13092000.0,15154000.0,13978000.0,306101000.0,242826000.0,219419000.0,235222000.0,255134000.0,,,5957000.0,8581000.0,12797000.0,12849000.0,15154000.0,306101000.0,219419000.0,255134000.0,,8581000.0,14261000.0,15154000.0,242826000.0,255134000.0,,8581000.0,12849000.0,306101000.0,255134000.0,,12797000.0,13978000.0,255134000.0,12797000.0,255134000.0,255134000.0,255134000.0,CommonMetricExtracted
TotalLiability,,,,,,134644000.0,149179000.0,168392000.0,188325000.0,184363000.0,187715000.0,160130000.0,149308000.0,146868000.0,133425000.0,478742000.0,449185000.0,467960000.0,461265000.0,476590000.0,,,134644000.0,168392000.0,184363000.0,160130000.0,146868000.0,478742000.0,467960000.0,476590000.0,,168392000.0,187715000.0,146868000.0,449185000.0,476590000.0,,168392000.0,160130000.0,478742000.0,476590000.0,,184363000.0,133425000.0,476590000.0,184363000.0,476590000.0,476590000.0,476590000.0,CommonMetricExtracted
ShareholderEquity,,,,338320000.0,337222000.0,354259000.0,345665000.0,363147000.0,289649000.0,361930000.0,355278000.0,412643000.0,430539000.0,391248000.0,393877000.0,389148000.0,396629000.0,312924000.0,376314000.0,413220000.0,,338320000.0,354259000.0,363147000.0,361930000.0,412643000.0,391248000.0,389148000.0,312924000.0,413220000.0,337222000.0,363147000.0,355278000.0,391248000.0,396629000.0,413220000.0,338320000.0,363147000.0,412643000.0,389148000.0,413220000.0,337222000.0,361930000.0,393877000.0,413220000.0,361930000.0,413220000.0,413220000.0,413220000.0,CommonMetricExtracted
OperatingCashFlow,,,,,143729000.0,157959000.0,179935000.0,,,,,,,119721000.0,108727000.0,130665000.0,227420000.0,311754000.0,242382000.0,254644000.0,,,143729000.0,179935000.0,,,,108727000.0,227420000.0,242382000.0,,157959000.0,,,108727000.0,311754000.0,,143729000.0,,,227420000.0,,157959000.0,,130665000.0,,,157959000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,47448000.0,50561000.0,54945000.0,36627000.0,30297000.0,28811000.0,45454000.0,34578000.0,31663000.0,13462000.0,10021000.0,7322000.0,7657000.0,19100000.0,30360000.0,37274000.0,,,47448000.0,54945000.0,30297000.0,45454000.0,31663000.0,10021000.0,7657000.0,30360000.0,,50561000.0,30297000.0,34578000.0,10021000.0,19100000.0,,47448000.0,30297000.0,31663000.0,7657000.0,,50561000.0,45454000.0,7322000.0,,45454000.0,50561000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,66473000.0,-69228000.0,-49656000.0,,,,,,,-17297000.0,-7598000.0,34755000.0,-768000.0,-28775000.0,-41399000.0,-41770000.0,,,66473000.0,-49656000.0,,,,-7598000.0,-768000.0,-41399000.0,,-69228000.0,,,-7598000.0,-28775000.0,,66473000.0,,,-768000.0,,-69228000.0,,34755000.0,,,-69228000.0,,CommonMetricExtracted
DividendsPaid,,,,,126665000.0,120341000.0,154287000.0,144563000.0,254633000.0,97144000.0,176604000.0,93768000.0,84850000.0,133874000.0,97744000.0,112854000.0,128460000.0,347798000.0,202876000.0,196738000.0,,,126665000.0,154287000.0,254633000.0,176604000.0,84850000.0,97744000.0,128460000.0,202876000.0,,120341000.0,254633000.0,93768000.0,97744000.0,347798000.0,,126665000.0,254633000.0,84850000.0,128460000.0,,120341000.0,176604000.0,112854000.0,,176604000.0,120341000.0,,CommonMetricExtracted
FinancingCashFlow,,,,,-112032000.0,-115854000.0,-149149000.0,,,,,,,-133874000.0,-97744000.0,-112922000.0,-128832000.0,-347798000.0,-202876000.0,-196738000.0,,,-112032000.0,-149149000.0,,,,-97744000.0,-128832000.0,-202876000.0,,-115854000.0,,,-97744000.0,-347798000.0,,-112032000.0,,,-128832000.0,,-115854000.0,,-112922000.0,,,-115854000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,0.5839376820162473,0.5865898886048045,0.5807027794378031,0.5554446019984954,0.4955928710411731,0.49746540815514867,0.509107907211312,,,,,,,,0.5865898886048045,0.5554446019984954,0.49746540815514867,,,,,0.5865898886048045,0.4955928710411731,,,,,0.5554446019984954,,,,0.5807027794378031,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,380023000.0,366073000.0,377474000.0,400668000.0,653009000.0,676003000.0,619065000.0,,,,,,,,366073000.0,400668000.0,676003000.0,,,,,366073000.0,653009000.0,,,,,400668000.0,,,,377474000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,0.41606231798375265,0.41341011139519546,0.41929722056219687,0.4445553980015045,0.5044071289588269,0.5025345918448513,0.490892092788688,,,,,,,,0.41341011139519546,0.4445553980015045,0.5025345918448513,,,,,0.41341011139519546,0.5044071289588269,,,,,0.4445553980015045,,,,0.41929722056219687,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,0.25070752805750085,0.2692690884407366,0.27684484176100177,0.2732306660120366,0.25812901235800717,0.24525589619089036,0.258604194063725,0.275953887948794,,,,,,,0.25070752805750085,0.27684484176100177,0.25812901235800717,0.258604194063725,,,,,0.27684484176100177,0.24525589619089036,,,,0.25070752805750085,0.25812901235800717,,,,0.2732306660120366,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,0.16029882866793932,0.15271300006569008,0.14302040890077425,0.15296460776625265,0.18967177718750486,0.26089384654957065,0.24907763753292292,0.22933513704680508,,,,,,,0.16029882866793932,0.14302040890077425,0.18967177718750486,0.24907763753292292,,,,,0.14302040890077425,0.26089384654957065,,,,0.16029882866793932,0.18967177718750486,,,,0.15296460776625265,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,0.3763539365199116,0.37263250076859294,0.370195566385702,0.37216038272977736,0.3757717234388918,0.3740219333374407,0.3727940925970088,0.3731338508104511,0.3568699143277055,0.24506490635166292,0.24165801302766018,0.23871726324533335,0.2455478083226007,0.2400494245738026,0.2396002973566378,,,,0.37263250076859294,0.37216038272977736,0.3740219333374407,0.3731338508104511,0.24506490635166292,0.23871726324533335,0.2400494245738026,,0.3763539365199116,0.37216038272977736,0.3727940925970088,0.24506490635166292,0.2455478083226007,,,0.37216038272977736,0.3731338508104511,0.23871726324533335,,0.3763539365199116,0.3740219333374407,0.24165801302766018,,0.3740219333374407,0.3763539365199116,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,0.10048590944666638,0.09821432481552038,0.10797112578712947,0.11599948458990463,0.14439384962242505,0.19683193432447066,0.1892866939689426,0.1743863700160653,,,,,,,0.10048590944666638,0.10797112578712947,0.14439384962242505,0.1892866939689426,,,,,0.10797112578712947,0.19683193432447066,,,,0.10048590944666638,0.14439384962242505,,,,0.11599948458990463,,,,,CommonMetricCalculated
