,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,1005790000.0,1269578000.0,1307251000.0,,,,,,1538916000.0,1680266000.0,1754268000.0,1734900000.0,1696941000.0,1949102000.0,2551816000.0,2331300000.0,2127700000.0,,,1269578000.0,,,,1680266000.0,1734900000.0,1949102000.0,2331300000.0,,1307251000.0,,1538916000.0,1734900000.0,2551816000.0,,1269578000.0,,1680266000.0,1949102000.0,,1307251000.0,,1696941000.0,,,1307251000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,595240000.0,566967000.0,574989000.0,407066000.0,492147000.0,581782000.0,456887000.0,499132000.0,563288000.0,625610000.0,570829000.0,492404000.0,741934000.0,1230600000.0,982900000.0,730300000.0,,,595240000.0,574989000.0,492147000.0,456887000.0,563288000.0,570829000.0,741934000.0,982900000.0,,566967000.0,492147000.0,499132000.0,570829000.0,1230600000.0,,595240000.0,492147000.0,563288000.0,741934000.0,,566967000.0,456887000.0,492404000.0,,456887000.0,566967000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,55877000.0,126832000.0,193902000.0,186239000.0,243711000.0,259445000.0,263868000.0,300420000.0,336181000.0,416736000.0,397037000.0,406042000.0,428303000.0,409429000.0,455244000.0,472700000.0,503100000.0,,,126832000.0,186239000.0,259445000.0,300420000.0,416736000.0,406042000.0,409429000.0,472700000.0,,193902000.0,259445000.0,336181000.0,406042000.0,455244000.0,,126832000.0,259445000.0,416736000.0,409429000.0,,193902000.0,300420000.0,428303000.0,,300420000.0,193902000.0,,CommonMetricExtracted
Interest,,,,,89441000.0,105676000.0,116684000.0,117754000.0,113979000.0,73017000.0,86278000.0,139590000.0,140756000.0,143720000.0,145847000.0,144931000.0,154112000.0,162600000.0,180000000.0,195200000.0,,,89441000.0,116684000.0,113979000.0,86278000.0,140756000.0,145847000.0,154112000.0,180000000.0,,105676000.0,113979000.0,139590000.0,145847000.0,162600000.0,,89441000.0,113979000.0,140756000.0,154112000.0,,105676000.0,86278000.0,144931000.0,,86278000.0,105676000.0,,CommonMetricExtracted
Taxes,,,,27684000.0,22231000.0,27602000.0,33710000.0,40487000.0,40012000.0,43580000.0,44353000.0,48522000.0,51578000.0,51746000.0,52915000.0,56373000.0,60100000.0,66700000.0,66900000.0,67200000.0,,,22231000.0,33710000.0,40012000.0,44353000.0,51578000.0,52915000.0,60100000.0,66900000.0,,27602000.0,40012000.0,48522000.0,52915000.0,66700000.0,,22231000.0,40012000.0,51578000.0,60100000.0,,27602000.0,44353000.0,56373000.0,,44353000.0,27602000.0,,CommonMetricExtracted
NetIncome,,,,105210000.0,81555000.0,68685000.0,49730000.0,81528000.0,,130889000.0,-32111000.0,82631000.0,191276000.0,272662000.0,213322000.0,242763000.0,251260000.0,270800000.0,276000000.0,283700000.0,,,81555000.0,49730000.0,,-32111000.0,191276000.0,213322000.0,251260000.0,276000000.0,,68685000.0,,82631000.0,213322000.0,270800000.0,,81555000.0,,191276000.0,251260000.0,,68685000.0,-32111000.0,242763000.0,,-32111000.0,68685000.0,,CommonMetricExtracted
Cash,,,81255000.0,168532000.0,112901000.0,32438000.0,21628000.0,15462000.0,7841000.0,21218000.0,456535000.0,13580000.0,15420000.0,20776000.0,9777000.0,6356000.0,8921000.0,21430000.0,86600000.0,16100000.0,,168532000.0,32438000.0,15462000.0,21218000.0,13580000.0,20776000.0,6356000.0,21430000.0,16100000.0,112901000.0,15462000.0,456535000.0,20776000.0,8921000.0,16100000.0,168532000.0,15462000.0,13580000.0,6356000.0,16100000.0,112901000.0,21218000.0,9777000.0,16100000.0,21218000.0,16100000.0,16100000.0,16100000.0,CommonMetricExtracted
CurrentReceivables,,,,,274489000.0,328811000.0,166118000.0,163698000.0,179033000.0,192045000.0,147854000.0,263289000.0,248330000.0,282131000.0,272251000.0,285407000.0,339669000.0,525837000.0,368800000.0,371000000.0,,,328811000.0,163698000.0,192045000.0,263289000.0,282131000.0,285407000.0,525837000.0,371000000.0,274489000.0,163698000.0,147854000.0,282131000.0,339669000.0,371000000.0,,163698000.0,263289000.0,285407000.0,371000000.0,274489000.0,192045000.0,272251000.0,371000000.0,192045000.0,371000000.0,371000000.0,371000000.0,CommonMetricExtracted
