,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,0.0,791000.0,,,,,,,,,,791000.0,,,,,,791000.0,,,,,791000.0,,,,791000.0,,791000.0,791000.0,791000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,665.0,300.0,63177.0,138041.0,142206.0,344955.0,315321.0,1064078.0,1324000.0,,,836000.0,559000.0,134000.0,,,,300.0,138041.0,344955.0,1064078.0,,836000.0,134000.0,,300.0,142206.0,1064078.0,,134000.0,,300.0,344955.0,,134000.0,,138041.0,1324000.0,134000.0,138041.0,134000.0,134000.0,134000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,2800.0,0.0,,,,,,,,,,619000.0,363000.0,288000.0,,,,0.0,,,,,619000.0,288000.0,,0.0,,,,288000.0,,0.0,,,288000.0,,,,288000.0,,288000.0,288000.0,288000.0,CommonMetricExtracted
Inventory,,,,,,,,,59051.0,377020.0,683824.0,780037.0,4051282.0,11017459.0,7140000.0,,,4442000.0,3212000.0,1493000.0,,,,,377020.0,780037.0,11017459.0,,4442000.0,1493000.0,,,683824.0,11017459.0,,1493000.0,,,780037.0,,1493000.0,,377020.0,7140000.0,1493000.0,377020.0,1493000.0,1493000.0,1493000.0,CommonMetricExtracted
CurrentAssets,,,,,,,6203.0,6199.0,152012.0,1771498.0,1130853.0,2400772.0,7602667.0,23489560.0,14470000.0,,,6620000.0,4537000.0,10040000.0,,,,6199.0,1771498.0,2400772.0,23489560.0,,6620000.0,10040000.0,,6199.0,1130853.0,23489560.0,,10040000.0,,6199.0,2400772.0,,10040000.0,,1771498.0,14470000.0,10040000.0,1771498.0,10040000.0,10040000.0,10040000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,22395.0,81206.0,112005.0,99216.0,728506.0,1758130.0,4687000.0,,,5741000.0,4768000.0,14775000.0,,,,,81206.0,99216.0,1758130.0,,5741000.0,14775000.0,,,112005.0,1758130.0,,14775000.0,,,99216.0,,14775000.0,,81206.0,4687000.0,14775000.0,81206.0,14775000.0,14775000.0,14775000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,0.0,28182.0,28182.0,28000.0,,,,0.0,33310000.0,,,,,,0.0,28182.0,,,33310000.0,,,,28182.0,,33310000.0,,,0.0,,33310000.0,,,28000.0,33310000.0,,33310000.0,33310000.0,33310000.0,CommonMetricExtracted
