,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1116854000.0,1313646000.0,1491212000.0,1704048000.0,1860455000.0,1846275000.0,2096039000.0,2419226000.0,2853915000.0,,,,,,,1313646000.0,1704048000.0,1846275000.0,2419226000.0,,,,1116854000.0,1704048000.0,2096039000.0,,,,1313646000.0,1846275000.0,,,,1860455000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,52509000.0,65909000.0,70285000.0,84023000.0,91830000.0,95742000.0,122267000.0,152008000.0,209620000.0,241786000.0,315264000.0,359466000.0,524272000.0,470515000.0,503023000.0,532062000.0,580235000.0,,,65909000.0,84023000.0,95742000.0,152008000.0,241786000.0,359466000.0,470515000.0,532062000.0,,70285000.0,95742000.0,209620000.0,359466000.0,503023000.0,,65909000.0,95742000.0,241786000.0,470515000.0,,70285000.0,152008000.0,524272000.0,,152008000.0,70285000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,106566000.0,124290000.0,151723000.0,175423000.0,198173000.0,235356000.0,302156000.0,402271000.0,476593000.0,554336000.0,604353000.0,680924000.0,737669000.0,759375000.0,854009000.0,937291000.0,1009025000.0,,,124290000.0,175423000.0,235356000.0,402271000.0,554336000.0,680924000.0,759375000.0,937291000.0,,151723000.0,235356000.0,476593000.0,680924000.0,854009000.0,,124290000.0,235356000.0,554336000.0,759375000.0,,151723000.0,402271000.0,737669000.0,,402271000.0,151723000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,93291000.0,115116000.0,147309000.0,214374000.0,302218000.0,354780000.0,461543000.0,634806000.0,661905000.0,610753000.0,696328000.0,715007000.0,628116000.0,628793000.0,649606000.0,746773000.0,747184000.0,,,115116000.0,214374000.0,354780000.0,634806000.0,610753000.0,715007000.0,628793000.0,746773000.0,,147309000.0,354780000.0,661905000.0,715007000.0,649606000.0,,115116000.0,354780000.0,610753000.0,628793000.0,,147309000.0,634806000.0,628116000.0,,634806000.0,147309000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,-176503000.0,-124868000.0,-154724000.0,-831050000.0,-35875000.0,-142705000.0,-94811000.0,-42322000.0,-75350000.0,149576000.0,188563000.0,541763000.0,,,,,-176503000.0,-154724000.0,-35875000.0,-94811000.0,-75350000.0,188563000.0,,,-176503000.0,-831050000.0,-94811000.0,149576000.0,,,-176503000.0,-35875000.0,-75350000.0,,,-154724000.0,-42322000.0,,-154724000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,15970000.0,17335000.0,12666000.0,,,,,,,,,,17335000.0,,,,,,15970000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,2593000.0,1054000.0,-227309000.0,10209000.0,-3931000.0,-150000.0,9101000.0,17075000.0,-200840000.0,81167000.0,-65494000.0,-70963000.0,-901422000.0,-11270000.0,8015000.0,20918000.0,114904000.0,,,1054000.0,10209000.0,-150000.0,17075000.0,81167000.0,-70963000.0,-11270000.0,20918000.0,,-227309000.0,-150000.0,-200840000.0,-70963000.0,8015000.0,,1054000.0,-150000.0,81167000.0,-11270000.0,,-227309000.0,17075000.0,-901422000.0,,17075000.0,-227309000.0,,CommonMetricExtracted
NetIncome,,,,30831000.0,-488000.0,205819000.0,-53836000.0,-114347000.0,-176353000.0,-133969000.0,-171799000.0,-630210000.0,-117042000.0,-77211000.0,-23848000.0,859100000.0,-64080000.0,141561000.0,167645000.0,426859000.0,,,-488000.0,-53836000.0,-176353000.0,-171799000.0,-117042000.0,-23848000.0,-64080000.0,167645000.0,,205819000.0,-176353000.0,-630210000.0,-23848000.0,141561000.0,,-488000.0,-176353000.0,-117042000.0,-64080000.0,,205819000.0,-171799000.0,859100000.0,,-171799000.0,205819000.0,,CommonMetricExtracted
Cash,,,228343000.0,222900000.0,167171000.0,88079000.0,46272000.0,180527000.0,568781000.0,875486000.0,397040000.0,408330000.0,598028000.0,493982000.0,437446000.0,649158000.0,587276000.0,724531000.0,755127000.0,942842000.0,,222900000.0,88079000.0,180527000.0,875486000.0,408330000.0,493982000.0,649158000.0,724531000.0,942842000.0,167171000.0,180527000.0,397040000.0,493982000.0,587276000.0,942842000.0,222900000.0,180527000.0,408330000.0,649158000.0,942842000.0,167171000.0,875486000.0,437446000.0,942842000.0,875486000.0,942842000.0,942842000.0,942842000.0,CommonMetricExtracted
CurrentReceivables,,,,,73540000.0,86576000.0,104839000.0,109066000.0,117822000.0,144472000.0,164959000.0,215280000.0,261365000.0,342633000.0,377404000.0,448351000.0,373399000.0,461316000.0,633704000.0,660535000.0,,,86576000.0,109066000.0,144472000.0,215280000.0,342633000.0,448351000.0,461316000.0,660535000.0,73540000.0,109066000.0,164959000.0,342633000.0,373399000.0,660535000.0,,109066000.0,215280000.0,448351000.0,660535000.0,73540000.0,144472000.0,377404000.0,660535000.0,144472000.0,660535000.0,660535000.0,660535000.0,CommonMetricExtracted
