,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,158575000.0,192803000.0,326429000.0,397550000.0,229161000.0,260115000.0,654086000.0,719188000.0,642851000.0,,,,,,,192803000.0,397550000.0,260115000.0,719188000.0,,,,158575000.0,397550000.0,654086000.0,,,,192803000.0,260115000.0,,,,229161000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,119895000.0,133412000.0,215734000.0,252627000.0,172308000.0,200635000.0,468639000.0,507136000.0,492282000.0,,,,,,,133412000.0,252627000.0,200635000.0,507136000.0,,,,119895000.0,252627000.0,468639000.0,,,,133412000.0,200635000.0,,,,172308000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,11135000.0,14809000.0,16954000.0,16196000.0,18104000.0,18745000.0,16626000.0,18589000.0,22761000.0,27475000.0,23863000.0,22507000.0,42230000.0,49101000.0,47255000.0,,,,14809000.0,16196000.0,18745000.0,18589000.0,27475000.0,22507000.0,49101000.0,,11135000.0,16196000.0,16626000.0,27475000.0,42230000.0,,,16196000.0,18589000.0,22507000.0,,11135000.0,18745000.0,23863000.0,,18745000.0,11135000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,199000.0,528000.0,-32000.0,-528000.0,-313000.0,-669000.0,633000.0,-1376000.0,-1202000.0,-169000.0,-233000.0,152000.0,-594000.0,-1782000.0,-1068000.0,,,,528000.0,-528000.0,-669000.0,-1376000.0,-169000.0,152000.0,-1782000.0,,199000.0,-528000.0,633000.0,-169000.0,-594000.0,,,-528000.0,-1376000.0,152000.0,,199000.0,-669000.0,-233000.0,,-669000.0,199000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,6187000.0,9516000.0,8664000.0,,,,,,,,,,9516000.0,,,,,,6187000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,1133000.0,4369000.0,5316000.0,3736000.0,3913000.0,-2118000.0,797000.0,3569000.0,4134000.0,22661000.0,-548000.0,-1544000.0,9376000.0,15120000.0,10970000.0,,,,4369000.0,3736000.0,-2118000.0,3569000.0,22661000.0,-1544000.0,15120000.0,,1133000.0,3736000.0,797000.0,22661000.0,9376000.0,,,3736000.0,3569000.0,-1544000.0,,1133000.0,-2118000.0,-548000.0,,-2118000.0,1133000.0,,CommonMetricExtracted
NetIncome,,,,,,-10000.0,-50000.0,-2000.0,92000.0,0.0,0.0,,,,0.0,0.0,-808000.0,1586000.0,8500000.0,-57508000.0,,,,-50000.0,92000.0,0.0,,0.0,-808000.0,8500000.0,,-10000.0,92000.0,,0.0,1586000.0,,,92000.0,,-808000.0,,-10000.0,0.0,0.0,,0.0,-10000.0,,CommonMetricExtracted
Cash,,,,,22411000.0,4572000.0,5318000.0,8218000.0,10617000.0,9131000.0,6291000.0,6419000.0,8983000.0,13375000.0,20353000.0,28187000.0,30810000.0,25144000.0,31040000.0,14289000.0,,,4572000.0,8218000.0,9131000.0,6419000.0,13375000.0,28187000.0,25144000.0,14289000.0,22411000.0,8218000.0,6291000.0,13375000.0,30810000.0,14289000.0,,8218000.0,6419000.0,28187000.0,14289000.0,22411000.0,9131000.0,20353000.0,14289000.0,9131000.0,14289000.0,14289000.0,14289000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,36368000.0,36981000.0,38715000.0,35973000.0,35798000.0,32959000.0,49468000.0,59709000.0,60855000.0,31366000.0,71932000.0,94415000.0,106205000.0,103361000.0,,,,36981000.0,35973000.0,32959000.0,59709000.0,31366000.0,94415000.0,103361000.0,,36981000.0,35798000.0,59709000.0,71932000.0,103361000.0,,36981000.0,32959000.0,31366000.0,103361000.0,,35973000.0,60855000.0,103361000.0,35973000.0,103361000.0,103361000.0,103361000.0,CommonMetricExtracted
