,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,1160645000.0,1081299000.0,1144698000.0,1302062000.0,1331863000.0,1341393000.0,,,,,,,,1160645000.0,1144698000.0,1331863000.0,,,,,1160645000.0,1302062000.0,,,,,1144698000.0,,,,1081299000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,555024000.0,585560000.0,581967000.0,552734000.0,583252000.0,670510000.0,674588000.0,653509000.0,,,,,,,555024000.0,581967000.0,583252000.0,674588000.0,,,,,581967000.0,670510000.0,,,,555024000.0,583252000.0,,,,552734000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,397180000.0,435906000.0,441815000.0,430310000.0,427858000.0,452164000.0,422704000.0,405096000.0,387653000.0,390342000.0,371082000.0,336059000.0,349768000.0,379992000.0,370697000.0,376722000.0,,,397180000.0,441815000.0,427858000.0,422704000.0,387653000.0,371082000.0,349768000.0,370697000.0,,435906000.0,427858000.0,405096000.0,371082000.0,379992000.0,,397180000.0,427858000.0,387653000.0,349768000.0,,435906000.0,422704000.0,336059000.0,,422704000.0,435906000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,34181000.0,42621000.0,43001000.0,38440000.0,33552000.0,35048000.0,36734000.0,35799000.0,39624000.0,45253000.0,45168000.0,40662000.0,44551000.0,58548000.0,61365000.0,67748000.0,,,34181000.0,43001000.0,33552000.0,36734000.0,39624000.0,45168000.0,44551000.0,61365000.0,,42621000.0,33552000.0,35799000.0,45168000.0,58548000.0,,34181000.0,33552000.0,39624000.0,44551000.0,,42621000.0,36734000.0,40662000.0,,36734000.0,42621000.0,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,191980000.0,225696000.0,247841000.0,,,,,,,,,,225696000.0,,,,,,191980000.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,24901000.0,21222000.0,22124000.0,19090000.0,16641000.0,14300000.0,11156000.0,7824000.0,5504000.0,3168000.0,2830000.0,2166000.0,437000.0,1276000.0,3539000.0,3126000.0,,,24901000.0,22124000.0,16641000.0,11156000.0,5504000.0,2830000.0,437000.0,3539000.0,,21222000.0,16641000.0,7824000.0,2830000.0,1276000.0,,24901000.0,16641000.0,5504000.0,437000.0,,21222000.0,11156000.0,2166000.0,,11156000.0,21222000.0,,CommonMetricExtracted
Taxes,,,,,27150000.0,27446000.0,35406000.0,40661000.0,42583000.0,-4963000.0,20093000.0,29235000.0,30987000.0,60955000.0,33386000.0,28321000.0,35610000.0,42001000.0,50839000.0,50626000.0,,,27150000.0,35406000.0,42583000.0,20093000.0,30987000.0,33386000.0,35610000.0,50839000.0,,27446000.0,42583000.0,29235000.0,33386000.0,42001000.0,,27150000.0,42583000.0,30987000.0,35610000.0,,27446000.0,20093000.0,28321000.0,,20093000.0,27446000.0,,CommonMetricExtracted
NetIncome,,,,,70122000.0,81956000.0,108652000.0,-17911000.0,-154535000.0,-45968000.0,2987000.0,80110000.0,95645000.0,91060000.0,131258000.0,112369000.0,129659000.0,149979000.0,174857000.0,197215000.0,,,70122000.0,108652000.0,-154535000.0,2987000.0,95645000.0,131258000.0,129659000.0,174857000.0,,81956000.0,-154535000.0,80110000.0,131258000.0,149979000.0,,70122000.0,-154535000.0,95645000.0,129659000.0,,81956000.0,2987000.0,112369000.0,,2987000.0,81956000.0,,CommonMetricExtracted
Cash,,,,258355000.0,188156000.0,314840000.0,389971000.0,305900000.0,91058000.0,81834000.0,114492000.0,141228000.0,133944000.0,181427000.0,279072000.0,217643000.0,147335000.0,114069000.0,151532000.0,250118000.0,,258355000.0,314840000.0,305900000.0,81834000.0,141228000.0,181427000.0,217643000.0,114069000.0,250118000.0,188156000.0,305900000.0,114492000.0,181427000.0,147335000.0,250118000.0,258355000.0,305900000.0,141228000.0,217643000.0,250118000.0,188156000.0,81834000.0,279072000.0,250118000.0,81834000.0,250118000.0,250118000.0,250118000.0,CommonMetricExtracted
CurrentReceivables,,,,,,221621000.0,228483000.0,199006000.0,169261000.0,177648000.0,157386000.0,147333000.0,149638000.0,161282000.0,158114000.0,146181000.0,170579000.0,183233000.0,184420000.0,185486000.0,,,221621000.0,199006000.0,177648000.0,147333000.0,161282000.0,146181000.0,183233000.0,185486000.0,,199006000.0,157386000.0,161282000.0,170579000.0,185486000.0,,199006000.0,147333000.0,146181000.0,185486000.0,,177648000.0,158114000.0,185486000.0,177648000.0,185486000.0,185486000.0,185486000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,35647000.0,40424000.0,37600000.0,41543000.0,32197000.0,19436000.0,17208000.0,15559000.0,16056000.0,9962000.0,11083000.0,10743000.0,11790000.0,11382000.0,,,,40424000.0,41543000.0,19436000.0,15559000.0,9962000.0,10743000.0,11382000.0,,40424000.0,32197000.0,15559000.0,11083000.0,11382000.0,,40424000.0,19436000.0,9962000.0,11382000.0,,41543000.0,16056000.0,11382000.0,41543000.0,11382000.0,11382000.0,11382000.0,CommonMetricExtracted
Inventory,,,,,,94672000.0,104186000.0,105524000.0,94707000.0,113275000.0,104507000.0,99427000.0,107024000.0,113071000.0,120037000.0,135662000.0,136107000.0,190023000.0,177078000.0,152729000.0,,,94672000.0,105524000.0,113275000.0,99427000.0,113071000.0,135662000.0,190023000.0,152729000.0,,105524000.0,104507000.0,113071000.0,136107000.0,152729000.0,,105524000.0,99427000.0,135662000.0,152729000.0,,113275000.0,120037000.0,152729000.0,113275000.0,152729000.0,152729000.0,152729000.0,CommonMetricExtracted
CurrentAssets,,,,,,668972000.0,758287000.0,650854000.0,512490000.0,463842000.0,408582000.0,407424000.0,407814000.0,471339000.0,573279000.0,509448000.0,465104000.0,498068000.0,524820000.0,599715000.0,,,668972000.0,650854000.0,463842000.0,407424000.0,471339000.0,509448000.0,498068000.0,599715000.0,,650854000.0,408582000.0,471339000.0,465104000.0,599715000.0,,650854000.0,407424000.0,509448000.0,599715000.0,,463842000.0,573279000.0,599715000.0,463842000.0,599715000.0,599715000.0,599715000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,145502000.0,139915000.0,130015000.0,122158000.0,134171000.0,111214000.0,102444000.0,98103000.0,97945000.0,110048000.0,115068000.0,121741000.0,139511000.0,142149000.0,195758000.0,,,145502000.0,130015000.0,134171000.0,102444000.0,97945000.0,115068000.0,139511000.0,195758000.0,,130015000.0,111214000.0,97945000.0,121741000.0,195758000.0,,130015000.0,102444000.0,115068000.0,195758000.0,,134171000.0,110048000.0,195758000.0,134171000.0,195758000.0,195758000.0,195758000.0,CommonMetricExtracted
Goodwill,,,,,751173000.0,768600000.0,800343000.0,676791000.0,617236000.0,515004000.0,433199000.0,429871000.0,437697000.0,419815000.0,410987000.0,416034000.0,614137000.0,586832000.0,592646000.0,589611000.0,,,768600000.0,676791000.0,515004000.0,429871000.0,419815000.0,416034000.0,586832000.0,589611000.0,751173000.0,676791000.0,433199000.0,419815000.0,614137000.0,589611000.0,,676791000.0,429871000.0,416034000.0,589611000.0,751173000.0,515004000.0,410987000.0,589611000.0,515004000.0,589611000.0,589611000.0,589611000.0,CommonMetricExtracted
IntangibleAssets,,,,,,103546000.0,89961000.0,84119000.0,156851000.0,91014000.0,68888000.0,59806000.0,53076000.0,42588000.0,36123000.0,22334000.0,92334000.0,74028000.0,62096000.0,51839000.0,,,103546000.0,84119000.0,91014000.0,59806000.0,42588000.0,22334000.0,74028000.0,51839000.0,,84119000.0,68888000.0,42588000.0,92334000.0,51839000.0,,84119000.0,59806000.0,22334000.0,51839000.0,,91014000.0,36123000.0,51839000.0,91014000.0,51839000.0,51839000.0,51839000.0,CommonMetricExtracted
TotalAssets,,,,,1583267000.0,1746531000.0,1861505000.0,1607719000.0,1438683000.0,1253665000.0,1062897000.0,1043964000.0,1050223000.0,1056931000.0,1157308000.0,1142466000.0,1377756000.0,1367332000.0,1389257000.0,1515569000.0,,,1746531000.0,1607719000.0,1253665000.0,1043964000.0,1056931000.0,1142466000.0,1367332000.0,1515569000.0,1583267000.0,1607719000.0,1062897000.0,1056931000.0,1377756000.0,1515569000.0,,1607719000.0,1043964000.0,1142466000.0,1515569000.0,1583267000.0,1253665000.0,1157308000.0,1515569000.0,1253665000.0,1515569000.0,1515569000.0,1515569000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,106840000.0,108801000.0,101003000.0,89575000.0,95992000.0,80596000.0,68381000.0,74190000.0,70423000.0,71367000.0,71199000.0,86067000.0,89410000.0,92437000.0,92115000.0,,,106840000.0,101003000.0,95992000.0,68381000.0,70423000.0,71199000.0,89410000.0,92115000.0,,101003000.0,80596000.0,70423000.0,86067000.0,92115000.0,,101003000.0,68381000.0,71199000.0,92115000.0,,95992000.0,71367000.0,92115000.0,95992000.0,92115000.0,92115000.0,92115000.0,CommonMetricExtracted
CurrentLiability,,,,,,411935000.0,426085000.0,362462000.0,402716000.0,365328000.0,277723000.0,252742000.0,289008000.0,303113000.0,354250000.0,292520000.0,416047000.0,408399000.0,410060000.0,423188000.0,,,411935000.0,362462000.0,365328000.0,252742000.0,303113000.0,292520000.0,408399000.0,423188000.0,,362462000.0,277723000.0,303113000.0,416047000.0,423188000.0,,362462000.0,252742000.0,292520000.0,423188000.0,,365328000.0,354250000.0,423188000.0,365328000.0,423188000.0,423188000.0,423188000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,64776000.0,71518000.0,76404000.0,83239000.0,69348000.0,65443000.0,61657000.0,58349000.0,61274000.0,64589000.0,93506000.0,119144000.0,105860000.0,90586000.0,93294000.0,,,64776000.0,76404000.0,69348000.0,61657000.0,61274000.0,93506000.0,105860000.0,93294000.0,,76404000.0,65443000.0,61274000.0,119144000.0,93294000.0,,76404000.0,61657000.0,93506000.0,93294000.0,,69348000.0,64589000.0,93294000.0,69348000.0,93294000.0,93294000.0,93294000.0,CommonMetricExtracted
TotalLiability,,,,,,741504000.0,705313000.0,598366000.0,607886000.0,520589000.0,475209000.0,440366000.0,350083000.0,304819000.0,306534000.0,279394000.0,414728000.0,456034000.0,398338000.0,448911000.0,,,741504000.0,598366000.0,520589000.0,440366000.0,304819000.0,279394000.0,456034000.0,448911000.0,,598366000.0,475209000.0,304819000.0,414728000.0,448911000.0,,598366000.0,440366000.0,279394000.0,448911000.0,,520589000.0,306534000.0,448911000.0,520589000.0,448911000.0,448911000.0,448911000.0,CommonMetricExtracted
ShareholderEquity,,,,,,1005027000.0,1156192000.0,1009353000.0,830797000.0,733076000.0,587688000.0,603598000.0,700140000.0,752112000.0,850774000.0,863072000.0,963028000.0,911298000.0,990919000.0,1066658000.0,,,1005027000.0,1009353000.0,733076000.0,603598000.0,752112000.0,863072000.0,911298000.0,1066658000.0,,1009353000.0,587688000.0,752112000.0,963028000.0,1066658000.0,,1009353000.0,603598000.0,863072000.0,1066658000.0,,733076000.0,850774000.0,1066658000.0,733076000.0,1066658000.0,1066658000.0,1066658000.0,CommonMetricExtracted
OperatingCashFlow,,,,,126645000.0,165238000.0,167350000.0,144705000.0,143503000.0,93420000.0,93348000.0,138976000.0,144032000.0,143042000.0,162211000.0,140977000.0,205665000.0,118449000.0,209149000.0,255074000.0,,,126645000.0,167350000.0,143503000.0,93348000.0,144032000.0,162211000.0,205665000.0,209149000.0,,165238000.0,143503000.0,138976000.0,162211000.0,118449000.0,,126645000.0,143503000.0,144032000.0,205665000.0,,165238000.0,93348000.0,140977000.0,,93348000.0,165238000.0,,CommonMetricExtracted
