,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,96364000.0,150191000.0,238035000.0,355426000.0,471800000.0,,,,,,,,,150191000.0,355426000.0,,,,,,238035000.0,,,,,150191000.0,,,,96364000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,35686000.0,54511000.0,78511000.0,115818000.0,147527000.0,,,,,,,,,54511000.0,115818000.0,,,,,,78511000.0,,,,,54511000.0,,,,35686000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,57348000.0,70661000.0,127137000.0,201684000.0,247125000.0,,,,,,,,,70661000.0,201684000.0,,,,,,127137000.0,,,,,70661000.0,,,,57348000.0,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,20339000.0,29212000.0,59034000.0,97293000.0,119863000.0,,,,,,,,,29212000.0,97293000.0,,,,,,59034000.0,,,,,29212000.0,,,,20339000.0,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,48000.0,720000.0,-121000.0,7977000.0,16220000.0,,,,,,,,,720000.0,7977000.0,,,,,,-121000.0,,,,,720000.0,,,,48000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,452000.0,537000.0,-165000.0,583000.0,1957000.0,,,,,,,,,537000.0,583000.0,,,,,,-165000.0,,,,,537000.0,,,,452000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,0.0,-217000.0,-1448000.0,-1780000.0,-1263000.0,,,,,,,,,-217000.0,-1780000.0,,,,,,-1448000.0,,,,,-217000.0,,,,0.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,28509000.0,478937000.0,68587000.0,68228000.0,,,,,,,,,478937000.0,68228000.0,,,,,28509000.0,68228000.0,,,,,68228000.0,,,,68228000.0,,68228000.0,68228000.0,68228000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,34771000.0,64504000.0,78338000.0,92256000.0,,,,,,,,,64504000.0,92256000.0,,,,,34771000.0,92256000.0,,,,,92256000.0,,,,92256000.0,,92256000.0,92256000.0,92256000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,12202000.0,29588000.0,26163000.0,29366000.0,,,,,,,,,29588000.0,29366000.0,,,,,12202000.0,29366000.0,,,,,29366000.0,,,,29366000.0,,29366000.0,29366000.0,29366000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,133958000.0,608185000.0,583171000.0,601121000.0,,,,,,,,,608185000.0,601121000.0,,,,,133958000.0,601121000.0,,,,,601121000.0,,,,601121000.0,,601121000.0,601121000.0,601121000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,5486000.0,7393000.0,20339000.0,29358000.0,,,,,,,,,7393000.0,29358000.0,,,,,5486000.0,29358000.0,,,,,29358000.0,,,,29358000.0,,29358000.0,29358000.0,29358000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,0.0,28448000.0,,,,,,,,,,28448000.0,,,,,,28448000.0,,,,,28448000.0,,,,28448000.0,,28448000.0,28448000.0,28448000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,500000.0,3690000.0,,,,,,,,,,3690000.0,,,,,,3690000.0,,,,,3690000.0,,,,3690000.0,,3690000.0,3690000.0,3690000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,171394000.0,666262000.0,705406000.0,810941000.0,,,,,,,,,666262000.0,810941000.0,,,,,171394000.0,810941000.0,,,,,810941000.0,,,,810941000.0,,810941000.0,810941000.0,810941000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,35156000.0,410083000.0,407898000.0,,,,,,,,,35156000.0,407898000.0,,,,,,407898000.0,,,,,407898000.0,,,,407898000.0,,407898000.0,407898000.0,407898000.0,CommonMetricExtracted
