,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,21986303.0,23142116.0,,,30346474.0,37279845.0,41749745.0,,,,,,,,23142116.0,,37279845.0,,,,,23142116.0,30346474.0,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,22306375.0,31198535.0,,,,,,,,,,22306375.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,1863592.0,1830199.0,,,3516832.0,4070144.0,6888462.0,,,,,,,,1830199.0,,4070144.0,,,,,1830199.0,3516832.0,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,4136677.0,2427912.0,2068225.0,7520075.0,6876861.0,642535.0,-2170420.0,,,,,,,,2427912.0,7520075.0,642535.0,,,,,2427912.0,6876861.0,,,,,7520075.0,,,,2068225.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,16840917.0,,52232208.0,,,,,,,,,16840917.0,52232208.0,,,,,,52232208.0,,,,,52232208.0,,,,52232208.0,,52232208.0,52232208.0,52232208.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,722992413.0,718868762.0,715948799.0,,,,,,,,,722992413.0,715948799.0,,,,,,715948799.0,,,,,715948799.0,,,,715948799.0,,715948799.0,715948799.0,715948799.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,7884335.0,,4727302.0,,,,,,,,,7884335.0,4727302.0,,,,,,4727302.0,,,,,4727302.0,,,,4727302.0,,4727302.0,4727302.0,4727302.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,951099003.0,,971489884.0,,,,,,,,,951099003.0,971489884.0,,,,,,971489884.0,,,,,971489884.0,,,,971489884.0,,971489884.0,971489884.0,971489884.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
