,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,297297000.0,402757000.0,594737000.0,492776000.0,296640000.0,505734000.0,784284000.0,501099000.0,439429000.0,,,,,,,402757000.0,492776000.0,505734000.0,501099000.0,,,,297297000.0,492776000.0,784284000.0,,,,402757000.0,505734000.0,,,,296640000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,181709000.0,-95855000.0,27469000.0,172084000.0,318381000.0,235172000.0,132109000.0,187325000.0,482498000.0,423596000.0,273106000.0,,,,,,-95855000.0,172084000.0,235172000.0,187325000.0,423596000.0,,,,27469000.0,235172000.0,482498000.0,,,,172084000.0,187325000.0,,,-95855000.0,132109000.0,,-95855000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,6286000.0,2754000.0,3109000.0,,,,,,,,,,2754000.0,,,,,,6286000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,49575000.0,35767000.0,35464000.0,47474000.0,64364000.0,60533000.0,43473000.0,49809000.0,66233000.0,56979000.0,49577000.0,,,,,,35767000.0,47474000.0,60533000.0,49809000.0,56979000.0,,,,35464000.0,60533000.0,66233000.0,,,,47474000.0,49809000.0,,,35767000.0,43473000.0,,35767000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,181987000.0,476480000.0,422549000.0,271326000.0,,,,,,,,,181987000.0,422549000.0,,,,,,476480000.0,,,,,181987000.0,,,,,,,,,CommonMetricExtracted
Cash,,,,,,,,,30123000.0,14803000.0,,,,,,,8876000.0,4307000.0,70282000.0,2519000.0,,,,,14803000.0,,,,4307000.0,2519000.0,,,,,8876000.0,2519000.0,,,,,2519000.0,,14803000.0,,2519000.0,14803000.0,2519000.0,2519000.0,2519000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,97142000.0,135697000.0,82253000.0,71093000.0,,,,,,,,,135697000.0,71093000.0,,,,,97142000.0,71093000.0,,,,,71093000.0,,,,71093000.0,,71093000.0,71093000.0,71093000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,6611000.0,9454000.0,8255000.0,6321000.0,,,,,,,,,9454000.0,6321000.0,,,,,6611000.0,6321000.0,,,,,6321000.0,,,,6321000.0,,6321000.0,6321000.0,6321000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,107974000.0,173381000.0,193127000.0,78544000.0,,,,,,,,,173381000.0,78544000.0,,,,,107974000.0,78544000.0,,,,,78544000.0,,,,78544000.0,,78544000.0,78544000.0,78544000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,1133336000.0,1088247000.0,1065502000.0,1134041000.0,,,,,,,,,1088247000.0,1134041000.0,,,,,1133336000.0,1134041000.0,,,,,1134041000.0,,,,1134041000.0,,1134041000.0,1134041000.0,1134041000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,1274291000.0,1045843000.0,1199722000.0,1635978000.0,1711887000.0,1522567000.0,1247921000.0,1271082000.0,1266884000.0,1218906000.0,,,,,,1045843000.0,1635978000.0,1522567000.0,1271082000.0,1218906000.0,,,1274291000.0,1635978000.0,1247921000.0,1218906000.0,,,1045843000.0,1522567000.0,1218906000.0,,,1711887000.0,1218906000.0,,1218906000.0,1218906000.0,1218906000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,23533000.0,26502000.0,23273000.0,23188000.0,,,,,,,,,26502000.0,23188000.0,,,,,23533000.0,23188000.0,,,,,23188000.0,,,,23188000.0,,23188000.0,23188000.0,23188000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,148336000.0,54695000.0,45402000.0,54900000.0,,,,,,,,,54695000.0,54900000.0,,,,,148336000.0,54900000.0,,,,,54900000.0,,,,54900000.0,,54900000.0,54900000.0,54900000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,,,,,,,,,,2839000.0,1900000.0,1780000.0,12815000.0,,,,,,,,,1900000.0,12815000.0,,,,,2839000.0,12815000.0,,,,,12815000.0,,,,12815000.0,,12815000.0,12815000.0,12815000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,184292000.0,61270000.0,49539000.0,89467000.0,,,,,,,,,61270000.0,89467000.0,,,,,184292000.0,89467000.0,,,,,89467000.0,,,,89467000.0,,89467000.0,89467000.0,89467000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,396125000.0,284735000.0,196656000.0,281852000.0,385378000.0,412720000.0,281809000.0,256880000.0,424983000.0,521251000.0,389043000.0,,,,,,284735000.0,281852000.0,412720000.0,256880000.0,521251000.0,,,,196656000.0,412720000.0,424983000.0,,,,281852000.0,256880000.0,,,284735000.0,281809000.0,,284735000.0,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,45552000.0,62278000.0,141136000.0,425667000.0,124081000.0,43051000.0,28000.0,10043000.0,149000.0,14605000.0,109393000.0,,,,,,62278000.0,425667000.0,43051000.0,10043000.0,14605000.0,,,,141136000.0,43051000.0,149000.0,,,,425667000.0,10043000.0,,,62278000.0,28000.0,,62278000.0,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,-101110000.0,-90998000.0,-221542000.0,-454249000.0,-163804000.0,-48623000.0,151246000.0,-14317000.0,-1215000.0,-19740000.0,-112236000.0,,,,,,-90998000.0,-454249000.0,-48623000.0,-14317000.0,-19740000.0,,,,-221542000.0,-48623000.0,-1215000.0,,,,-454249000.0,-14317000.0,,,-90998000.0,151246000.0,,-90998000.0,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,-310335000.0,-195307000.0,21425000.0,168267000.0,-221802000.0,-361392000.0,-439378000.0,-235483000.0,-428337000.0,-435536000.0,-344570000.0,,,,,,-195307000.0,168267000.0,-361392000.0,-235483000.0,-435536000.0,,,,21425000.0,-361392000.0,-428337000.0,,,,168267000.0,-235483000.0,,,-195307000.0,-439378000.0,,-195307000.0,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,0.09239581966854694,0.4272650754673413,0.5353307428325461,0.47723915125736643,0.4453512675296656,0.37040222725780747,0.6152082663932963,0.8453339559647894,0.6215019946339454,,,,,,,0.4272650754673413,0.47723915125736643,0.37040222725780747,0.8453339559647894,,,,0.09239581966854694,0.47723915125736643,0.6152082663932963,,,,0.4272650754673413,0.37040222725780747,,,,0.4453512675296656,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,0.013028033276821872,0.006501477823208907,0.011383858282132212,,,,,,,,,,0.006501477823208907,,,,,,0.013028033276821872,,,,,,,,,,,,,,CommonMetricCalculated
TaxesPercentOfOperatingMargin,,,,,,,,,,0.2728263322124936,-0.373136508267696,1.291055371509702,0.27587689732921133,0.20216030479205732,0.25739883999795893,0.3290691777244548,0.2658961697584412,0.13727103532035365,0.13451260162985487,0.18153024832848785,,,,,,-0.373136508267696,0.27587689732921133,0.25739883999795893,0.2658961697584412,0.13451260162985487,,,,1.291055371509702,0.25739883999795893,0.13727103532035365,,,,0.27587689732921133,0.2658961697584412,,,-0.373136508267696,0.3290691777244548,,-0.373136508267696,,,CommonMetricCalculated
NetIncomePercentOfRevenue,,,,,,,,,,,,,,,,,0.3598472714905464,0.6075350255774694,0.8432445484824356,0.6174512833700098,,,,,,,,,0.3598472714905464,0.8432445484824356,,,,,,0.6075350255774694,,,,,0.3598472714905464,,,,,,,,,CommonMetricCalculated
CashPercentOfCurrentAssets,,,,,,,,,,,,,,,,,0.0822049752718247,0.024841245580542275,0.3639159723912244,0.032071195762884495,,,,,,,,,0.024841245580542275,0.032071195762884495,,,,,0.0822049752718247,0.032071195762884495,,,,,0.032071195762884495,,,,0.032071195762884495,,0.032071195762884495,0.032071195762884495,0.032071195762884495,CommonMetricCalculated
ReceivablesCurrentPercentOfCurrentAssets,,,,,,,,,,,,,,,,,0.8996795524848574,0.7826520783707558,0.42590109099193796,0.905135974740273,,,,,,,,,0.7826520783707558,0.905135974740273,,,,,0.8996795524848574,0.905135974740273,,,,,0.905135974740273,,,,0.905135974740273,,0.905135974740273,0.905135974740273,0.905135974740273,CommonMetricCalculated
PrepaidExpensesPercentOfCurrentAssets,,,,,,,,,,,,,,,,,0.061227702965528735,0.05452731268132033,0.04274389391436723,0.08047718476268079,,,,,,,,,0.05452731268132033,0.08047718476268079,,,,,0.061227702965528735,0.08047718476268079,,,,,0.08047718476268079,,,,0.08047718476268079,,0.08047718476268079,0.08047718476268079,0.08047718476268079,CommonMetricCalculated
InventoryPercentOfCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
CurrentAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,0.08652310522861624,0.1364042603073602,0.1524425282819895,0.06443811089616426,,,,,,,,,0.1364042603073602,0.06443811089616426,,,,,0.08652310522861624,0.06443811089616426,,,,,0.06443811089616426,,,,0.06443811089616426,,0.06443811089616426,0.06443811089616426,0.06443811089616426,CommonMetricCalculated
PropertyPlantEquipmentPercentOfTotaltAssets,,,,,,,,,,,,,,,,,0.9081792837847908,0.8561579819397962,0.8410414844610872,0.930376091347487,,,,,,,,,0.8561579819397962,0.930376091347487,,,,,0.9081792837847908,0.930376091347487,,,,,0.930376091347487,,,,0.930376091347487,,0.930376091347487,0.930376091347487,0.930376091347487,CommonMetricCalculated
GoodwillPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
IntangibleAssetsPercentOfTotaltAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
ShorttermDebtPercentOfCurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
PayablesAndAccruedExpensesPercentOfCurrentLiability,,,,,,,,,,,,,,,,,0.1586465861287887,0.4845415485876223,0.5125985639399145,0.422367941712204,,,,,,,,,0.4845415485876223,0.422367941712204,,,,,0.1586465861287887,0.422367941712204,,,,,0.422367941712204,,,,0.422367941712204,,0.422367941712204,0.422367941712204,0.422367941712204,CommonMetricCalculated
CurrentLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,0.8048965771710113,0.8926881018442957,0.9164900381517592,0.6136340773693093,,,,,,,,,0.8926881018442957,0.6136340773693093,,,,,0.8048965771710113,0.6136340773693093,,,,,0.6136340773693093,,,,0.6136340773693093,,0.6136340773693093,0.6136340773693093,0.6136340773693093,CommonMetricCalculated
LongtermDebtPercentOfTotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
LongtermLiabilityPercentOfTotalLiability,,,,,,,,,,,,,,,,,0.015404900918108219,0.03101028235678146,0.035931286461172,0.14323717124749907,,,,,,,,,0.03101028235678146,0.14323717124749907,,,,,0.015404900918108219,0.14323717124749907,,,,,0.14323717124749907,,,,0.14323717124749907,,0.14323717124749907,0.14323717124749907,0.14323717124749907,CommonMetricCalculated
TotalLiabilitiesPercentOfTotalAssets,,,,,,,,,,,,,,,,,0.002274983752977953,0.001494789478570226,0.0014050220856842459,0.010513526063535662,,,,,,,,,0.001494789478570226,0.010513526063535662,,,,,0.002274983752977953,0.010513526063535662,,,,,0.010513526063535662,,,,0.010513526063535662,,0.010513526063535662,0.010513526063535662,0.010513526063535662,CommonMetricCalculated
EquityPercentOfTotalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
NetCashFlow,,,,,,,,,,-15320000.0,-1570000.0,-3461000.0,-4130000.0,-228000.0,2705000.0,-6323000.0,7080000.0,-4569000.0,65975000.0,-67763000.0,,,,,,-1570000.0,-4130000.0,2705000.0,7080000.0,65975000.0,,,,-3461000.0,2705000.0,-4569000.0,,,,-4130000.0,7080000.0,,,-1570000.0,-6323000.0,,-1570000.0,,,CommonMetricCalculated
