,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,8386000000.0,9048000000.0,9823000000.0,10735000000.0,9913000000.0,11888000000.0,12682000000.0,14240000000.0,16747000000.0,,,,,,,9048000000.0,10735000000.0,11888000000.0,14240000000.0,,,,8386000000.0,10735000000.0,12682000000.0,,,,9048000000.0,11888000000.0,,,,9913000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,2469000000.0,2576000000.0,2599000000.0,,,,2210000000.0,2173000000.0,2424000000.0,2593000000.0,2813000000.0,3116000000.0,3465000000.0,3711000000.0,3956000000.0,4345000000.0,5257000000.0,,,2576000000.0,,,2173000000.0,2593000000.0,3116000000.0,3711000000.0,4345000000.0,,2599000000.0,,2424000000.0,3116000000.0,3956000000.0,,2576000000.0,,2593000000.0,3711000000.0,,2599000000.0,2173000000.0,3465000000.0,,2173000000.0,2599000000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,2589000000.0,2635000000.0,2580000000.0,,,,2902000000.0,2873000000.0,3099000000.0,3294000000.0,3569000000.0,3941000000.0,3787000000.0,4359000000.0,4520000000.0,5190000000.0,5984000000.0,,,2635000000.0,,,2873000000.0,3294000000.0,3941000000.0,4359000000.0,5190000000.0,,2580000000.0,,3099000000.0,3941000000.0,4520000000.0,,2635000000.0,,3294000000.0,4359000000.0,,2580000000.0,2873000000.0,3787000000.0,,2873000000.0,2580000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,1006000000.0,1035000000.0,939000000.0,,,,817000000.0,876000000.0,920000000.0,997000000.0,1113000000.0,1174000000.0,1143000000.0,1204000000.0,1323000000.0,1414000000.0,1615000000.0,,,1035000000.0,,,876000000.0,997000000.0,1174000000.0,1204000000.0,1414000000.0,,939000000.0,,920000000.0,1174000000.0,1323000000.0,,1035000000.0,,997000000.0,1204000000.0,,939000000.0,876000000.0,1143000000.0,,876000000.0,939000000.0,,CommonMetricExtracted
OperatingMargin,,,,-1505000000.0,-894000000.0,-656000000.0,,,,-301000000.0,-283000000.0,447000000.0,1285000000.0,1506000000.0,1518000000.0,-80000000.0,1199000000.0,1649000000.0,2343000000.0,2603000000.0,,,-894000000.0,,,-283000000.0,1285000000.0,1518000000.0,1199000000.0,2343000000.0,,-656000000.0,,447000000.0,1518000000.0,1649000000.0,,-894000000.0,,1285000000.0,1199000000.0,,-656000000.0,-283000000.0,-80000000.0,,-283000000.0,-656000000.0,,CommonMetricExtracted
Interest,,,,468000000.0,407000000.0,393000000.0,,,,216000000.0,284000000.0,233000000.0,229000000.0,241000000.0,473000000.0,361000000.0,341000000.0,470000000.0,265000000.0,305000000.0,,,407000000.0,,,284000000.0,229000000.0,473000000.0,341000000.0,265000000.0,,393000000.0,,233000000.0,473000000.0,470000000.0,,407000000.0,,229000000.0,341000000.0,,393000000.0,284000000.0,361000000.0,,284000000.0,393000000.0,,CommonMetricExtracted
Taxes,,,,5000000.0,-283000000.0,2000000.0,,,,-390000000.0,-411000000.0,-170000000.0,828000000.0,-249000000.0,-4013000000.0,2000000.0,36000000.0,443000000.0,393000000.0,436000000.0,,,-283000000.0,,,-411000000.0,828000000.0,-4013000000.0,36000000.0,393000000.0,,2000000.0,,-170000000.0,-4013000000.0,443000000.0,,-283000000.0,,828000000.0,36000000.0,,2000000.0,-411000000.0,2000000.0,,-411000000.0,2000000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,1671000000.0,4700000000.0,-115000000.0,985000000.0,642000000.0,1570000000.0,1853000000.0,,,,,,,,4700000000.0,985000000.0,1570000000.0,,,,,4700000000.0,642000000.0,,,,,985000000.0,,,,-115000000.0,,,,,CommonMetricExtracted
Cash,,,1452000000.0,1641000000.0,864000000.0,213000000.0,267000000.0,207000000.0,217000000.0,587000000.0,319000000.0,196000000.0,188000000.0,146000000.0,217000000.0,1734000000.0,1925000000.0,928000000.0,865000000.0,414000000.0,,1641000000.0,213000000.0,207000000.0,587000000.0,196000000.0,146000000.0,1734000000.0,928000000.0,414000000.0,864000000.0,207000000.0,319000000.0,146000000.0,1925000000.0,414000000.0,1641000000.0,207000000.0,196000000.0,1734000000.0,414000000.0,864000000.0,587000000.0,217000000.0,414000000.0,587000000.0,414000000.0,414000000.0,414000000.0,CommonMetricExtracted
CurrentReceivables,,,,,1375000000.0,1320000000.0,1246000000.0,1217000000.0,1307000000.0,1183000000.0,1275000000.0,1472000000.0,1548000000.0,1608000000.0,1828000000.0,1531000000.0,1778000000.0,1970000000.0,2228000000.0,2558000000.0,,,1320000000.0,1217000000.0,1183000000.0,1472000000.0,1608000000.0,1531000000.0,1970000000.0,2558000000.0,1375000000.0,1217000000.0,1275000000.0,1608000000.0,1778000000.0,2558000000.0,,1217000000.0,1472000000.0,1531000000.0,2558000000.0,1375000000.0,1183000000.0,1828000000.0,2558000000.0,1183000000.0,2558000000.0,2558000000.0,2558000000.0,CommonMetricExtracted
