,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,61480000.0,73473000.0,75182000.0,78376000.0,,,,,,,,,61480000.0,75182000.0,,,,,,73473000.0,,,,,61480000.0,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,2769000.0,15516000.0,6527000.0,16756000.0,,,,,,,,,2769000.0,6527000.0,,,,,,15516000.0,,,,,2769000.0,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,2743000.0,2447000.0,,,,,,,,,,2743000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,1171000.0,764000.0,-680000.0,66000.0,0.0,0.0,589000.0,,,,536000.0,3102000.0,1714000.0,4690000.0,,,,1171000.0,-680000.0,0.0,589000.0,,536000.0,1714000.0,,,-680000.0,0.0,,3102000.0,,,-680000.0,589000.0,536000.0,,,0.0,,,0.0,,,CommonMetricExtracted
NetIncome,,,,,,2890000.0,1259000.0,1900000.0,-148000.0,112000.0,829000.0,815000.0,2314000.0,,,,2458000.0,12240000.0,4516000.0,12512000.0,,,,1259000.0,-148000.0,829000.0,2314000.0,,2458000.0,4516000.0,,2890000.0,-148000.0,815000.0,,12240000.0,,,-148000.0,2314000.0,2458000.0,,2890000.0,829000.0,,,829000.0,2890000.0,,CommonMetricExtracted
Cash,,,,,1977000.0,8706000.0,8475000.0,7431000.0,5148000.0,6261000.0,6195000.0,7381000.0,6389000.0,7353000.0,9014000.0,16793000.0,22022000.0,12487000.0,21997000.0,17792000.0,,,8706000.0,7431000.0,6261000.0,7381000.0,7353000.0,16793000.0,12487000.0,17792000.0,1977000.0,7431000.0,6195000.0,7353000.0,22022000.0,17792000.0,,7431000.0,7381000.0,16793000.0,17792000.0,1977000.0,6261000.0,9014000.0,17792000.0,6261000.0,17792000.0,17792000.0,17792000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,2128000.0,3589000.0,2697000.0,3109000.0,1724000.0,1574000.0,4095000.0,3107000.0,3265000.0,2784000.0,1961000.0,3636000.0,3793000.0,5776000.0,,,,3589000.0,3109000.0,1574000.0,3107000.0,2784000.0,3636000.0,5776000.0,,3589000.0,1724000.0,3107000.0,1961000.0,5776000.0,,3589000.0,1574000.0,2784000.0,5776000.0,,3109000.0,3265000.0,5776000.0,3109000.0,5776000.0,5776000.0,5776000.0,CommonMetricExtracted
