,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,1550573000.0,1687738000.0,1799889000.0,1894920000.0,2123516000.0,2124074000.0,2232834000.0,2496309000.0,2703654000.0,,,,,,,1687738000.0,1894920000.0,2124074000.0,2496309000.0,,,,1550573000.0,1894920000.0,2232834000.0,,,,1687738000.0,2124074000.0,,,,2123516000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,2032347000.0,2384154000.0,2461205000.0,2301648000.0,2409376000.0,1027437000.0,1086339000.0,1191983000.0,1295876000.0,1361056000.0,1548119000.0,1573797000.0,1680899000.0,1875716000.0,2048447000.0,,,,2384154000.0,2301648000.0,1027437000.0,1191983000.0,1361056000.0,1573797000.0,1875716000.0,,2032347000.0,2301648000.0,1086339000.0,1361056000.0,1680899000.0,,,2301648000.0,1191983000.0,1573797000.0,,2032347000.0,1027437000.0,1548119000.0,,1027437000.0,2032347000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,412486000.0,447561000.0,428293000.0,379382000.0,442615000.0,207761000.0,216486000.0,214607000.0,214092000.0,216771000.0,231169000.0,230400000.0,234282000.0,279694000.0,318663000.0,,,,447561000.0,379382000.0,207761000.0,214607000.0,216771000.0,230400000.0,279694000.0,,412486000.0,379382000.0,216486000.0,216771000.0,234282000.0,,,379382000.0,214607000.0,230400000.0,,412486000.0,207761000.0,231169000.0,,207761000.0,412486000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,69167000.0,106396000.0,120562000.0,79226000.0,73234000.0,10537000.0,6407000.0,7190000.0,15223000.0,17672000.0,14189000.0,11059000.0,9535000.0,7613000.0,7478000.0,,,,106396000.0,79226000.0,10537000.0,7190000.0,17672000.0,11059000.0,7613000.0,,69167000.0,79226000.0,6407000.0,17672000.0,9535000.0,,,79226000.0,7190000.0,11059000.0,,69167000.0,10537000.0,14189000.0,,10537000.0,69167000.0,,CommonMetricExtracted
OperatingMargin,,,,,,248855000.0,95671000.0,346589000.0,536362000.0,25125000.0,205941000.0,239263000.0,308885000.0,304977000.0,325521000.0,358552000.0,345848000.0,348571000.0,383059000.0,380607000.0,,,,95671000.0,536362000.0,205941000.0,308885000.0,325521000.0,345848000.0,383059000.0,,248855000.0,536362000.0,239263000.0,325521000.0,348571000.0,,,536362000.0,308885000.0,345848000.0,,248855000.0,205941000.0,358552000.0,,205941000.0,248855000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,36410000.0,47036000.0,39475000.0,,,,,,,,,,47036000.0,,,,,,36410000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,80005000.0,23880000.0,101861000.0,184583000.0,1691000.0,80416000.0,73656000.0,147415000.0,52840000.0,69065000.0,82976000.0,89425000.0,75757000.0,75079000.0,66422000.0,,,,23880000.0,184583000.0,80416000.0,147415000.0,69065000.0,89425000.0,75079000.0,,80005000.0,184583000.0,73656000.0,69065000.0,75757000.0,,,184583000.0,147415000.0,89425000.0,,80005000.0,80416000.0,82976000.0,,80416000.0,80005000.0,,CommonMetricExtracted
NetIncome,,,,,,140203000.0,70618000.0,217557000.0,332590000.0,21457000.0,131446000.0,183612000.0,148365000.0,227305000.0,244677000.0,279196000.0,306288000.0,238620000.0,246321000.0,282298000.0,,,,70618000.0,332590000.0,131446000.0,148365000.0,244677000.0,306288000.0,246321000.0,,140203000.0,332590000.0,183612000.0,244677000.0,238620000.0,,,332590000.0,148365000.0,306288000.0,,140203000.0,131446000.0,279196000.0,,131446000.0,140203000.0,,CommonMetricExtracted
Cash,,,,,469468000.0,391142000.0,415209000.0,383547000.0,346116000.0,312969000.0,154729000.0,125641000.0,203404000.0,29871000.0,86540000.0,42610000.0,33891000.0,35244000.0,75766000.0,74109000.0,,,391142000.0,383547000.0,312969000.0,125641000.0,29871000.0,42610000.0,35244000.0,74109000.0,469468000.0,383547000.0,154729000.0,29871000.0,33891000.0,74109000.0,,383547000.0,125641000.0,42610000.0,74109000.0,469468000.0,312969000.0,86540000.0,74109000.0,312969000.0,74109000.0,74109000.0,74109000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,305832000.0,364960000.0,360323000.0,430600000.0,153326000.0,135950000.0,189217000.0,129459000.0,103391000.0,208540000.0,122170000.0,136242000.0,141700000.0,185978000.0,,,,364960000.0,430600000.0,135950000.0,129459000.0,208540000.0,136242000.0,185978000.0,,364960000.0,153326000.0,129459000.0,122170000.0,185978000.0,,364960000.0,135950000.0,208540000.0,185978000.0,,430600000.0,103391000.0,185978000.0,430600000.0,185978000.0,185978000.0,185978000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,1487076000.0,1521086000.0,1437424000.0,1473802000.0,647294000.0,693571000.0,873090000.0,542448000.0,629755000.0,773598000.0,773732000.0,771619000.0,817801000.0,929997000.0,,,,1521086000.0,1473802000.0,693571000.0,542448000.0,773598000.0,771619000.0,929997000.0,,1521086000.0,647294000.0,542448000.0,773732000.0,929997000.0,,1521086000.0,693571000.0,773598000.0,929997000.0,,1473802000.0,629755000.0,929997000.0,1473802000.0,929997000.0,929997000.0,929997000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,418312000.0,422291000.0,447021000.0,447079000.0,436635000.0,268844000.0,299686000.0,348629000.0,439239000.0,580241000.0,816471000.0,1045640000.0,1134897000.0,1228520000.0,1278161000.0,,,418312000.0,447021000.0,436635000.0,299686000.0,439239000.0,816471000.0,1134897000.0,1278161000.0,,447021000.0,268844000.0,439239000.0,1045640000.0,1278161000.0,,447021000.0,299686000.0,816471000.0,1278161000.0,,436635000.0,580241000.0,1278161000.0,436635000.0,1278161000.0,1278161000.0,1278161000.0,CommonMetricExtracted
Goodwill,,,,,,269424000.0,276180000.0,280780000.0,281708000.0,379192000.0,168434000.0,210788000.0,218331000.0,274082000.0,275502000.0,283708000.0,285502000.0,293165000.0,297020000.0,287362000.0,,,269424000.0,280780000.0,379192000.0,210788000.0,274082000.0,283708000.0,293165000.0,287362000.0,,280780000.0,168434000.0,274082000.0,285502000.0,287362000.0,,280780000.0,210788000.0,283708000.0,287362000.0,,379192000.0,275502000.0,287362000.0,379192000.0,287362000.0,287362000.0,287362000.0,CommonMetricExtracted
IntangibleAssets,,,,,,105604000.0,103041000.0,87686000.0,81521000.0,110873000.0,58328000.0,114748000.0,110405000.0,228676000.0,191392000.0,192751000.0,185551000.0,193612000.0,185510000.0,165325000.0,,,105604000.0,87686000.0,110873000.0,114748000.0,228676000.0,192751000.0,193612000.0,165325000.0,,87686000.0,58328000.0,228676000.0,185551000.0,165325000.0,,87686000.0,114748000.0,192751000.0,165325000.0,,110873000.0,191392000.0,165325000.0,110873000.0,165325000.0,165325000.0,165325000.0,CommonMetricExtracted
TotalAssets,,,,,,2500510000.0,2789111000.0,2840355000.0,2609153000.0,2856936000.0,1382139000.0,1579815000.0,1712339000.0,1655096000.0,1908913000.0,2293503000.0,2501380000.0,2618939000.0,2747065000.0,2869924000.0,,,2500510000.0,2840355000.0,2856936000.0,1579815000.0,1655096000.0,2293503000.0,2618939000.0,2869924000.0,,2840355000.0,1382139000.0,1655096000.0,2501380000.0,2869924000.0,,2840355000.0,1579815000.0,2293503000.0,2869924000.0,,2856936000.0,1908913000.0,2869924000.0,2856936000.0,2869924000.0,2869924000.0,2869924000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,14711000.0,0.0,0.0,6250000.0,6250000.0,12500000.0,,,,,,,,0.0,6250000.0,12500000.0,,,,,0.0,12500000.0,,,,0.0,12500000.0,,,14711000.0,12500000.0,,12500000.0,12500000.0,12500000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,237494000.0,264798000.0,319774000.0,291861000.0,119077000.0,172088000.0,158159000.0,176914000.0,222891000.0,262420000.0,276161000.0,211805000.0,196861000.0,223177000.0,,,,264798000.0,291861000.0,172088000.0,176914000.0,262420000.0,211805000.0,223177000.0,,264798000.0,119077000.0,176914000.0,276161000.0,223177000.0,,264798000.0,172088000.0,262420000.0,223177000.0,,291861000.0,222891000.0,223177000.0,291861000.0,223177000.0,223177000.0,223177000.0,CommonMetricExtracted
CurrentLiability,,,,,,,1458610000.0,1265783000.0,1091061000.0,988765000.0,466330000.0,593774000.0,675341000.0,516897000.0,539562000.0,697495000.0,617769000.0,513632000.0,509800000.0,616535000.0,,,,1265783000.0,988765000.0,593774000.0,516897000.0,697495000.0,513632000.0,616535000.0,,1265783000.0,466330000.0,516897000.0,617769000.0,616535000.0,,1265783000.0,593774000.0,697495000.0,616535000.0,,988765000.0,539562000.0,616535000.0,988765000.0,616535000.0,616535000.0,616535000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,754629000.0,711224000.0,445368000.0,681840000.0,403485000.0,410094000.0,337611000.0,202058000.0,210282000.0,199124000.0,122584000.0,129111000.0,144721000.0,178124000.0,,,,711224000.0,681840000.0,410094000.0,202058000.0,199124000.0,129111000.0,178124000.0,,711224000.0,403485000.0,202058000.0,122584000.0,178124000.0,,711224000.0,410094000.0,199124000.0,178124000.0,,681840000.0,210282000.0,178124000.0,681840000.0,178124000.0,178124000.0,178124000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,98477000.0,75425000.0,83581000.0,111619000.0,88726000.0,107391000.0,161290000.0,,,,,,,98477000.0,83581000.0,88726000.0,161290000.0,,,,98477000.0,111619000.0,161290000.0,,,,83581000.0,161290000.0,,,75425000.0,161290000.0,,161290000.0,161290000.0,161290000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,825794000.0,986435000.0,1164687000.0,998704000.0,265716000.0,150018000.0,285394000.0,235662000.0,404106000.0,617766000.0,637175000.0,748310000.0,933351000.0,1080680000.0,,,,986435000.0,998704000.0,150018000.0,235662000.0,617766000.0,748310000.0,1080680000.0,,986435000.0,265716000.0,235662000.0,637175000.0,1080680000.0,,986435000.0,150018000.0,617766000.0,1080680000.0,,998704000.0,404106000.0,1080680000.0,998704000.0,1080680000.0,1080680000.0,1080680000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,192406000.0,173591000.0,184927000.0,137886000.0,74925000.0,335157000.0,239907000.0,222154000.0,169290000.0,279368000.0,196442000.0,386026000.0,244704000.0,363701000.0,408428000.0,,,,173591000.0,137886000.0,335157000.0,222154000.0,279368000.0,386026000.0,363701000.0,,192406000.0,137886000.0,239907000.0,279368000.0,244704000.0,,,137886000.0,222154000.0,386026000.0,,192406000.0,335157000.0,196442000.0,,335157000.0,192406000.0,,CommonMetricExtracted
CapitalExpenditures,,,,,,63649000.0,63874000.0,86635000.0,64950000.0,76029000.0,68335000.0,52634000.0,96880000.0,109338000.0,182124000.0,255027000.0,311052000.0,198312000.0,151286000.0,153647000.0,,,,63874000.0,64950000.0,68335000.0,96880000.0,182124000.0,311052000.0,151286000.0,,63649000.0,64950000.0,52634000.0,182124000.0,198312000.0,,,64950000.0,96880000.0,311052000.0,,63649000.0,68335000.0,255027000.0,,68335000.0,63649000.0,,CommonMetricExtracted
InvestingCashFlow,,,,,,-90314000.0,-154322000.0,-111397000.0,20053000.0,,-71887000.0,-179689000.0,-89681000.0,-326724000.0,-179995000.0,-265319000.0,-304653000.0,-256236000.0,-155642000.0,-154561000.0,,,,-154322000.0,20053000.0,-71887000.0,-89681000.0,-179995000.0,-304653000.0,-155642000.0,,-90314000.0,20053000.0,-179689000.0,-179995000.0,-256236000.0,,,20053000.0,-89681000.0,-304653000.0,,-90314000.0,-71887000.0,-265319000.0,,-71887000.0,-90314000.0,,CommonMetricExtracted
DividendsPaid,,,,,,,,9485000.0,38011000.0,43469000.0,34479000.0,37370000.0,42043000.0,63821000.0,65374000.0,72940000.0,79668000.0,81074000.0,84974000.0,88349000.0,,,,,38011000.0,34479000.0,42043000.0,65374000.0,79668000.0,84974000.0,,,38011000.0,37370000.0,65374000.0,81074000.0,,,38011000.0,42043000.0,79668000.0,,,34479000.0,72940000.0,,34479000.0,,,CommonMetricExtracted
FinancingCashFlow,,,,,,-183733000.0,7535000.0,-108006000.0,-190878000.0,104599000.0,-414423000.0,-88897000.0,-61178000.0,-9323000.0,-43713000.0,25046000.0,-90136000.0,13952000.0,-169371000.0,-252785000.0,,,,7535000.0,-190878000.0,-414423000.0,-61178000.0,-43713000.0,-90136000.0,-169371000.0,,-183733000.0,-190878000.0,-88897000.0,-43713000.0,13952000.0,,,-190878000.0,-61178000.0,-90136000.0,,-183733000.0,-414423000.0,25046000.0,,-414423000.0,-183733000.0,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,0.7006048731662424,0.7062606873815722,0.7199755096008699,0.7182656787621641,0.7290357124693198,0.7409332254902607,0.7528096580399618,0.7513957607010991,0.757658709287505,,,,,,,0.7062606873815722,0.7182656787621641,0.7409332254902607,0.7513957607010991,,,,0.7006048731662424,0.7182656787621641,0.7528096580399618,,,,0.7062606873815722,0.7409332254902607,,,,0.7290357124693198,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,464234000.0,495755000.0,504013000.0,533864000.0,575397000.0,550277000.0,551935000.0,620593000.0,655207000.0,,,,,,,495755000.0,533864000.0,550277000.0,620593000.0,,,,464234000.0,533864000.0,551935000.0,,,,495755000.0,550277000.0,,,,575397000.0,,,,,CommonMetricCalculated
