,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,3119342000.0,3252576000.0,4019441000.0,,,,,7145015000.0,6833259000.0,7338270000.0,6101927000.0,22577148000.0,8517673000.0,8022841000.0,13229968000.0,,,,3252576000.0,,,7145015000.0,7338270000.0,22577148000.0,8022841000.0,,3119342000.0,,,7338270000.0,8517673000.0,,,,7145015000.0,22577148000.0,,3119342000.0,,6101927000.0,,,3119342000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,4118089000.0,3512941000.0,3818015000.0,2617520000.0,13559396000.0,3461789000.0,2957714000.0,6459480000.0,,,,,,,4118089000.0,3818015000.0,13559396000.0,2957714000.0,,,,,3818015000.0,3461789000.0,,,,4118089000.0,13559396000.0,,,,2617520000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,197486000.0,163990000.0,199648000.0,166162000.0,198268000.0,317225000.0,431868000.0,443688000.0,,,,,,,197486000.0,199648000.0,198268000.0,431868000.0,,,,,199648000.0,317225000.0,,,,197486000.0,198268000.0,,,,166162000.0,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,743147000.0,249390000.0,-47952000.0,356014000.0,1184401000.0,472880000.0,513461000.0,1021671000.0,,,,,,,743147000.0,-47952000.0,1184401000.0,513461000.0,,,,,-47952000.0,472880000.0,,,,743147000.0,1184401000.0,,,,356014000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,-268453000.0,829882000.0,2892919000.0,3695553000.0,1624350000.0,2249648000.0,3374942000.0,3263551000.0,3865967000.0,2261506000.0,12374995000.0,2988909000.0,2444253000.0,5437809000.0,,,,-268453000.0,2892919000.0,1624350000.0,3374942000.0,3865967000.0,12374995000.0,2444253000.0,,,2892919000.0,2249648000.0,3865967000.0,2988909000.0,,,2892919000.0,3374942000.0,12374995000.0,,,1624350000.0,2261506000.0,,1624350000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentReceivables,,,,,,495893000.0,406140000.0,638164000.0,888356000.0,,613153000.0,772695000.0,887162000.0,636238000.0,975075000.0,866158000.0,636616000.0,462904000.0,,,,,495893000.0,638164000.0,,772695000.0,636238000.0,866158000.0,462904000.0,,,638164000.0,613153000.0,636238000.0,636616000.0,,,638164000.0,772695000.0,866158000.0,,,,975075000.0,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,7198898000.0,8867568000.0,13051404000.0,10466504000.0,,6116747000.0,8866366000.0,14815436000.0,9951862000.0,11080723000.0,5644653000.0,7748163000.0,12349584000.0,,,,,7198898000.0,13051404000.0,,8866366000.0,9951862000.0,5644653000.0,12349584000.0,,,13051404000.0,6116747000.0,9951862000.0,7748163000.0,,,13051404000.0,8866366000.0,5644653000.0,,,,11080723000.0,,,,,,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,1450703000.0,1732133000.0,2293866000.0,3005025000.0,,2678580000.0,3409544000.0,4673541000.0,3818107000.0,4602203000.0,4150364000.0,8842239000.0,7259872000.0,,,,,1450703000.0,2293866000.0,,3409544000.0,3818107000.0,4150364000.0,7259872000.0,,,2293866000.0,2678580000.0,3818107000.0,8842239000.0,,,2293866000.0,3409544000.0,4150364000.0,,,,4602203000.0,,,,,,CommonMetricExtracted
TotalLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,,,,45742000.0,1963107000.0,1935945000.0,3985988000.0,6336253000.0,4056906000.0,3481662000.0,,,,,,,,1963107000.0,3985988000.0,4056906000.0,,,,,1963107000.0,6336253000.0,,,,,3985988000.0,,,,1935945000.0,,,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,18377000.0,60280000.0,111650000.0,64316000.0,235497000.0,224231000.0,61409000.0,,,,,,,,60280000.0,64316000.0,224231000.0,,,,,60280000.0,235497000.0,,,,,64316000.0,,,,111650000.0,,,,,CommonMetricExtracted
