,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,1744756000.0,1821592000.0,1459418000.0,2549783000.0,2756446000.0,1929334000.0,1561122000.0,1394964000.0,,,,,,,1744756000.0,1459418000.0,2756446000.0,1561122000.0,,,,,1459418000.0,1929334000.0,,,,1744756000.0,2756446000.0,,,,2549783000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,712017000.0,900233000.0,875189000.0,900859000.0,1056557000.0,1218044000.0,1353184000.0,1468614000.0,1404205000.0,1467684000.0,1166325000.0,1970250000.0,2132544000.0,1485990000.0,1247116000.0,1104800000.0,,,712017000.0,875189000.0,1056557000.0,1353184000.0,1404205000.0,1166325000.0,2132544000.0,1247116000.0,,900233000.0,1056557000.0,1468614000.0,1166325000.0,1485990000.0,,712017000.0,1056557000.0,1404205000.0,2132544000.0,,900233000.0,1353184000.0,1970250000.0,,1353184000.0,900233000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,55549000.0,61334000.0,61813000.0,63467000.0,91609000.0,109461000.0,124468000.0,147896000.0,180589000.0,274479000.0,143120000.0,263046000.0,302430000.0,215477000.0,224547000.0,238564000.0,,,55549000.0,61813000.0,91609000.0,124468000.0,180589000.0,143120000.0,302430000.0,224547000.0,,61334000.0,91609000.0,147896000.0,143120000.0,215477000.0,,55549000.0,91609000.0,180589000.0,302430000.0,,61334000.0,124468000.0,263046000.0,,124468000.0,61334000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,2088000.0,278000.0,3686000.0,-235000.0,1169000.0,3634000.0,14181000.0,1178000.0,-3488000.0,-642000.0,613000.0,12500000.0,-63825000.0,-160024000.0,-73907000.0,,,,278000.0,-235000.0,3634000.0,1178000.0,-642000.0,12500000.0,-160024000.0,,2088000.0,-235000.0,14181000.0,-642000.0,-63825000.0,,,-235000.0,1178000.0,12500000.0,,2088000.0,3634000.0,613000.0,,3634000.0,2088000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,257000.0,359000.0,-142000.0,485000.0,-68034000.0,4404000.0,1895000.0,9297000.0,64188000.0,-2384000.0,1060000.0,1363000.0,-48775000.0,1384000.0,41720000.0,684000.0,,,257000.0,-142000.0,-68034000.0,1895000.0,64188000.0,1060000.0,-48775000.0,41720000.0,,359000.0,-68034000.0,9297000.0,1060000.0,1384000.0,,257000.0,-68034000.0,64188000.0,-48775000.0,,359000.0,1895000.0,1363000.0,,1895000.0,359000.0,,CommonMetricExtracted
NetIncome,,,,,7747000.0,13889000.0,-19438000.0,14669000.0,88509000.0,8854000.0,2446000.0,12522000.0,-109878000.0,-206070000.0,-121841000.0,56001000.0,389372000.0,-35236000.0,-307842000.0,-258795000.0,,,7747000.0,-19438000.0,88509000.0,2446000.0,-109878000.0,-121841000.0,389372000.0,-307842000.0,,13889000.0,88509000.0,12522000.0,-121841000.0,-35236000.0,,7747000.0,88509000.0,-109878000.0,389372000.0,,13889000.0,2446000.0,56001000.0,,2446000.0,13889000.0,,CommonMetricExtracted
Cash,,,,96457000.0,139757000.0,124021000.0,96985000.0,93547000.0,148665000.0,181641000.0,170262000.0,183098000.0,203215000.0,141512000.0,112266000.0,516500000.0,503341000.0,371263000.0,302605000.0,159169000.0,,96457000.0,124021000.0,93547000.0,181641000.0,183098000.0,141512000.0,516500000.0,371263000.0,159169000.0,139757000.0,93547000.0,170262000.0,141512000.0,503341000.0,159169000.0,96457000.0,93547000.0,183098000.0,516500000.0,159169000.0,139757000.0,181641000.0,112266000.0,159169000.0,181641000.0,159169000.0,159169000.0,159169000.0,CommonMetricExtracted
CurrentReceivables,,,,,,13560000.0,13501000.0,19273000.0,16047000.0,18963000.0,16128000.0,28142000.0,30080000.0,35930000.0,24728000.0,30125000.0,21190000.0,17693000.0,19420000.0,15847000.0,,,13560000.0,19273000.0,18963000.0,28142000.0,35930000.0,30125000.0,17693000.0,15847000.0,,19273000.0,16128000.0,35930000.0,21190000.0,15847000.0,,19273000.0,28142000.0,30125000.0,15847000.0,,18963000.0,24728000.0,15847000.0,18963000.0,15847000.0,15847000.0,15847000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,11651000.0,12651000.0,12897000.0,10298000.0,12621000.0,13985000.0,11654000.0,17744000.0,22415000.0,21589000.0,25429000.0,22097000.0,18833000.0,14864000.0,14021000.0,,,11651000.0,12897000.0,12621000.0,11654000.0,22415000.0,25429000.0,18833000.0,14021000.0,,12897000.0,13985000.0,22415000.0,22097000.0,14021000.0,,12897000.0,11654000.0,25429000.0,14021000.0,,12621000.0,21589000.0,14021000.0,12621000.0,14021000.0,14021000.0,14021000.0,CommonMetricExtracted
Inventory,,,,,,32114000.0,22993000.0,26464000.0,27043000.0,26208000.0,20042000.0,18937000.0,13703000.0,14108000.0,5840000.0,6243000.0,5137000.0,6526000.0,13040000.0,11546000.0,,,32114000.0,26464000.0,26208000.0,18937000.0,14108000.0,6243000.0,6526000.0,11546000.0,,26464000.0,20042000.0,14108000.0,5137000.0,11546000.0,,26464000.0,18937000.0,6243000.0,11546000.0,,26208000.0,5840000.0,11546000.0,26208000.0,11546000.0,11546000.0,11546000.0,CommonMetricExtracted
CurrentAssets,,,,,,185970000.0,149193000.0,155998000.0,219291000.0,258062000.0,248463000.0,260641000.0,265197000.0,215267000.0,177363000.0,582740000.0,551790000.0,414509000.0,350073000.0,227507000.0,,,185970000.0,155998000.0,258062000.0,260641000.0,215267000.0,582740000.0,414509000.0,227507000.0,,155998000.0,248463000.0,215267000.0,551790000.0,227507000.0,,155998000.0,260641000.0,582740000.0,227507000.0,,258062000.0,177363000.0,227507000.0,258062000.0,227507000.0,227507000.0,227507000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,27800000.0,25322000.0,21037000.0,27194000.0,52071000.0,93696000.0,134552000.0,129343000.0,134687000.0,130028000.0,122550000.0,109479000.0,109906000.0,27577000.0,23544000.0,,,27800000.0,21037000.0,52071000.0,134552000.0,134687000.0,122550000.0,109906000.0,23544000.0,,21037000.0,93696000.0,134687000.0,109479000.0,23544000.0,,21037000.0,134552000.0,122550000.0,23544000.0,,52071000.0,130028000.0,23544000.0,52071000.0,23544000.0,23544000.0,23544000.0,CommonMetricExtracted
Goodwill,,,,,,2784000.0,2784000.0,2784000.0,2784000.0,2784000.0,15387000.0,14698000.0,14698000.0,22895000.0,27120000.0,34950000.0,6160000.0,6160000.0,6160000.0,6160000.0,,,2784000.0,2784000.0,2784000.0,14698000.0,22895000.0,34950000.0,6160000.0,6160000.0,,2784000.0,15387000.0,22895000.0,6160000.0,6160000.0,,2784000.0,14698000.0,34950000.0,6160000.0,,2784000.0,27120000.0,6160000.0,2784000.0,6160000.0,6160000.0,6160000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,235000.0,14656000.0,10913000.0,7337000.0,13370000.0,11756000.0,13997000.0,,9000.0,25254000.0,30246000.0,,,,,235000.0,10913000.0,13370000.0,13997000.0,9000.0,30246000.0,,,14656000.0,13370000.0,,30246000.0,,,10913000.0,13997000.0,30246000.0,,235000.0,11756000.0,30246000.0,235000.0,30246000.0,30246000.0,30246000.0,CommonMetricExtracted
TotalAssets,,,,,,217959000.0,179559000.0,181985000.0,319767000.0,376865000.0,429129000.0,485076000.0,433815000.0,461219000.0,417727000.0,830214000.0,1065966000.0,878546000.0,635818000.0,401954000.0,,,217959000.0,181985000.0,376865000.0,485076000.0,461219000.0,830214000.0,878546000.0,401954000.0,,181985000.0,429129000.0,461219000.0,1065966000.0,401954000.0,,181985000.0,485076000.0,830214000.0,401954000.0,,376865000.0,417727000.0,401954000.0,376865000.0,401954000.0,401954000.0,401954000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,108062000.0,118234000.0,110090000.0,156261000.0,194351000.0,206092000.0,202553000.0,168017000.0,190432000.0,163613000.0,245354000.0,204195000.0,138744000.0,179752000.0,155553000.0,,,108062000.0,110090000.0,194351000.0,202553000.0,190432000.0,245354000.0,138744000.0,155553000.0,,110090000.0,206092000.0,190432000.0,204195000.0,155553000.0,,110090000.0,202553000.0,245354000.0,155553000.0,,194351000.0,163613000.0,155553000.0,194351000.0,155553000.0,155553000.0,155553000.0,CommonMetricExtracted
CurrentLiability,,,,,,211975000.0,211224000.0,196175000.0,259261000.0,324366000.0,342739000.0,347059000.0,297452000.0,329820000.0,314761000.0,487026000.0,382986000.0,266182000.0,309123000.0,324688000.0,,,211975000.0,196175000.0,324366000.0,347059000.0,329820000.0,487026000.0,266182000.0,324688000.0,,196175000.0,342739000.0,329820000.0,382986000.0,324688000.0,,196175000.0,347059000.0,487026000.0,324688000.0,,324366000.0,314761000.0,324688000.0,324366000.0,324688000.0,324688000.0,324688000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,3175000.0,2998000.0,2522000.0,3294000.0,4843000.0,6974000.0,6890000.0,7120000.0,5958000.0,23873000.0,32658000.0,11263000.0,41578000.0,44291000.0,14361000.0,,,3175000.0,2522000.0,4843000.0,6890000.0,5958000.0,32658000.0,41578000.0,14361000.0,,2522000.0,6974000.0,5958000.0,11263000.0,14361000.0,,2522000.0,6890000.0,32658000.0,14361000.0,,4843000.0,23873000.0,14361000.0,4843000.0,14361000.0,14361000.0,14361000.0,CommonMetricExtracted
TotalLiability,,,,,,186731000.0,166322000.0,151023000.0,196876000.0,247645000.0,279768000.0,312116000.0,261692000.0,250513000.0,239872000.0,393888000.0,321580000.0,232720000.0,276686000.0,239222000.0,,,186731000.0,151023000.0,247645000.0,312116000.0,250513000.0,393888000.0,232720000.0,239222000.0,,151023000.0,279768000.0,250513000.0,321580000.0,239222000.0,,151023000.0,312116000.0,393888000.0,239222000.0,,247645000.0,239872000.0,239222000.0,247645000.0,239222000.0,239222000.0,239222000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,30962000.0,118760000.0,129220000.0,149361000.0,172960000.0,172123000.0,210706000.0,177855000.0,436326000.0,744386000.0,645826000.0,359132000.0,162732000.0,,,,30962000.0,129220000.0,172960000.0,210706000.0,436326000.0,645826000.0,162732000.0,,30962000.0,149361000.0,210706000.0,744386000.0,162732000.0,,30962000.0,172960000.0,436326000.0,162732000.0,,129220000.0,177855000.0,162732000.0,129220000.0,162732000.0,162732000.0,162732000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,,,54516000.0,39564000.0,-35221000.0,-138934000.0,-81612000.0,196474000.0,80919000.0,-12535000.0,-18586000.0,-174304000.0,,,,,,54516000.0,-35221000.0,-81612000.0,80919000.0,-18586000.0,,,,39564000.0,-81612000.0,-12535000.0,,,,-35221000.0,80919000.0,,,54516000.0,196474000.0,,54516000.0,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,,,,,,28680000.0,21774000.0,19132000.0,13617000.0,14899000.0,19181000.0,14315000.0,,,,,,,,21774000.0,13617000.0,19181000.0,,,,,21774000.0,14899000.0,,,,,13617000.0,,,,19132000.0,,,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,,,-82431000.0,-79447000.0,-17960000.0,-110923000.0,-26852000.0,-23555000.0,-86136000.0,-33034000.0,-44630000.0,24926000.0,,,,,,-82431000.0,-17960000.0,-26852000.0,-86136000.0,-44630000.0,,,,-79447000.0,-26852000.0,-33034000.0,,,,-17960000.0,-86136000.0,,,-82431000.0,-23555000.0,,-82431000.0,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,,,,,16536000.0,52719000.0,73398000.0,189001000.0,80548000.0,231364000.0,-10598000.0,-86340000.0,-5492000.0,32722000.0,,,,,,16536000.0,73398000.0,80548000.0,-10598000.0,-5492000.0,,,,52719000.0,80548000.0,-86340000.0,,,,73398000.0,-10598000.0,,,16536000.0,231364000.0,,16536000.0,,,CommonMetricExtracted
costOfGoodsAndServicesPercentOfRevenue,,,,,,,,,,,,,0.804814541402924,0.805715000944229,0.799171313496202,0.7727128151689772,0.773657093228019,0.7702087870736741,0.7988587695260204,0.7919917646620271,,,,,,,0.804814541402924,0.799171313496202,0.773657093228019,0.7988587695260204,,,,,0.799171313496202,0.7702087870736741,,,,0.804814541402924,0.773657093228019,,,,0.7727128151689772,,,,,CommonMetricCalculated
GrossMargin,,,,,,,,,,,,,340551000.0,353908000.0,293093000.0,579533000.0,623902000.0,443344000.0,314006000.0,290164000.0,,,,,,,340551000.0,293093000.0,623902000.0,314006000.0,,,,,293093000.0,443344000.0,,,,340551000.0,623902000.0,,,,579533000.0,,,,,CommonMetricCalculated
GrossMarginPercentOfRevenue,,,,,,,,,,,,,0.19518545859707603,0.19428499905577098,0.2008286865037981,0.22728718483102286,0.22634290677198102,0.22979121292632587,0.2011412304739796,0.20800823533797289,,,,,,,0.19518545859707603,0.2008286865037981,0.22634290677198102,0.2011412304739796,,,,,0.2008286865037981,0.22979121292632587,,,,0.19518545859707603,0.22634290677198102,,,,0.22728718483102286,,,,,CommonMetricCalculated
SellingGeneralAdministrativePercentOfRevenue,,,,,,,,,,,,,0.10350387102838449,0.15068083302956975,0.09806648951842446,0.103164073177992,0.10971736794408452,0.11168465387537876,0.14383693266765826,0.17101803344028949,,,,,,,0.10350387102838449,0.09806648951842446,0.10971736794408452,0.14383693266765826,,,,,0.09806648951842446,0.11168465387537876,,,,0.10350387102838449,0.10971736794408452,,,,0.103164073177992,,,,,CommonMetricCalculated
ResearchAndDevelopmentPercentOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
OperatingMarginPercentOfRevenue,,,,,,,,,,,,,0.0006751660404090888,-0.0019148085850179404,-0.00043990138534676153,0.0002404126155049273,0.004534824915851789,-0.03308136382813966,-0.10250576188151855,-0.05298129557465282,,,,,,,0.0006751660404090888,-0.00043990138534676153,0.004534824915851789,-0.10250576188151855,,,,,-0.00043990138534676153,-0.03308136382813966,,,,0.0006751660404090888,0.004534824915851789,,,,0.0002404126155049273,,,,,CommonMetricCalculated
InterestPercentOfOperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricCalculated
