,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,292508.0,250227.0,924419.0,16566000.0,42160000.0,48036000.0,42644000.0,85756000.0,,,,,,,292508.0,924419.0,42160000.0,42644000.0,,,,,924419.0,48036000.0,,,,292508.0,42160000.0,,,,16566000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,186068.0,775412.0,9058000.0,19270000.0,21758000.0,18997000.0,32984000.0,,,,,,,,775412.0,19270000.0,18997000.0,,,,,775412.0,21758000.0,,,,,19270000.0,,,,9058000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,-12260000.0,-3443000.0,-7651000.0,-8027000.0,7084000.0,,,,,,,,,-3443000.0,-8027000.0,,,,,,-7651000.0,,,,,-3443000.0,,,,-12260000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,-2024211.0,-2754118.0,-2385934.0,-1934729.0,-2775517.0,-2155147.0,-4413900.0,-12487000.0,-3327000.0,-8489000.0,-8628000.0,13199000.0,,,,,-2024211.0,-2385934.0,-2775517.0,-4413900.0,-3327000.0,-8628000.0,,,-2024211.0,-1934729.0,-4413900.0,-8489000.0,,,-2024211.0,-2775517.0,-3327000.0,,,-2385934.0,-12487000.0,,-2385934.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,-2024211.0,-2722412.0,-2370901.0,-1924110.0,-2800251.0,-2153474.0,-4409785.0,-12553000.0,-3283000.0,-7885000.0,-8192000.0,12792000.0,,,,,-2024211.0,-2370901.0,-2800251.0,-4409785.0,-3283000.0,-8192000.0,,,-2024211.0,-1924110.0,-4409785.0,-7885000.0,,,-2024211.0,-2800251.0,-3283000.0,,,-2370901.0,-12553000.0,,-2370901.0,,,CommonMetricExtracted
Cash,0.0,,,,,,114835.0,232471.0,1842149.0,1085006.0,1851021.0,192826.0,1965043.0,,,3175000.0,56308000.0,20068000.0,20498000.0,16829000.0,,,,232471.0,1085006.0,192826.0,,3175000.0,20068000.0,16829000.0,,232471.0,1851021.0,,56308000.0,16829000.0,,232471.0,192826.0,3175000.0,16829000.0,,1085006.0,,16829000.0,1085006.0,16829000.0,16829000.0,16829000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,0.0,20351.0,7393.0,39676.0,32534.0,36412.0,,,834000.0,1700000.0,5915000.0,2945000.0,2630000.0,,,,0.0,7393.0,32534.0,,834000.0,5915000.0,2630000.0,,0.0,39676.0,,1700000.0,2630000.0,,0.0,32534.0,834000.0,2630000.0,,7393.0,,2630000.0,7393.0,2630000.0,2630000.0,2630000.0,CommonMetricExtracted
