,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,95991500000.0,98503000000.0,102644200000.0,107552000000.0,101093000000.0,91084000000.0,102531000000.0,121546000000.0,129976000000.0,136809000000.0,145534000000.0,152922000000.0,162467000000.0,181364000000.0,205012000000.0,226827000000.0,,,95991500000.0,102644200000.0,101093000000.0,102531000000.0,129976000000.0,145534000000.0,162467000000.0,205012000000.0,,98503000000.0,101093000000.0,121546000000.0,145534000000.0,181364000000.0,,95991500000.0,101093000000.0,129976000000.0,162467000000.0,,98503000000.0,102531000000.0,152922000000.0,,102531000000.0,98503000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,115003000000.0,123432000000.0,129628000000.0,138700000000.0,146054000000.0,155689000000.0,174842000000.0,198123000000.0,219413000000.0,,,,,,,123432000000.0,138700000000.0,155689000000.0,198123000000.0,,,,115003000000.0,138700000000.0,174842000000.0,,,,123432000000.0,155689000000.0,,,,146054000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,2333500000.0,2408000000.0,2594800000.0,2677000000.0,2875000000.0,3028000000.0,3240000000.0,3648000000.0,3775000000.0,4596000000.0,4480000000.0,4572000000.0,4533000000.0,4557000000.0,4834000000.0,5000000000.0,,,2333500000.0,2594800000.0,2875000000.0,3240000000.0,3775000000.0,4480000000.0,4533000000.0,4834000000.0,,2408000000.0,2875000000.0,3648000000.0,4480000000.0,4557000000.0,,2333500000.0,2875000000.0,3775000000.0,4533000000.0,,2408000000.0,3240000000.0,4572000000.0,,3240000000.0,2408000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,1287400000.0,1307000000.0,1514000000.0,1792000000.0,996000000.0,1885000000.0,2161000000.0,2459000000.0,2120000000.0,126000000.0,2060000000.0,-4098000000.0,472000000.0,-596000000.0,752000000.0,1243000000.0,,,1287400000.0,1514000000.0,996000000.0,2161000000.0,2120000000.0,2060000000.0,472000000.0,752000000.0,,1307000000.0,996000000.0,2459000000.0,2060000000.0,-596000000.0,,1287400000.0,996000000.0,2120000000.0,472000000.0,,1307000000.0,2161000000.0,-4098000000.0,,2161000000.0,1307000000.0,,CommonMetricExtracted
Interest,,,,,114400000.0,113500000.0,93000000.0,95000000.0,123000000.0,133000000.0,141000000.0,178000000.0,201000000.0,329000000.0,294000000.0,238000000.0,180000000.0,149000000.0,93000000.0,51000000.0,,,114400000.0,93000000.0,123000000.0,141000000.0,201000000.0,294000000.0,180000000.0,93000000.0,,113500000.0,123000000.0,178000000.0,294000000.0,149000000.0,,114400000.0,123000000.0,201000000.0,180000000.0,,113500000.0,141000000.0,238000000.0,,141000000.0,113500000.0,,CommonMetricExtracted
Taxes,,,,,401600000.0,625000000.0,552100000.0,628000000.0,553000000.0,635000000.0,755000000.0,845000000.0,630000000.0,-487000000.0,386000000.0,-79000000.0,-289000000.0,163000000.0,376000000.0,348000000.0,,,401600000.0,552100000.0,553000000.0,755000000.0,630000000.0,386000000.0,-289000000.0,376000000.0,,625000000.0,553000000.0,845000000.0,386000000.0,163000000.0,,401600000.0,553000000.0,630000000.0,-289000000.0,,625000000.0,755000000.0,-79000000.0,,755000000.0,625000000.0,,CommonMetricExtracted
NetIncome,,,,,,,,,,1166000000.0,1215000000.0,1431000000.0,1294000000.0,259000000.0,1365000000.0,-3693000000.0,612000000.0,-932000000.0,331000000.0,853000000.0,,,,,,1215000000.0,1294000000.0,1365000000.0,612000000.0,331000000.0,,,,1431000000.0,1365000000.0,-932000000.0,,,,1294000000.0,612000000.0,,,1215000000.0,-3693000000.0,,1215000000.0,,,CommonMetricExtracted
Cash,,,,808800000.0,1221600000.0,2755300000.0,1929300000.0,2274000000.0,1901000000.0,2865000000.0,4616000000.0,2356000000.0,6879000000.0,1763000000.0,2531000000.0,2771000000.0,3407000000.0,4717000000.0,4076000000.0,5133000000.0,,808800000.0,2755300000.0,2274000000.0,2865000000.0,2356000000.0,1763000000.0,2771000000.0,4717000000.0,5133000000.0,1221600000.0,2274000000.0,4616000000.0,1763000000.0,3407000000.0,5133000000.0,808800000.0,2274000000.0,2356000000.0,2771000000.0,5133000000.0,1221600000.0,2865000000.0,2531000000.0,5133000000.0,2865000000.0,5133000000.0,5133000000.0,5133000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,5170600000.0,6156000000.0,6355000000.0,6304000000.0,5380000000.0,6523000000.0,7405000000.0,8048000000.0,7800000000.0,8448000000.0,8264000000.0,9103000000.0,10561000000.0,11344000000.0,12084000000.0,,,5170600000.0,6355000000.0,5380000000.0,7405000000.0,7800000000.0,8264000000.0,10561000000.0,12084000000.0,,6355000000.0,6523000000.0,7800000000.0,9103000000.0,12084000000.0,,6355000000.0,7405000000.0,8264000000.0,12084000000.0,,5380000000.0,8448000000.0,12084000000.0,5380000000.0,12084000000.0,12084000000.0,12084000000.0,CommonMetricExtracted
