,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,51324000000.0,32396000000.0,42588000000.0,60138000000.0,65875000000.0,55656000000.0,55184000000.0,47011000000.0,38537000000.0,45462000000.0,54722000000.0,53800000000.0,41748000000.0,50971000000.0,59427000000.0,67060000000.0,64809000000.0,,,32396000000.0,60138000000.0,55656000000.0,47011000000.0,45462000000.0,53800000000.0,50971000000.0,67060000000.0,,42588000000.0,55656000000.0,38537000000.0,53800000000.0,59427000000.0,,32396000000.0,55656000000.0,45462000000.0,50971000000.0,,42588000000.0,47011000000.0,41748000000.0,,47011000000.0,42588000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,28044000000.0,31260000000.0,36997000000.0,36630000000.0,29082000000.0,35513000000.0,41350000000.0,42767000000.0,40199000000.0,,,,,,,31260000000.0,36630000000.0,35513000000.0,42767000000.0,,,,28044000000.0,36630000000.0,41350000000.0,,,,31260000000.0,35513000000.0,,,,29082000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,4399000000.0,3645000000.0,4248000000.0,5203000000.0,5919000000.0,5547000000.0,6529000000.0,5199000000.0,4686000000.0,5177000000.0,5478000000.0,5162000000.0,4642000000.0,5365000000.0,5651000000.0,6371000000.0,6667000000.0,,,3645000000.0,5203000000.0,5547000000.0,5199000000.0,5177000000.0,5162000000.0,5365000000.0,6371000000.0,,4248000000.0,5547000000.0,4686000000.0,5162000000.0,5651000000.0,,3645000000.0,5547000000.0,5177000000.0,5365000000.0,,4248000000.0,5199000000.0,4642000000.0,,5199000000.0,4248000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,1728000000.0,1421000000.0,1905000000.0,2297000000.0,2466000000.0,2046000000.0,2380000000.0,2165000000.0,1951000000.0,1905000000.0,1850000000.0,1693000000.0,1415000000.0,1686000000.0,1814000000.0,2108000000.0,2107000000.0,,,1421000000.0,2297000000.0,2046000000.0,2165000000.0,1905000000.0,1693000000.0,1686000000.0,2108000000.0,,1905000000.0,2046000000.0,1951000000.0,1693000000.0,1814000000.0,,1421000000.0,2046000000.0,1905000000.0,1686000000.0,,1905000000.0,2165000000.0,1415000000.0,,2165000000.0,1905000000.0,,CommonMetricExtracted
OperatingMargin,,,,4501000000.0,569000000.0,3750000000.0,6725000000.0,8236000000.0,5128000000.0,5083000000.0,3439000000.0,139000000.0,4082000000.0,7822000000.0,7812000000.0,3995000000.0,8204000000.0,8752000000.0,13050000000.0,13373000000.0,,,569000000.0,6725000000.0,5128000000.0,3439000000.0,4082000000.0,7812000000.0,8204000000.0,13050000000.0,,3750000000.0,5128000000.0,139000000.0,7812000000.0,8752000000.0,,569000000.0,5128000000.0,4082000000.0,8204000000.0,,3750000000.0,3439000000.0,3995000000.0,,3439000000.0,3750000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,953000000.0,-270000000.0,968000000.0,1720000000.0,2528000000.0,1319000000.0,1380000000.0,916000000.0,192000000.0,3339000000.0,1698000000.0,1746000000.0,1006000000.0,1742000000.0,2067000000.0,2781000000.0,2629000000.0,,,-270000000.0,1720000000.0,1319000000.0,916000000.0,3339000000.0,1746000000.0,1742000000.0,2781000000.0,,968000000.0,1319000000.0,192000000.0,1746000000.0,2067000000.0,,-270000000.0,1319000000.0,3339000000.0,1742000000.0,,968000000.0,916000000.0,1006000000.0,,916000000.0,968000000.0,,CommonMetricExtracted
NetIncome,,,,,895000000.0,2700000000.0,4928000000.0,5681000000.0,3789000000.0,3695000000.0,2512000000.0,-67000000.0,754000000.0,6147000000.0,6093000000.0,2998000000.0,6489000000.0,6705000000.0,10335000000.0,10792000000.0,,,895000000.0,4928000000.0,3789000000.0,2512000000.0,754000000.0,6093000000.0,6489000000.0,10335000000.0,,2700000000.0,3789000000.0,-67000000.0,6093000000.0,6705000000.0,,895000000.0,3789000000.0,754000000.0,6489000000.0,,2700000000.0,2512000000.0,2998000000.0,,2512000000.0,2700000000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,9352000000.0,9254000000.0,7004000000.0,6978000000.0,6889000000.0,,,,,,,,9352000000.0,7004000000.0,6889000000.0,,,,,9254000000.0,6889000000.0,,,,9352000000.0,6889000000.0,,,,6889000000.0,,6889000000.0,6889000000.0,6889000000.0,CommonMetricExtracted
CurrentReceivables,,,,9397000000.0,5611000000.0,8494000000.0,10285000000.0,18952000000.0,17176000000.0,16764000000.0,15686000000.0,14503000000.0,,7370000000.0,,16780000000.0,17375000000.0,17869000000.0,18820000000.0,18847000000.0,,9397000000.0,8494000000.0,18952000000.0,16764000000.0,14503000000.0,7370000000.0,16780000000.0,17869000000.0,18847000000.0,5611000000.0,18952000000.0,15686000000.0,7370000000.0,17375000000.0,18847000000.0,9397000000.0,18952000000.0,14503000000.0,16780000000.0,18847000000.0,5611000000.0,16764000000.0,,18847000000.0,16764000000.0,18847000000.0,18847000000.0,18847000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,862000000.0,908000000.0,994000000.0,988000000.0,900000000.0,818000000.0,1662000000.0,1682000000.0,,2099000000.0,1748000000.0,1930000000.0,2788000000.0,2642000000.0,4586000000.0,3119000000.0,,,908000000.0,988000000.0,818000000.0,1682000000.0,2099000000.0,1930000000.0,2642000000.0,3119000000.0,862000000.0,988000000.0,1662000000.0,2099000000.0,2788000000.0,3119000000.0,,988000000.0,1682000000.0,1930000000.0,3119000000.0,862000000.0,818000000.0,1748000000.0,3119000000.0,818000000.0,3119000000.0,3119000000.0,3119000000.0,CommonMetricExtracted
Inventory,,,,8781000000.0,6360000000.0,9587000000.0,14544000000.0,15547000000.0,12625000000.0,12205000000.0,9700000000.0,8614000000.0,,10022000000.0,,11402000000.0,14038000000.0,16270000000.0,16565000000.0,16827000000.0,,8781000000.0,9587000000.0,15547000000.0,12205000000.0,8614000000.0,10022000000.0,11402000000.0,16270000000.0,16827000000.0,6360000000.0,15547000000.0,9700000000.0,10022000000.0,14038000000.0,16827000000.0,8781000000.0,15547000000.0,8614000000.0,11402000000.0,16827000000.0,6360000000.0,12205000000.0,,16827000000.0,12205000000.0,16827000000.0,16827000000.0,16827000000.0,CommonMetricExtracted
