,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,5128817000.0,4165820000.0,5115316000.0,5905411000.0,,,,10855810000.0,17369108000.0,18628787000.0,21340088000.0,23894091000.0,23826195000.0,27746036000.0,30828246000.0,31949000000.0,35767000000.0,,,4165820000.0,5905411000.0,,10855810000.0,18628787000.0,23894091000.0,27746036000.0,31949000000.0,,5115316000.0,,17369108000.0,23894091000.0,30828246000.0,,4165820000.0,,18628787000.0,27746036000.0,,5115316000.0,10855810000.0,23826195000.0,,10855810000.0,5115316000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,14305099000.0,16449212000.0,18689013000.0,19047620000.0,21580000000.0,24239488000.0,25675000000.0,28811000000.0,,,,,,,14305099000.0,18689013000.0,21580000000.0,25675000000.0,,,,,18689013000.0,24239488000.0,,,,14305099000.0,21580000000.0,,,,19047620000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,-788469000.0,241842000.0,446379000.0,462862000.0,,,,835944000.0,816831000.0,1078682000.0,1087989000.0,1259875000.0,969759000.0,1637467000.0,1512000000.0,1117000000.0,1413000000.0,,,241842000.0,462862000.0,,835944000.0,1078682000.0,1259875000.0,1637467000.0,1117000000.0,,446379000.0,,816831000.0,1259875000.0,1512000000.0,,241842000.0,,1078682000.0,1637467000.0,,446379000.0,835944000.0,969759000.0,,835944000.0,446379000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,50810000.0,26993000.0,130368000.0,189103000.0,,,,320853000.0,296900000.0,467757000.0,313058000.0,69895000.0,214101000.0,568000000.0,234230000.0,250000000.0,182000000.0,,,26993000.0,189103000.0,,320853000.0,467757000.0,69895000.0,568000000.0,250000000.0,,130368000.0,,296900000.0,69895000.0,234230000.0,,26993000.0,,467757000.0,568000000.0,,130368000.0,320853000.0,214101000.0,,320853000.0,130368000.0,,CommonMetricExtracted
NetIncome,,,,-1049741000.0,-27638000.0,156009000.0,290325000.0,304787000.0,348795000.0,513503000.0,558877000.0,585170000.0,703576000.0,1065948000.0,1291450000.0,755868000.0,1842000000.0,1424000000.0,1027000000.0,1036000000.0,,,-27638000.0,290325000.0,348795000.0,558877000.0,703576000.0,1291450000.0,1842000000.0,1027000000.0,,156009000.0,348795000.0,585170000.0,1291450000.0,1424000000.0,,-27638000.0,348795000.0,703576000.0,1842000000.0,,156009000.0,558877000.0,755868000.0,,558877000.0,156009000.0,,CommonMetricExtracted
Cash,,,342874000.0,158823000.0,741557000.0,506574000.0,1093182000.0,1089297000.0,491912000.0,740884000.0,540403000.0,762576000.0,751774000.0,777219000.0,971781000.0,1896188000.0,2430951000.0,1318290000.0,1265000000.0,1114000000.0,,158823000.0,506574000.0,1089297000.0,740884000.0,762576000.0,777219000.0,1896188000.0,1318290000.0,1114000000.0,741557000.0,1089297000.0,540403000.0,777219000.0,2430951000.0,1114000000.0,158823000.0,1089297000.0,762576000.0,1896188000.0,1114000000.0,741557000.0,740884000.0,971781000.0,1114000000.0,740884000.0,1114000000.0,1114000000.0,1114000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,485433000.0,720061000.0,1066187000.0,1868034000.0,2308363000.0,4298178000.0,3927275000.0,4184951000.0,5082743000.0,5553647000.0,5899880000.0,6498294000.0,5864354000.0,7204000000.0,7696000000.0,,,485433000.0,1066187000.0,2308363000.0,3927275000.0,5082743000.0,5899880000.0,5864354000.0,7696000000.0,,1066187000.0,4298178000.0,5082743000.0,6498294000.0,7696000000.0,,1066187000.0,3927275000.0,5899880000.0,7696000000.0,,2308363000.0,5553647000.0,7696000000.0,2308363000.0,7696000000.0,7696000000.0,7696000000.0,CommonMetricExtracted
