,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,5400000000.0,6183000000.0,6638000000.0,5526000000.0,4969000000.0,6345000000.0,6831000000.0,6078000000.0,5782000000.0,,,,,,,6183000000.0,5526000000.0,6345000000.0,6078000000.0,,,,5400000000.0,5526000000.0,6831000000.0,,,,6183000000.0,6345000000.0,,,,4969000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,4297000000.0,4438000000.0,4667000000.0,4463000000.0,3902000000.0,4964000000.0,5215000000.0,4772000000.0,4631000000.0,,,,,,,4438000000.0,4463000000.0,4964000000.0,4772000000.0,,,,4297000000.0,4463000000.0,5215000000.0,,,,4438000000.0,4964000000.0,,,,3902000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,768000000.0,685000000.0,632000000.0,946000000.0,626000000.0,657000000.0,548000000.0,527000000.0,592000000.0,710000000.0,1290000000.0,585000000.0,,,,,768000000.0,632000000.0,626000000.0,548000000.0,592000000.0,1290000000.0,,,768000000.0,946000000.0,548000000.0,710000000.0,,,768000000.0,626000000.0,592000000.0,,,632000000.0,527000000.0,,632000000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,164000000.0,143000000.0,97000000.0,81000000.0,81000000.0,82000000.0,80000000.0,93000000.0,107000000.0,118000000.0,108000000.0,109000000.0,,,,,164000000.0,97000000.0,81000000.0,80000000.0,107000000.0,108000000.0,,,164000000.0,81000000.0,80000000.0,118000000.0,,,164000000.0,81000000.0,107000000.0,,,97000000.0,93000000.0,,97000000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,576000000.0,550000000.0,-188000000.0,-11000000.0,912000000.0,1155000000.0,-124000000.0,179000000.0,676000000.0,741000000.0,-318000000.0,127000000.0,,,,,576000000.0,-188000000.0,912000000.0,-124000000.0,676000000.0,-318000000.0,,,576000000.0,-11000000.0,-124000000.0,741000000.0,,,576000000.0,912000000.0,676000000.0,,,-188000000.0,179000000.0,,-188000000.0,,,CommonMetricExtracted
Interest,,,,,,,,,0.0,0.0,132000000.0,219000000.0,215000000.0,195000000.0,208000000.0,210000000.0,185000000.0,163000000.0,208000000.0,264000000.0,,,,,0.0,132000000.0,215000000.0,208000000.0,185000000.0,208000000.0,,,0.0,219000000.0,208000000.0,163000000.0,,,0.0,215000000.0,185000000.0,,,132000000.0,210000000.0,,132000000.0,,,CommonMetricExtracted
Taxes,,,,,,,,,152000000.0,149000000.0,-98000000.0,-18000000.0,165000000.0,159000000.0,-72000000.0,-40000000.0,68000000.0,163000000.0,-81000000.0,41000000.0,,,,,152000000.0,-98000000.0,165000000.0,-72000000.0,68000000.0,-81000000.0,,,152000000.0,-18000000.0,-72000000.0,163000000.0,,,152000000.0,165000000.0,68000000.0,,,-98000000.0,-40000000.0,,-98000000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,424000000.0,401000000.0,-90000000.0,7000000.0,747000000.0,996000000.0,-52000000.0,219000000.0,608000000.0,578000000.0,-237000000.0,86000000.0,,,,,424000000.0,-90000000.0,747000000.0,-52000000.0,608000000.0,-237000000.0,,,424000000.0,7000000.0,-52000000.0,578000000.0,,,424000000.0,747000000.0,608000000.0,,,-90000000.0,219000000.0,,-90000000.0,,,CommonMetricExtracted
Cash,,,,,,,,,0.0,0.0,366000000.0,902000000.0,1556000000.0,1201000000.0,943000000.0,1105000000.0,1451000000.0,1102000000.0,,713000000.0,,,,,0.0,902000000.0,1201000000.0,1105000000.0,1102000000.0,713000000.0,,,366000000.0,1201000000.0,1451000000.0,713000000.0,,,902000000.0,1105000000.0,713000000.0,,0.0,943000000.0,713000000.0,0.0,713000000.0,713000000.0,713000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,846000000.0,859000000.0,807000000.0,919000000.0,861000000.0,674000000.0,511000000.0,720000000.0,626000000.0,,770000000.0,,,,,846000000.0,807000000.0,861000000.0,511000000.0,626000000.0,770000000.0,,,859000000.0,861000000.0,720000000.0,770000000.0,,,807000000.0,511000000.0,770000000.0,,846000000.0,674000000.0,770000000.0,846000000.0,770000000.0,770000000.0,770000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,43000000.0,104000000.0,77000000.0,83000000.0,84000000.0,81000000.0,78000000.0,75000000.0,82000000.0,,71000000.0,,,,,43000000.0,77000000.0,84000000.0,78000000.0,82000000.0,71000000.0,,,104000000.0,84000000.0,75000000.0,71000000.0,,,77000000.0,78000000.0,71000000.0,,43000000.0,81000000.0,71000000.0,43000000.0,71000000.0,71000000.0,71000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,1052000000.0,972000000.0,767000000.0,935000000.0,1147000000.0,1079000000.0,939000000.0,1099000000.0,1404000000.0,,1472000000.0,,,,,1052000000.0,767000000.0,1147000000.0,939000000.0,1404000000.0,1472000000.0,,,972000000.0,1147000000.0,1099000000.0,1472000000.0,,,767000000.0,939000000.0,1472000000.0,,1052000000.0,1079000000.0,1472000000.0,1052000000.0,1472000000.0,1472000000.0,1472000000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,1941000000.0,2301000000.0,2553000000.0,3493000000.0,3293000000.0,2777000000.0,2633000000.0,3345000000.0,3214000000.0,,3026000000.0,,,,,1941000000.0,2553000000.0,3293000000.0,2633000000.0,3214000000.0,3026000000.0,,,2301000000.0,3293000000.0,3345000000.0,3026000000.0,,,2553000000.0,2633000000.0,3026000000.0,,1941000000.0,2777000000.0,3026000000.0,1941000000.0,3026000000.0,3026000000.0,3026000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,2972000000.0,3308000000.0,3177000000.0,2784000000.0,3008000000.0,3291000000.0,3559000000.0,3474000000.0,3154000000.0,3171000000.0,,3183000000.0,,,,,3308000000.0,2784000000.0,3291000000.0,3474000000.0,3171000000.0,3183000000.0,,,3177000000.0,3291000000.0,3154000000.0,3183000000.0,,,2784000000.0,3474000000.0,3183000000.0,,3308000000.0,3559000000.0,3183000000.0,3308000000.0,3183000000.0,3183000000.0,3183000000.0,CommonMetricExtracted
